light_intensity	ts
2097152,000000	2020-10-13T23:02:42:133
2097152,000000	2020-10-13T23:02:42:133
2689385,000000	2020-10-13T23:02:42:150
2689865,000000	2020-10-13T23:02:42:191
2690192,000000	2020-10-13T23:02:42:231
2690892,000000	2020-10-13T23:02:42:271
2691291,000000	2020-10-13T23:02:42:311
2691844,000000	2020-10-13T23:02:42:351
2692508,000000	2020-10-13T23:02:42:391
2692858,000000	2020-10-13T23:02:42:431
2693361,000000	2020-10-13T23:02:42:472
2156551,000000	2020-10-13T23:02:42:511
2156595,000000	2020-10-13T23:02:42:551
2156307,000000	2020-10-13T23:02:42:591
2156174,000000	2020-10-13T23:02:42:631
2156416,000000	2020-10-13T23:02:42:672
2117281,000000	2020-10-13T23:02:42:711
2117974,000000	2020-10-13T23:02:42:751
2119038,000000	2020-10-13T23:02:42:790
2119583,000000	2020-10-13T23:02:42:831
2120320,000000	2020-10-13T23:02:42:873
2080093,000000	2020-10-13T23:02:42:911
2081497,000000	2020-10-13T23:02:42:951
2083685,000000	2020-10-13T23:02:42:992
2085366,000000	2020-10-13T23:02:43:032
2087727,000000	2020-10-13T23:02:43:072
2090129,000000	2020-10-13T23:02:43:111
2092324,000000	2020-10-13T23:02:43:154
2095020,000000	2020-10-13T23:02:43:193
2097464,000000	2020-10-13T23:02:43:234
2100311,000000	2020-10-13T23:02:43:273
2101471,000000	2020-10-13T23:02:43:313
2102322,000000	2020-10-13T23:02:43:354
2101083,000000	2020-10-13T23:02:43:394
2100686,000000	2020-10-13T23:02:43:434
2100103,000000	2020-10-13T23:02:43:474
2100976,000000	2020-10-13T23:02:43:513
2102183,000000	2020-10-13T23:02:43:554
2104179,000000	2020-10-13T23:02:43:594
2105240,000000	2020-10-13T23:02:43:634
2106639,000000	2020-10-13T23:02:43:674
2107893,000000	2020-10-13T23:02:43:714
2109134,000000	2020-10-13T23:02:43:754
2110736,000000	2020-10-13T23:02:43:794
2112591,000000	2020-10-13T23:02:43:835
2114189,000000	2020-10-13T23:02:43:874
2116818,000000	2020-10-13T23:02:43:914
2118398,000000	2020-10-13T23:02:43:954
2120906,000000	2020-10-13T23:02:43:994
2122265,000000	2020-10-13T23:02:44:036
2124753,000000	2020-10-13T23:02:44:075
2125664,000000	2020-10-13T23:02:44:114
2125377,000000	2020-10-13T23:02:44:155
2123992,000000	2020-10-13T23:02:44:195
2123440,000000	2020-10-13T23:02:44:235
2123173,000000	2020-10-13T23:02:44:275
2123127,000000	2020-10-13T23:02:44:315
2123883,000000	2020-10-13T23:02:44:354
2125233,000000	2020-10-13T23:02:44:395
2126151,000000	2020-10-13T23:02:44:435
2127133,000000	2020-10-13T23:02:44:475
2128500,000000	2020-10-13T23:02:44:515
2129702,000000	2020-10-13T23:02:44:554
2130576,000000	2020-10-13T23:02:44:595
2131970,000000	2020-10-13T23:02:44:635
2134453,000000	2020-10-13T23:02:44:675
2135647,000000	2020-10-13T23:02:44:715
2137483,000000	2020-10-13T23:02:44:755
2139413,000000	2020-10-13T23:02:44:795
2141994,000000	2020-10-13T23:02:44:835
2143835,000000	2020-10-13T23:02:44:875
2144994,000000	2020-10-13T23:02:44:915
2144332,000000	2020-10-13T23:02:44:955
2142505,000000	2020-10-13T23:02:44:995
2141550,000000	2020-10-13T23:02:45:036
2141137,000000	2020-10-13T23:02:45:075
2141908,000000	2020-10-13T23:02:45:115
2143531,000000	2020-10-13T23:02:45:155
2144392,000000	2020-10-13T23:02:45:196
2145345,000000	2020-10-13T23:02:45:235
2146676,000000	2020-10-13T23:02:45:276
2147334,000000	2020-10-13T23:02:45:315
2148476,000000	2020-10-13T23:02:45:355
2149744,000000	2020-10-13T23:02:45:396
2151305,000000	2020-10-13T23:02:45:436
2153513,000000	2020-10-13T23:02:45:476
2155099,000000	2020-10-13T23:02:45:516
2157026,000000	2020-10-13T23:02:45:556
2158794,000000	2020-10-13T23:02:45:596
2160828,000000	2020-10-13T23:02:45:637
2162767,000000	2020-10-13T23:02:45:676
2163275,000000	2020-10-13T23:02:45:715
2161690,000000	2020-10-13T23:02:45:756
2160453,000000	2020-10-13T23:02:45:795
2159636,000000	2020-10-13T23:02:45:836
2159394,000000	2020-10-13T23:02:45:877
2160454,000000	2020-10-13T23:02:45:916
2160807,000000	2020-10-13T23:02:45:956
2161535,000000	2020-10-13T23:02:45:997
2162395,000000	2020-10-13T23:02:46:037
2163373,000000	2020-10-13T23:02:46:077
2164328,000000	2020-10-13T23:02:46:116
2165505,000000	2020-10-13T23:02:46:156
2165879,000000	2020-10-13T23:02:46:196
2167351,000000	2020-10-13T23:02:46:236
2169196,000000	2020-10-13T23:02:46:277
2170220,000000	2020-10-13T23:02:46:316
2172162,000000	2020-10-13T23:02:46:357
2174136,000000	2020-10-13T23:02:46:397
2174788,000000	2020-10-13T23:02:46:436
2173055,000000	2020-10-13T23:02:46:477
2170054,000000	2020-10-13T23:02:46:516
2167323,000000	2020-10-13T23:02:46:556
2165284,000000	2020-10-13T23:02:46:597
2164443,000000	2020-10-13T23:02:46:637
2164804,000000	2020-10-13T23:02:46:677
2165162,000000	2020-10-13T23:02:46:717
2164831,000000	2020-10-13T23:02:46:757
2165539,000000	2020-10-13T23:02:46:797
2165433,000000	2020-10-13T23:02:46:837
2165481,000000	2020-10-13T23:02:46:877
2165828,000000	2020-10-13T23:02:46:917
2166784,000000	2020-10-13T23:02:46:957
2167994,000000	2020-10-13T23:02:46:997
2169474,000000	2020-10-13T23:02:47:038
2170707,000000	2020-10-13T23:02:47:078
2172269,000000	2020-10-13T23:02:47:121
2173598,000000	2020-10-13T23:02:47:157
2175308,000000	2020-10-13T23:02:47:198
2174523,000000	2020-10-13T23:02:47:238
2170382,000000	2020-10-13T23:02:47:278
2165430,000000	2020-10-13T23:02:47:319
2162404,000000	2020-10-13T23:02:47:358
2160355,000000	2020-10-13T23:02:47:398
2159231,000000	2020-10-13T23:02:47:438
