v1	v2	v3	v4	ts
988,338989	209,490051	28,309999	988,277344	2020-10-13T23:02:42:211
988,333801	209,534958	28,309999	988,287109	2020-10-13T23:02:42:451
988,328796	209,577240	28,309999	988,283691	2020-10-13T23:02:42:692
988,322021	209,635376	28,309999	988,260986	2020-10-13T23:02:42:933
988,319397	209,656509	28,309999	988,295654	2020-10-13T23:02:43:181
988,319275	209,659149	28,299999	988,318115	2020-10-13T23:02:43:416
988,316467	209,682938	28,309999	988,291260	2020-10-13T23:02:43:656
988,314453	209,698776	28,299999	988,296387	2020-10-13T23:02:43:897
988,312256	209,717285	28,309999	988,292480	2020-10-13T23:02:44:138
988,307922	209,754272	28,309999	988,269043	2020-10-13T23:02:44:379
988,306091	209,770126	28,309999	988,289795	2020-10-13T23:02:44:618
988,305603	209,775406	28,299999	988,301025	2020-10-13T23:02:44:858
988,303040	209,796555	28,309999	988,279785	2020-10-13T23:02:45:100
988,302490	209,801834	28,299999	988,297607	2020-10-13T23:02:45:341
988,302551	209,799194	28,299999	988,302734	2020-10-13T23:02:45:580
988,299500	209,825607	28,309999	988,271729	2020-10-13T23:02:45:821
988,297424	209,844116	28,309999	988,278809	2020-10-13T23:02:46:059
988,298157	209,838821	28,299999	988,304932	2020-10-13T23:02:46:300
988,297791	209,841461	28,309999	988,294678	2020-10-13T23:02:46:540
988,295776	209,857315	28,309999	988,277588	2020-10-13T23:02:46:781
988,296387	209,852036	28,299999	988,301758	2020-10-13T23:02:47:020
988,293579	209,875809	28,299999	988,268311	2020-10-13T23:02:47:261
988,292847	209,883743	28,309999	988,286377	2020-10-13T23:02:47:501
988,294495	209,867889	28,299999	988,308838	2020-10-13T23:02:47:743
988,295593	209,859955	28,309999	988,305664	2020-10-13T23:02:47:983
988,297607	209,841461	28,309999	988,315674	2020-10-13T23:02:48:223
988,299011	209,830902	28,299999	988,311768	2020-10-13T23:02:48:464
988,299133	209,830902	28,309999	988,299805	2020-10-13T23:02:48:704
988,301392	209,809753	28,309999	988,321777	2020-10-13T23:02:48:944
988,303406	209,793900	28,309999	988,321045	2020-10-13T23:02:49:184
988,302002	209,804474	28,309999	988,289551	2020-10-13T23:02:49:424
988,299622	209,825607	28,309999	988,277832	2020-10-13T23:02:49:664
988,297302	209,844116	28,309999	988,276367	2020-10-13T23:02:49:904
988,295410	209,862610	28,299999	988,278320	2020-10-13T23:02:50:146
988,296997	209,846756	28,299999	988,311279	2020-10-13T23:02:50:387
988,294861	209,865250	28,309999	988,275391	2020-10-13T23:02:50:625
988,292542	209,886383	28,309999	988,271729	2020-10-13T23:02:50:865
988,291260	209,896957	28,309999	988,280029	2020-10-13T23:02:51:106
988,291199	209,896957	28,299999	988,290771	2020-10-13T23:02:51:347
988,289124	209,915451	28,309999	988,270752	2020-10-13T23:02:51:587
988,287598	209,928665	28,299999	988,273438	2020-10-13T23:02:51:827
988,287903	209,926025	28,309999	988,290527	2020-10-13T23:02:52:069
988,289001	209,915451	28,320000	988,298828	2020-10-13T23:02:52:307
988,289856	209,907516	28,309999	988,297363	2020-10-13T23:02:52:548
988,289978	209,907516	28,320000	988,291016	2020-10-13T23:02:52:788
988,290771	209,902237	28,309999	988,298096	2020-10-13T23:02:53:039
988,293640	209,875809	28,309999	988,319580	2020-10-13T23:02:53:268
988,294556	209,867889	28,309999	988,302979	2020-10-13T23:02:53:508
988,295654	209,859955	28,309999	988,305420	2020-10-13T23:02:53:749
988,294189	209,870529	28,309999	988,281250	2020-10-13T23:02:53:988
988,293457	209,878464	28,309999	988,286865	2020-10-13T23:02:54:229
988,296265	209,854675	28,309999	988,321289	2020-10-13T23:02:54:467
988,297119	209,846756	28,309999	988,304932	2020-10-13T23:02:54:707
988,297302	209,844116	28,309999	988,298584	2020-10-13T23:02:54:948
988,292908	209,883743	28,309999	988,253662	2020-10-13T23:02:55:190
988,286682	209,936584	28,309999	988,230225	2020-10-13T23:02:55:429
988,284058	209,957733	28,309999	988,260498	2020-10-13T23:02:55:669
988,283142	209,965652	28,309999	988,275146	2020-10-13T23:02:56:128
988,280518	209,986786	28,309999	988,256348	2020-10-13T23:02:56:149
988,280334	209,989441	28,309999	988,278320	2020-10-13T23:02:56:396
988,279358	209,997360	28,309999	988,270508	2020-10-13T23:02:56:633
988,281250	209,981506	28,320000	988,297852	2020-10-13T23:02:56:871
988,284058	209,957733	28,309999	988,309326	2020-10-13T23:02:57:111
988,284851	209,952438	28,309999	988,291748	2020-10-13T23:02:57:351
988,285156	209,949799	28,309999	988,287842	2020-10-13T23:02:57:591
988,282288	209,973587	28,309999	988,256348	2020-10-13T23:02:57:832
988,281067	209,984146	28,320000	988,270020	2020-10-13T23:02:58:072
988,279175	210,000000	28,309999	988,261963	2020-10-13T23:02:58:312
988,279663	209,994720	28,309999	988,283936	2020-10-13T23:02:58:554
988,278320	210,007935	28,309999	988,266357	2020-10-13T23:02:58:793
988,277832	210,010574	28,309999	988,273438	2020-10-13T23:02:59:033
988,277710	210,010574	28,309999	988,276611	2020-10-13T23:02:59:273
988,275879	210,026428	28,309999	988,259766	2020-10-13T23:02:59:513
988,275330	210,031708	28,309999	988,270752	2020-10-13T23:02:59:755
988,276489	210,021149	28,309999	988,287109	2020-10-13T23:02:59:995
988,277466	210,013214	28,320000	988,286621	2020-10-13T23:03:00:233
988,278748	210,002640	28,309999	988,290283	2020-10-13T23:03:00:475
988,278137	210,007935	28,309999	988,272461	2020-10-13T23:03:00:715
988,275879	210,026428	28,320000	988,255371	2020-10-13T23:03:00:955
988,273193	210,050201	28,309999	988,249512	2020-10-13T23:03:01:194
988,269348	210,081909	28,309999	988,234619	2020-10-13T23:03:01:435
988,269287	210,081909	28,309999	988,268555	2020-10-13T23:03:01:679
988,269714	210,079269	28,309999	988,273682	2020-10-13T23:03:01:916
988,272278	210,058136	28,320000	988,295166	2020-10-13T23:03:02:156
988,266174	210,110977	28,309999	988,211182	2020-10-13T23:03:02:395
988,265686	210,113617	28,320000	988,261475	2020-10-13T23:03:02:636
988,268066	210,092484	28,320000	988,289795	2020-10-13T23:03:02:876
988,267822	210,095123	28,320000	988,265869	2020-10-13T23:03:03:116
988,266296	210,108337	28,320000	988,252441	2020-10-13T23:03:03:357
988,268433	210,089844	28,330000	988,287598	2020-10-13T23:03:03:596
988,270630	210,071350	28,320000	988,290039	2020-10-13T23:03:03:837
988,271301	210,066055	28,320000	988,277100	2020-10-13T23:03:04:093
988,270081	210,076630	28,309999	988,259277	2020-10-13T23:03:04:318
988,269165	210,084549	28,320000	988,260742	2020-10-13T23:03:04:559
988,266541	210,105698	28,320000	988,243408	2020-10-13T23:03:04:798
988,265442	210,116257	28,320000	988,255371	2020-10-13T23:03:05:038
988,266663	210,105698	28,320000	988,277344	2020-10-13T23:03:05:279
988,266113	210,110977	28,320000	988,260986	2020-10-13T23:03:05:521
988,264709	210,121552	28,320000	988,252197	2020-10-13T23:03:05:760
988,262573	210,140045	28,320000	988,243164	2020-10-13T23:03:05:999
988,263489	210,132111	28,320000	988,271729	2020-10-13T23:03:06:240
988,264221	210,126831	28,309999	988,270752	2020-10-13T23:03:06:480
988,261536	210,150620	28,320000	988,237061	2020-10-13T23:03:06:720
988,260559	210,158539	28,309999	988,251709	2020-10-13T23:03:06:961
988,258911	210,171753	28,320000	988,243652	2020-10-13T23:03:07:201
988,255005	210,203461	28,309999	988,219971	2020-10-13T23:03:07:440
988,256042	210,195526	28,309999	988,264893	2020-10-13T23:03:07:681
988,258972	210,171753	28,320000	988,285400	2020-10-13T23:03:07:921
988,257568	210,182327	28,320000	988,245117	2020-10-13T23:03:08:163
