light_level	ts
0,000000	2020-10-13T22:47:48:159
0,000000	2020-10-13T22:47:48:159
0,000000	2020-10-13T22:47:48:300
0,000000	2020-10-13T22:47:48:542
0,000000	2020-10-13T22:47:48:780
0,000000	2020-10-13T22:47:49:020
0,000000	2020-10-13T22:47:49:263
0,000000	2020-10-13T22:47:49:504
0,000000	2020-10-13T22:47:49:745
0,000000	2020-10-13T22:47:49:986
0,000000	2020-10-13T22:47:50:226
0,000000	2020-10-13T22:47:50:467
0,000000	2020-10-13T22:47:50:707
0,000000	2020-10-13T22:47:50:944
0,000000	2020-10-13T22:47:51:185
0,000000	2020-10-13T22:47:51:427
0,000000	2020-10-13T22:47:51:666
0,000000	2020-10-13T22:47:51:908
0,000000	2020-10-13T22:47:52:146
0,000000	2020-10-13T22:47:52:386
0,000000	2020-10-13T22:47:52:628
0,000000	2020-10-13T22:47:52:869
0,000000	2020-10-13T22:47:53:109
0,000000	2020-10-13T22:47:53:347
0,000000	2020-10-13T22:47:53:588
0,000000	2020-10-13T22:47:53:828
0,000000	2020-10-13T22:47:54:070
0,000000	2020-10-13T22:47:54:316
0,000000	2020-10-13T22:47:54:552
0,000000	2020-10-13T22:47:54:790
0,000000	2020-10-13T22:47:55:029
0,000000	2020-10-13T22:47:55:271
0,000000	2020-10-13T22:47:55:509
0,000000	2020-10-13T22:47:55:748
0,000000	2020-10-13T22:47:55:990
0,000000	2020-10-13T22:47:56:229
0,000000	2020-10-13T22:47:56:470
0,000000	2020-10-13T22:47:56:712
0,000000	2020-10-13T22:47:56:950
0,000000	2020-10-13T22:47:57:190
0,000000	2020-10-13T22:47:57:429
0,000000	2020-10-13T22:47:57:672
0,000000	2020-10-13T22:47:57:913
0,000000	2020-10-13T22:47:58:149
0,000000	2020-10-13T22:47:58:391
0,000000	2020-10-13T22:47:58:634
0,000000	2020-10-13T22:47:58:872
0,000000	2020-10-13T22:47:59:112
0,000000	2020-10-13T22:47:59:362
0,000000	2020-10-13T22:47:59:593
0,000000	2020-10-13T22:47:59:837
0,000000	2020-10-13T22:48:00:077
0,000000	2020-10-13T22:48:00:314
0,000000	2020-10-13T22:48:00:554
0,000000	2020-10-13T22:48:00:795
0,000000	2020-10-13T22:48:01:034
0,000000	2020-10-13T22:48:01:280
0,000000	2020-10-13T22:48:01:517
0,000000	2020-10-13T22:48:01:924
0,000000	2020-10-13T22:48:01:995
0,000000	2020-10-13T22:48:02:254
0,000000	2020-10-13T22:48:02:527
0,000000	2020-10-13T22:48:02:719
0,000000	2020-10-13T22:48:02:956
0,000000	2020-10-13T22:48:03:195
0,000000	2020-10-13T22:48:03:436
0,000000	2020-10-13T22:48:03:679
0,000000	2020-10-13T22:48:03:920
0,000000	2020-10-13T22:48:04:160
0,000000	2020-10-13T22:48:04:398
0,000000	2020-10-13T22:48:04:640
0,000000	2020-10-13T22:48:04:878
0,000000	2020-10-13T22:48:05:128
0,000000	2020-10-13T22:48:05:359
0,000000	2020-10-13T22:48:05:617
0,000000	2020-10-13T22:48:05:843
0,000000	2020-10-13T22:48:06:089
0,000000	2020-10-13T22:48:06:320
0,000000	2020-10-13T22:48:06:562
0,000000	2020-10-13T22:48:06:801
0,000000	2020-10-13T22:48:07:045
0,000000	2020-10-13T22:48:07:279
0,000000	2020-10-13T22:48:07:521
0,000000	2020-10-13T22:48:07:761
0,000000	2020-10-13T22:48:08:001
0,000000	2020-10-13T22:48:08:241
0,000000	2020-10-13T22:48:08:484
0,000000	2020-10-13T22:48:08:732
0,000000	2020-10-13T22:48:08:965
0,000000	2020-10-13T22:48:09:204
0,000000	2020-10-13T22:48:09:443
0,000000	2020-10-13T22:48:09:689
0,000000	2020-10-13T22:48:09:924
0,000000	2020-10-13T22:48:10:182
0,000000	2020-10-13T22:48:10:404
0,000000	2020-10-13T22:48:10:644
0,000000	2020-10-13T22:48:10:886
0,000000	2020-10-13T22:48:11:128
0,000000	2020-10-13T22:48:11:364
0,000000	2020-10-13T22:48:11:607
0,000000	2020-10-13T22:48:11:852
0,000000	2020-10-13T22:48:12:094
0,000000	2020-10-13T22:48:12:325
0,000000	2020-10-13T22:48:12:566
0,000000	2020-10-13T22:48:12:808
0,000000	2020-10-13T22:48:13:055
0,000000	2020-10-13T22:48:13:291
0,000000	2020-10-13T22:48:13:527
0,000000	2020-10-13T22:48:13:768
0,000000	2020-10-13T22:48:14:009
0,000000	2020-10-13T22:48:14:248
0,000000	2020-10-13T22:48:14:488
0,000000	2020-10-13T22:48:14:728
0,000000	2020-10-13T22:48:14:971
0,000000	2020-10-13T22:48:15:209
0,000000	2020-10-13T22:48:15:451
0,000000	2020-10-13T22:48:15:689
0,000000	2020-10-13T22:48:15:930
0,000000	2020-10-13T22:48:16:173
0,000000	2020-10-13T22:48:16:408
0,000000	2020-10-13T22:48:16:651
0,000000	2020-10-13T22:48:16:896
0,000000	2020-10-13T22:48:17:131
0,000000	2020-10-13T22:48:17:370
0,000000	2020-10-13T22:48:17:611
0,000000	2020-10-13T22:48:17:850
0,000000	2020-10-13T22:48:18:120
0,000000	2020-10-13T22:48:18:332
0,000000	2020-10-13T22:48:18:573
0,000000	2020-10-13T22:48:18:812
0,000000	2020-10-13T22:48:19:055
0,000000	2020-10-13T22:48:19:293
0,000000	2020-10-13T22:48:19:533
0,000000	2020-10-13T22:48:19:772
0,000000	2020-10-13T22:48:20:011
0,000000	2020-10-13T22:48:20:253
0,000000	2020-10-13T22:48:20:495
0,000000	2020-10-13T22:48:20:733
0,000000	2020-10-13T22:48:20:974
0,000000	2020-10-13T22:48:21:213
0,000000	2020-10-13T22:48:21:454
0,000000	2020-10-13T22:48:21:695
0,000000	2020-10-13T22:48:21:936
0,000000	2020-10-13T22:48:22:226
0,000000	2020-10-13T22:48:22:429
0,000000	2020-10-13T22:48:22:657
0,000000	2020-10-13T22:48:22:896
0,000000	2020-10-13T22:48:23:138
0,000000	2020-10-13T22:48:23:376
0,000000	2020-10-13T22:48:23:619
0,000000	2020-10-13T22:48:23:858
0,000000	2020-10-13T22:48:24:102
0,000000	2020-10-13T22:48:24:338
