x	y	z	ts
0,645982	-0,508352	9,772138	2020-10-13T22:47:48:156
0,649143	-0,517761	9,771434	2020-10-13T22:47:48:156
0,633347	-0,529649	9,771833	2020-10-13T22:47:48:157
0,629471	-0,533653	9,771866	2020-10-13T22:47:48:157
0,630974	-0,538692	9,771493	2020-10-13T22:47:48:157
0,628228	-0,540747	9,771556	2020-10-13T22:47:48:157
0,621321	-0,541451	9,771958	2020-10-13T22:47:48:158
0,615197	-0,545365	9,772128	2020-10-13T22:47:48:158
0,616453	-0,546464	9,771988	2020-10-13T22:47:48:158
0,612549	-0,550196	9,772024	2020-10-13T22:47:48:159
0,608082	-0,555939	9,771977	2020-10-13T22:47:48:159
0,587499	-0,575942	9,772079	2020-10-13T22:47:48:165
0,587390	-0,575981	9,772083	2020-10-13T22:47:48:169
0,587219	-0,576043	9,772090	2020-10-13T22:47:48:171
0,587114	-0,576081	9,772094	2020-10-13T22:47:48:173
0,586495	-0,576047	9,772133	2020-10-13T22:47:48:178
0,584858	-0,577803	9,772127	2020-10-13T22:47:48:199
0,583051	-0,578924	9,772169	2020-10-13T22:47:48:218
0,579974	-0,576350	9,772504	2020-10-13T22:47:48:238
0,578224	-0,576356	9,772608	2020-10-13T22:47:48:259
0,574430	-0,577561	9,772760	2020-10-13T22:47:48:278
0,573349	-0,572591	9,773116	2020-10-13T22:47:48:300
0,573399	-0,574958	9,772974	2020-10-13T22:47:48:318
0,574251	-0,577337	9,772783	2020-10-13T22:47:48:338
0,576444	-0,582285	9,772361	2020-10-13T22:47:48:360
0,578954	-0,583245	9,772156	2020-10-13T22:47:48:378
0,574722	-0,579431	9,772633	2020-10-13T22:47:48:399
0,572142	-0,581690	9,772649	2020-10-13T22:47:48:418
0,566586	-0,585833	9,772725	2020-10-13T22:47:48:439
0,564788	-0,584605	9,772903	2020-10-13T22:47:48:459
0,567185	-0,583627	9,772822	2020-10-13T22:47:48:479
0,563120	-0,580249	9,773259	2020-10-13T22:47:48:499
0,559614	-0,579451	9,773508	2020-10-13T22:47:48:520
0,559260	-0,579585	9,773520	2020-10-13T22:47:48:542
0,559838	-0,580779	9,773416	2020-10-13T22:47:48:558
0,563086	-0,583536	9,773066	2020-10-13T22:47:48:582
0,562713	-0,581779	9,773191	2020-10-13T22:47:48:599
0,560733	-0,579596	9,773435	2020-10-13T22:47:48:618
0,559293	-0,578484	9,773583	2020-10-13T22:47:48:638
0,556678	-0,578326	9,773742	2020-10-13T22:47:48:659
0,554854	-0,578052	9,773862	2020-10-13T22:47:48:678
0,554478	-0,578813	9,773838	2020-10-13T22:47:48:699
0,554458	-0,578530	9,773856	2020-10-13T22:47:48:719
0,550947	-0,579691	9,773986	2020-10-13T22:47:48:739
0,551653	-0,586881	9,773517	2020-10-13T22:47:48:759
0,551237	-0,587815	9,773484	2020-10-13T22:47:48:779
0,554433	-0,586815	9,773364	2020-10-13T22:47:48:798
0,554253	-0,586644	9,773384	2020-10-13T22:47:48:819
0,554310	-0,586399	9,773396	2020-10-13T22:47:48:838
0,553330	-0,583994	9,773595	2020-10-13T22:47:48:860
0,550615	-0,579493	9,774016	2020-10-13T22:47:48:878
0,549179	-0,578759	9,774140	2020-10-13T22:47:48:899
0,548949	-0,574706	9,774393	2020-10-13T22:47:48:920
0,548850	-0,573578	9,774465	2020-10-13T22:47:48:939
0,549265	-0,573305	9,774457	2020-10-13T22:47:48:959
0,546391	-0,569490	9,774841	2020-10-13T22:47:48:979
0,548335	-0,566283	9,774919	2020-10-13T22:47:48:999
0,548087	-0,562652	9,775143	2020-10-13T22:47:49:020
0,549551	-0,565988	9,774867	2020-10-13T22:47:49:039
0,550833	-0,567646	9,774699	2020-10-13T22:47:49:059
0,549393	-0,568593	9,774725	2020-10-13T22:47:49:092
0,551910	-0,574660	9,774229	2020-10-13T22:47:49:101
0,551700	-0,576522	9,774131	2020-10-13T22:47:49:122
0,550110	-0,572737	9,774443	2020-10-13T22:47:49:142
0,548406	-0,569520	9,774727	2020-10-13T22:47:49:163
0,545019	-0,567747	9,775020	2020-10-13T22:47:49:181
0,544373	-0,570206	9,774912	2020-10-13T22:47:49:203
0,544478	-0,571544	9,774828	2020-10-13T22:47:49:221
0,546132	-0,574495	9,774563	2020-10-13T22:47:49:242
0,544015	-0,575471	9,774624	2020-10-13T22:47:49:264
0,541499	-0,570373	9,775062	2020-10-13T22:47:49:283
0,541439	-0,569898	9,775093	2020-10-13T22:47:49:302
0,541330	-0,564956	9,775386	2020-10-13T22:47:49:322
0,544751	-0,563006	9,775309	2020-10-13T22:47:49:341
0,543878	-0,560836	9,775482	2020-10-13T22:47:49:362
0,544298	-0,557279	9,775661	2020-10-13T22:47:49:381
0,543265	-0,558417	9,775654	2020-10-13T22:47:49:403
0,544305	-0,560351	9,775486	2020-10-13T22:47:49:421
0,547671	-0,564810	9,775042	2020-10-13T22:47:49:442
0,547212	-0,563303	9,775154	2020-10-13T22:47:49:461
0,545839	-0,562603	9,775271	2020-10-13T22:47:49:482
0,545971	-0,561514	9,775326	2020-10-13T22:47:49:504
0,547221	-0,563310	9,775153	2020-10-13T22:47:49:523
0,548769	-0,565805	9,774922	2020-10-13T22:47:49:542
0,549332	-0,566780	9,774834	2020-10-13T22:47:49:563
0,549698	-0,567782	9,774755	2020-10-13T22:47:49:581
0,550642	-0,567615	9,774712	2020-10-13T22:47:49:603
0,549688	-0,568366	9,774722	2020-10-13T22:47:49:622
0,548339	-0,563774	9,775064	2020-10-13T22:47:49:643
0,550189	-0,563404	9,774981	2020-10-13T22:47:49:662
0,552140	-0,564255	9,774822	2020-10-13T22:47:49:683
0,550759	-0,562115	9,775023	2020-10-13T22:47:49:702
0,551437	-0,563628	9,774898	2020-10-13T22:47:49:723
0,548672	-0,563666	9,775051	2020-10-13T22:47:49:745
0,546350	-0,564674	9,775123	2020-10-13T22:47:49:763
0,546298	-0,560694	9,775355	2020-10-13T22:47:49:781
0,544968	-0,556753	9,775655	2020-10-13T22:47:49:803
0,546295	-0,553828	9,775746	2020-10-13T22:47:49:823
0,545588	-0,555513	9,775690	2020-10-13T22:47:49:845
0,549824	-0,557077	9,775364	2020-10-13T22:47:49:862
0,551217	-0,557399	9,775268	2020-10-13T22:47:49:884
0,549607	-0,555584	9,775461	2020-10-13T22:47:49:903
0,548186	-0,551993	9,775744	2020-10-13T22:47:49:925
0,543085	-0,550645	9,776105	2020-10-13T22:47:49:942
0,540404	-0,545003	9,776570	2020-10-13T22:47:49:963
0,541843	-0,544672	9,776508	2020-10-13T22:47:49:985
0,547430	-0,545954	9,776126	2020-10-13T22:47:50:003
0,554558	-0,553041	9,775326	2020-10-13T22:47:50:037
0,557521	-0,560312	9,774743	2020-10-13T22:47:50:044
0,556577	-0,562871	9,774650	2020-10-13T22:47:50:063
0,555787	-0,556874	9,775039	2020-10-13T22:47:50:095
0,549630	-0,538249	9,776430	2020-10-13T22:47:50:101
0,546214	-0,528809	9,777137	2020-10-13T22:47:50:123
0,545734	-0,522274	9,777514	2020-10-13T22:47:50:142
0,550285	-0,528404	9,776930	2020-10-13T22:47:50:164
0,553607	-0,533952	9,776441	2020-10-13T22:47:50:181
0,556805	-0,539226	9,775970	2020-10-13T22:47:50:204
0,557508	-0,541137	9,775825	2020-10-13T22:47:50:224
0,558584	-0,541957	9,775718	2020-10-13T22:47:50:243
0,554875	-0,537948	9,776150	2020-10-13T22:47:50:262
0,551715	-0,536727	9,776396	2020-10-13T22:47:50:283
0,553666	-0,539501	9,776133	2020-10-13T22:47:50:302
0,552076	-0,545125	9,775911	2020-10-13T22:47:50:323
0,552816	-0,547009	9,775764	2020-10-13T22:47:50:342
0,551375	-0,544596	9,775980	2020-10-13T22:47:50:363
0,551472	-0,541553	9,776144	2020-10-13T22:47:50:382
0,549608	-0,537995	9,776445	2020-10-13T22:47:50:404
0,551110	-0,537152	9,776407	2020-10-13T22:47:50:422
0,553644	-0,536087	9,776322	2020-10-13T22:47:50:443
0,555371	-0,531486	9,776475	2020-10-13T22:47:50:466
0,559863	-0,530979	9,776247	2020-10-13T22:47:50:485
0,563726	-0,534418	9,775837	2020-10-13T22:47:50:502
0,568123	-0,537421	9,775418	2020-10-13T22:47:50:524
0,566608	-0,543528	9,775168	2020-10-13T22:47:50:542
0,562975	-0,550746	9,774974	2020-10-13T22:47:50:566
0,560305	-0,553705	9,774961	2020-10-13T22:47:50:584
0,553624	-0,552033	9,775435	2020-10-13T22:47:50:605
0,549636	-0,544608	9,776077	2020-10-13T22:47:50:623
0,545350	-0,538591	9,776650	2020-10-13T22:47:50:645
0,542792	-0,530009	9,777262	2020-10-13T22:47:50:672
0,543605	-0,531258	9,777149	2020-10-13T22:47:50:686
0,546161	-0,539125	9,776576	2020-10-13T22:47:50:706
0,547084	-0,546447	9,776117	2020-10-13T22:47:50:724
0,551467	-0,549186	9,775718	2020-10-13T22:47:50:743
0,553780	-0,548927	9,775601	2020-10-13T22:47:50:765
0,553955	-0,542224	9,775966	2020-10-13T22:47:50:786
0,554899	-0,536938	9,776204	2020-10-13T22:47:50:804
0,552357	-0,529046	9,776778	2020-10-13T22:47:50:823
0,550418	-0,524088	9,777155	2020-10-13T22:47:50:847
0,550299	-0,521489	9,777301	2020-10-13T22:47:50:865
0,550378	-0,524923	9,777112	2020-10-13T22:47:50:885
0,554528	-0,529576	9,776627	2020-10-13T22:47:50:904
0,556120	-0,535828	9,776196	2020-10-13T22:47:50:924
0,559212	-0,539909	9,775795	2020-10-13T22:47:50:944
0,560899	-0,541912	9,775587	2020-10-13T22:47:50:964
0,561140	-0,540107	9,775674	2020-10-13T22:47:50:983
0,559923	-0,539360	9,775784	2020-10-13T22:47:51:006
0,553910	-0,537885	9,776208	2020-10-13T22:47:51:023
0,549677	-0,535720	9,776567	2020-10-13T22:47:51:045
0,546852	-0,534610	9,776785	2020-10-13T22:47:51:064
0,543996	-0,532750	9,777046	2020-10-13T22:47:51:091
0,543418	-0,531961	9,777122	2020-10-13T22:47:51:104
0,544572	-0,532476	9,777029	2020-10-13T22:47:51:124
0,542551	-0,530026	9,777274	2020-10-13T22:47:51:143
0,541793	-0,527141	9,777472	2020-10-13T22:47:51:165
0,542169	-0,530009	9,777296	2020-10-13T22:47:51:184
0,542523	-0,531624	9,777189	2020-10-13T22:47:51:205
0,542081	-0,528742	9,777370	2020-10-13T22:47:51:223
0,538909	-0,527190	9,777629	2020-10-13T22:47:51:245
0,539826	-0,521302	9,777894	2020-10-13T22:47:51:263
0,540163	-0,520818	9,777902	2020-10-13T22:47:51:285
0,540242	-0,522571	9,777803	2020-10-13T22:47:51:304
0,538940	-0,520662	9,777977	2020-10-13T22:47:51:325
0,539114	-0,523434	9,777820	2020-10-13T22:47:51:343
0,536180	-0,523579	9,777973	2020-10-13T22:47:51:366
0,537552	-0,520129	9,778082	2020-10-13T22:47:51:385
0,535785	-0,517909	9,778296	2020-10-13T22:47:51:405
0,537370	-0,515312	9,778347	2020-10-13T22:47:51:426
0,536444	-0,512315	9,778556	2020-10-13T22:47:51:446
0,535790	-0,513915	9,778507	2020-10-13T22:47:51:463
0,535914	-0,512796	9,778559	2020-10-13T22:47:51:485
0,538166	-0,512230	9,778465	2020-10-13T22:47:51:504
0,539277	-0,516646	9,778172	2020-10-13T22:47:51:525
0,537251	-0,519294	9,778143	2020-10-13T22:47:51:544
0,536549	-0,517212	9,778292	2020-10-13T22:47:51:566
0,534917	-0,514851	9,778506	2020-10-13T22:47:51:583
