x	y	z	ts
-1,050000	2,800000	-0,630000	2020-11-19T14:31:12:668
-7,560000	-30,240000	3,430000	2020-11-19T14:31:12:669
0,350000	1,820000	-0,980000	2020-11-19T14:31:12:669
-0,770000	1,470000	-0,770000	2020-11-19T14:31:12:669
-2,380000	0,980000	-0,700000	2020-11-19T14:31:12:670
-1,540000	0,910000	-0,560000	2020-11-19T14:31:12:670
1,050000	1,120000	-0,140000	2020-11-19T14:31:12:676
0,140000	0,840000	0,210000	2020-11-19T14:31:12:697
-3,500000	0,070000	3,010000	2020-11-19T14:31:12:717
-3,710000	0,280000	1,400000	2020-11-19T14:31:12:737
-2,450000	0,630000	1,820000	2020-11-19T14:31:12:769
-3,080000	0,280000	2,100000	2020-11-19T14:31:12:779
-2,730000	0,280000	2,450000	2020-11-19T14:31:12:798
-1,750000	0,490000	2,100000	2020-11-19T14:31:12:817
-2,380000	0,630000	1,260000	2020-11-19T14:31:12:838
-6,090000	1,400000	2,240000	2020-11-19T14:31:12:857
-7,140000	1,120000	0,700000	2020-11-19T14:31:12:877
-2,030000	2,800000	0,770000	2020-11-19T14:31:12:897
2,660000	3,500000	-0,070000	2020-11-19T14:31:12:918
-1,470000	3,780000	0,630000	2020-11-19T14:31:12:937
-5,880000	3,780000	0,490000	2020-11-19T14:31:12:958
-5,530000	2,870000	0,350000	2020-11-19T14:31:12:978
-4,060000	2,520000	0,420000	2020-11-19T14:31:12:998
-1,400000	2,240000	0,280000	2020-11-19T14:31:13:017
1,260000	2,380000	-0,140000	2020-11-19T14:31:13:039
-1,470000	2,030000	-1,190000	2020-11-19T14:31:13:058
-2,940000	3,290000	-0,910000	2020-11-19T14:31:13:077
-0,350000	3,920000	-1,120000	2020-11-19T14:31:13:097
-0,140000	4,270000	0,070000	2020-11-19T14:31:13:118
-4,130000	3,780000	0,560000	2020-11-19T14:31:13:137
-6,370000	3,150000	0,630000	2020-11-19T14:31:13:158
-8,400000	2,660000	0,630000	2020-11-19T14:31:13:178
