x	y	z	ts
-0,066194	0,046477	-0,213342	2020-11-19T14:31:12:666
-0,054230	0,137404	-0,208556	2020-11-19T14:31:12:668
-0,053950	0,072563	-0,131184	2020-11-19T14:31:12:668
-0,196299	0,161472	-0,119761	2020-11-19T14:31:12:669
-0,097948	0,145502	-0,111930	2020-11-19T14:31:12:669
-0,124620	0,086199	-0,089705	2020-11-19T14:31:12:670
-0,099982	0,047351	-0,081396	2020-11-19T14:31:12:670
-0,121655	0,161547	-0,169018	2020-11-19T14:31:12:676
-0,053058	0,238624	-0,235806	2020-11-19T14:31:12:697
0,020387	0,156226	-0,094441	2020-11-19T14:31:12:717
-0,016004	0,082078	-0,112536	2020-11-19T14:31:12:737
-0,031466	0,074429	-0,068144	2020-11-19T14:31:12:769
-0,011533	0,148189	-0,138873	2020-11-19T14:31:12:779
0,068610	0,071418	-0,061067	2020-11-19T14:31:12:797
0,117682	-0,026710	-0,172782	2020-11-19T14:31:12:817
0,102029	0,155615	-0,316113	2020-11-19T14:31:12:838
0,007957	-0,181333	-0,394407	2020-11-19T14:31:12:857
0,135698	-0,147164	-0,238529	2020-11-19T14:31:12:877
0,126631	-0,243476	-0,164521	2020-11-19T14:31:12:897
0,148837	0,145783	-0,273785	2020-11-19T14:31:12:918
0,121712	0,053358	-0,253112	2020-11-19T14:31:12:937
-0,028496	0,043699	-0,123150	2020-11-19T14:31:12:958
0,074499	-0,013644	-0,017282	2020-11-19T14:31:12:978
0,103107	-0,058862	0,029295	2020-11-19T14:31:12:998
0,062429	-0,140218	-0,111882	2020-11-19T14:31:13:017
0,108294	0,134928	-0,242548	2020-11-19T14:31:13:038
0,166300	0,162981	-0,269338	2020-11-19T14:31:13:058
0,085524	-0,130074	-0,290727	2020-11-19T14:31:13:077
0,065277	0,049421	-0,289149	2020-11-19T14:31:13:097
0,026731	0,179149	-0,207112	2020-11-19T14:31:13:118
0,025605	0,144209	-0,132129	2020-11-19T14:31:13:137
0,111636	0,210061	-0,115528	2020-11-19T14:31:13:158
0,157303	0,123897	0,045010	2020-11-19T14:31:13:178
0,085081	0,094256	0,021894	2020-11-19T14:31:13:198
0,242284	0,142034	-0,062726	2020-11-19T14:31:13:217
0,183725	0,293604	-0,176170	2020-11-19T14:31:13:238
0,203984	0,066957	-0,154877	2020-11-19T14:31:13:257
0,157517	-0,243331	-0,095510	2020-11-19T14:31:13:277
0,357870	-0,343862	-0,118340	2020-11-19T14:31:13:298
0,271728	0,117953	-0,154232	2020-11-19T14:31:13:319
0,225452	0,074113	-0,286239	2020-11-19T14:31:13:337
0,317085	0,125537	-0,329337	2020-11-19T14:31:13:358
0,258825	-0,261735	-0,186069	2020-11-19T14:31:13:378
0,343960	-0,447796	-0,011598	2020-11-19T14:31:13:398
0,309926	-0,119142	-0,182473	2020-11-19T14:31:13:418
0,271641	0,170390	-0,206402	2020-11-19T14:31:13:438
0,186540	0,184500	-0,121070	2020-11-19T14:31:13:457
0,095324	0,067325	-0,048316	2020-11-19T14:31:13:478
0,150347	0,193985	-0,125483	2020-11-19T14:31:13:498
0,057163	0,640910	-0,377079	2020-11-19T14:31:13:519
-0,034853	0,892300	-0,378466	2020-11-19T14:31:13:538
-0,083225	0,844090	-0,042918	2020-11-19T14:31:13:559
0,089622	0,527796	0,202047	2020-11-19T14:31:13:578
0,034587	0,343549	0,295367	2020-11-19T14:31:13:599
0,608528	0,215745	0,108860	2020-11-19T14:31:13:617
1,148031	0,043939	-0,018366	2020-11-19T14:31:13:639
1,387961	-0,168743	0,279126	2020-11-19T14:31:13:658
1,512387	-1,762363	0,535158	2020-11-19T14:31:13:678
1,628034	-2,569300	0,189879	2020-11-19T14:31:13:698
2,130839	-2,970877	-0,486136	2020-11-19T14:31:13:719
