light_intensity	ts
2112666,000000	2020-11-19T14:31:12:670
2112037,000000	2020-11-19T14:31:12:697
2110557,000000	2020-11-19T14:31:12:737
2110113,000000	2020-11-19T14:31:12:779
2109063,000000	2020-11-19T14:31:12:817
2108313,000000	2020-11-19T14:31:12:857
2108442,000000	2020-11-19T14:31:12:897
2108295,000000	2020-11-19T14:31:12:937
2108034,000000	2020-11-19T14:31:12:978
2108149,000000	2020-11-19T14:31:13:017
2108565,000000	2020-11-19T14:31:13:059
2108349,000000	2020-11-19T14:31:13:097
2104333,000000	2020-11-19T14:31:13:137
2097637,000000	2020-11-19T14:31:13:178
2092328,000000	2020-11-19T14:31:13:217
2088753,000000	2020-11-19T14:31:13:257
2086554,000000	2020-11-19T14:31:13:298
2084650,000000	2020-11-19T14:31:13:337
2083929,000000	2020-11-19T14:31:13:378
2081657,000000	2020-11-19T14:31:13:417
2079552,000000	2020-11-19T14:31:13:457
2077038,000000	2020-11-19T14:31:13:498
2075479,000000	2020-11-19T14:31:13:538
2074635,000000	2020-11-19T14:31:13:579
2073537,000000	2020-11-19T14:31:13:618
2072188,000000	2020-11-19T14:31:13:657
2069031,000000	2020-11-19T14:31:13:698
2065225,000000	2020-11-19T14:31:13:738
2063363,000000	2020-11-19T14:31:13:779
2061206,000000	2020-11-19T14:31:13:817
2058682,000000	2020-11-19T14:31:14:019
2050987,000000	2020-11-19T14:31:14:055
2040715,000000	2020-11-19T14:31:14:056
2029475,000000	2020-11-19T14:31:14:063
2017553,000000	2020-11-19T14:31:14:063
2008300,000000	2020-11-19T14:31:14:069
2004846,000000	2020-11-19T14:31:14:099
2002299,000000	2020-11-19T14:31:14:139
2000594,000000	2020-11-19T14:31:14:180
1998669,000000	2020-11-19T14:31:14:220
1992790,000000	2020-11-19T14:31:14:262
1988182,000000	2020-11-19T14:31:14:301
1984122,000000	2020-11-19T14:31:14:341
1979554,000000	2020-11-19T14:31:14:381
1974813,000000	2020-11-19T14:31:14:420
1970234,000000	2020-11-19T14:31:14:467
1965309,000000	2020-11-19T14:31:14:523
1962260,000000	2020-11-19T14:31:14:544
1963116,000000	2020-11-19T14:31:14:581
1959488,000000	2020-11-19T14:31:14:631
1955142,000000	2020-11-19T14:31:14:665
1950278,000000	2020-11-19T14:31:14:701
1948129,000000	2020-11-19T14:31:14:743
1944447,000000	2020-11-19T14:31:14:781
1941904,000000	2020-11-19T14:31:14:821
1941742,000000	2020-11-19T14:31:14:861
1940825,000000	2020-11-19T14:31:14:901
1942106,000000	2020-11-19T14:31:14:941
1945115,000000	2020-11-19T14:31:14:983
1949616,000000	2020-11-19T14:31:15:021
1948005,000000	2020-11-19T14:31:15:062
1942717,000000	2020-11-19T14:31:15:101
1937633,000000	2020-11-19T14:31:15:141
1932438,000000	2020-11-19T14:31:15:181
1929203,000000	2020-11-19T14:31:15:223
1927288,000000	2020-11-19T14:31:15:262
1922639,000000	2020-11-19T14:31:15:301
1912102,000000	2020-11-19T14:31:15:341
1898777,000000	2020-11-19T14:31:15:382
1886471,000000	2020-11-19T14:31:15:424
1875874,000000	2020-11-19T14:31:15:463
1866907,000000	2020-11-19T14:31:15:501
1859701,000000	2020-11-19T14:31:15:542
1852350,000000	2020-11-19T14:31:15:582
