light_level	ts
36,000000	2020-10-29T19:45:22:163
40,000000	2020-10-29T19:45:22:331
40,000000	2020-10-29T19:45:22:571
60,000000	2020-10-29T19:45:22:811
56,000000	2020-10-29T19:45:23:050
28,000000	2020-10-29T19:45:23:291
20,000000	2020-10-29T19:45:23:532
24,000000	2020-10-29T19:45:23:774
0,000000	2020-10-29T19:45:31:169
0,000000	2020-10-29T19:45:31:407
0,000000	2020-10-29T19:45:31:648
0,000000	2020-10-29T19:45:31:888
4,000000	2020-10-29T19:45:32:129
4,000000	2020-10-29T19:45:32:368
4,000000	2020-10-29T19:45:32:608
8,000000	2020-10-29T19:45:32:849
4,000000	2020-10-29T19:45:33:089
0,000000	2020-10-29T19:45:33:330
0,000000	2020-10-29T19:45:33:571
0,000000	2020-10-29T19:45:33:810
0,000000	2020-10-29T19:45:34:050
4,000000	2020-10-29T19:45:34:290
8,000000	2020-10-29T19:45:34:531
0,000000	2020-10-29T19:45:34:772
0,000000	2020-10-29T19:45:35:011
4,000000	2020-10-29T19:45:35:251
8,000000	2020-10-29T19:45:35:493
24,000000	2020-10-29T19:45:35:732
64,000000	2020-10-29T19:45:35:971
60,000000	2020-10-29T19:45:36:212
48,000000	2020-10-29T19:45:36:452
80,000000	2020-10-29T19:45:36:693
80,000000	2020-10-29T19:45:36:933
48,000000	2020-10-29T19:45:37:173
24,000000	2020-10-29T19:45:37:414
24,000000	2020-10-29T19:45:37:654
40,000000	2020-10-29T19:45:37:895
64,000000	2020-10-29T19:45:38:136
52,000000	2020-10-29T19:45:38:375
44,000000	2020-10-29T19:45:38:616
36,000000	2020-10-29T19:45:38:855
24,000000	2020-10-29T19:45:39:096
32,000000	2020-10-29T19:45:39:338
36,000000	2020-10-29T19:45:39:576
44,000000	2020-10-29T19:45:39:816
52,000000	2020-10-29T19:45:40:056
48,000000	2020-10-29T19:45:40:297
36,000000	2020-10-29T19:45:40:538
44,000000	2020-10-29T19:45:40:778
44,000000	2020-10-29T19:45:41:016
36,000000	2020-10-29T19:45:41:257
32,000000	2020-10-29T19:45:41:498
28,000000	2020-10-29T19:45:41:738
60,000000	2020-10-29T19:45:41:978
56,000000	2020-10-29T19:45:42:419
48,000000	2020-10-29T19:45:42:470
48,000000	2020-10-29T19:45:42:700
52,000000	2020-10-29T19:45:42:939
76,000000	2020-10-29T19:45:43:187
40,000000	2020-10-29T19:45:43:445
20,000000	2020-10-29T19:45:43:659
20,000000	2020-10-29T19:45:43:905
16,000000	2020-10-29T19:45:44:140
20,000000	2020-10-29T19:45:44:380
20,000000	2020-10-29T19:45:44:621
20,000000	2020-10-29T19:45:44:860
20,000000	2020-10-29T19:45:45:101
20,000000	2020-10-29T19:45:45:342
20,000000	2020-10-29T19:45:45:588
20,000000	2020-10-29T19:45:45:822
32,000000	2020-10-29T19:46:04:225
28,000000	2020-10-29T19:46:04:436
24,000000	2020-10-29T19:46:04:679
28,000000	2020-10-29T19:46:04:920
0,000000	2020-10-29T19:46:38:289
0,000000	2020-10-29T19:46:38:530
0,000000	2020-10-29T19:46:38:770
0,000000	2020-10-29T19:46:39:010
0,000000	2020-10-29T19:46:39:252
0,000000	2020-10-29T19:46:39:491
0,000000	2020-10-29T19:46:39:731
4,000000	2020-10-29T19:46:39:971
12,000000	2020-10-29T19:46:40:211
16,000000	2020-10-29T19:46:40:453
16,000000	2020-10-29T19:46:40:692
16,000000	2020-10-29T19:46:40:933
16,000000	2020-10-29T19:46:41:173
16,000000	2020-10-29T19:46:41:413
24,000000	2020-10-29T19:46:41:652
28,000000	2020-10-29T19:46:41:894
16,000000	2020-10-29T19:46:42:133
16,000000	2020-10-29T19:46:42:374
24,000000	2020-10-29T19:46:42:614
52,000000	2020-10-29T19:46:42:854
64,000000	2020-10-29T19:46:43:094
60,000000	2020-10-29T19:46:43:334
36,000000	2020-10-29T19:46:43:574
48,000000	2020-10-29T19:46:43:816
68,000000	2020-10-29T19:46:44:055
68,000000	2020-10-29T19:46:44:295
44,000000	2020-10-29T19:46:44:536
28,000000	2020-10-29T19:46:44:775
28,000000	2020-10-29T19:46:45:017
28,000000	2020-10-29T19:46:45:256
32,000000	2020-10-29T19:46:45:497
40,000000	2020-10-29T19:46:45:737
44,000000	2020-10-29T19:46:45:977
36,000000	2020-10-29T19:46:46:217
32,000000	2020-10-29T19:46:46:459
28,000000	2020-10-29T19:46:46:698
32,000000	2020-10-29T19:46:46:938
32,000000	2020-10-29T19:46:47:179
32,000000	2020-10-29T19:46:47:419
24,000000	2020-10-29T19:46:47:658
28,000000	2020-10-29T19:46:47:898
32,000000	2020-10-29T19:46:48:138
24,000000	2020-10-29T19:46:48:380
16,000000	2020-10-29T19:46:48:619
24,000000	2020-10-29T19:46:48:860
48,000000	2020-10-29T19:46:49:100
56,000000	2020-10-29T19:46:49:340
20,000000	2020-10-29T19:46:49:581
12,000000	2020-10-29T19:46:49:820
12,000000	2020-10-29T19:46:50:061
40,000000	2020-10-29T19:46:50:302
68,000000	2020-10-29T19:46:50:542
44,000000	2020-10-29T19:46:50:782
24,000000	2020-10-29T19:46:51:022
32,000000	2020-10-29T19:46:51:262
12,000000	2020-10-29T19:46:51:503
28,000000	2020-10-29T19:46:51:743
40,000000	2020-10-29T19:46:51:983
60,000000	2020-10-29T19:46:52:229
16,000000	2020-10-29T19:46:52:462
12,000000	2020-10-29T19:46:52:703
8,000000	2020-10-29T19:46:52:942
8,000000	2020-10-29T19:46:53:182
8,000000	2020-10-29T19:46:53:422
20,000000	2020-10-29T19:46:53:662
24,000000	2020-10-29T19:46:53:906
32,000000	2020-10-29T19:46:54:144
36,000000	2020-10-29T19:46:54:386
36,000000	2020-10-29T19:46:54:626
28,000000	2020-10-29T19:46:54:866
20,000000	2020-10-29T19:46:55:107
24,000000	2020-10-29T19:46:55:346
24,000000	2020-10-29T19:46:55:586
24,000000	2020-10-29T19:46:55:827
24,000000	2020-10-29T19:46:56:067
24,000000	2020-10-29T19:46:56:308
24,000000	2020-10-29T19:46:56:548
24,000000	2020-10-29T19:46:56:788
20,000000	2020-10-29T19:46:57:028
24,000000	2020-10-29T19:46:57:268
32,000000	2020-10-29T19:46:57:510
36,000000	2020-10-29T19:46:57:750
