light_intensity	ts
2097152,000000	2020-10-29T19:45:22:169
2097152,000000	2020-10-29T19:45:22:220
2425158,000000	2020-10-29T19:45:22:250
2425408,000000	2020-10-29T19:45:22:289
2425472,000000	2020-10-29T19:45:22:331
2425171,000000	2020-10-29T19:45:22:370
2424954,000000	2020-10-29T19:45:22:410
2425077,000000	2020-10-29T19:45:22:450
2425598,000000	2020-10-29T19:45:22:490
2425994,000000	2020-10-29T19:45:22:530
2425743,000000	2020-10-29T19:45:22:571
2121468,000000	2020-10-29T19:45:22:610
2122029,000000	2020-10-29T19:45:22:650
2122237,000000	2020-10-29T19:45:22:690
2122292,000000	2020-10-29T19:45:22:730
2121470,000000	2020-10-29T19:45:22:771
2077685,000000	2020-10-29T19:45:22:811
2075710,000000	2020-10-29T19:45:22:850
2072817,000000	2020-10-29T19:45:22:890
2068471,000000	2020-10-29T19:45:22:960
2068194,000000	2020-10-29T19:45:22:973
2098245,000000	2020-10-29T19:45:23:021
2088845,000000	2020-10-29T19:45:23:051
2089644,000000	2020-10-29T19:45:23:090
2090573,000000	2020-10-29T19:45:23:130
2092144,000000	2020-10-29T19:45:23:171
2092299,000000	2020-10-29T19:45:23:211
2092448,000000	2020-10-29T19:45:23:250
2094523,000000	2020-10-29T19:45:23:291
2105300,000000	2020-10-29T19:45:23:331
2130232,000000	2020-10-29T19:45:23:371
2175511,000000	2020-10-29T19:45:23:411
2206192,000000	2020-10-29T19:45:23:451
2205969,000000	2020-10-29T19:45:23:492
2199187,000000	2020-10-29T19:45:23:532
2207883,000000	2020-10-29T19:45:23:570
2204443,000000	2020-10-29T19:45:23:611
2194508,000000	2020-10-29T19:45:23:653
2184334,000000	2020-10-29T19:45:23:693
2171828,000000	2020-10-29T19:45:23:733
2158614,000000	2020-10-29T19:45:23:775
2146737,000000	2020-10-29T19:45:23:814
2072704,000000	2020-10-29T19:45:31:132
2077115,000000	2020-10-29T19:45:31:132
2079050,000000	2020-10-29T19:45:31:169
2083788,000000	2020-10-29T19:45:31:206
2086466,000000	2020-10-29T19:45:31:245
2088877,000000	2020-10-29T19:45:31:287
2091110,000000	2020-10-29T19:45:31:327
