light_intensity	ts
2097152,000000	2020-10-29T19:26:04:317
2097152,000000	2020-10-29T19:26:04:321
2097152,000000	2020-10-29T19:26:04:345
2757184,000000	2020-10-29T19:26:04:385
2754698,000000	2020-10-29T19:26:04:425
2751540,000000	2020-10-29T19:26:04:466
2748933,000000	2020-10-29T19:26:04:505
2745690,000000	2020-10-29T19:26:04:547
2745690,000000	2020-10-29T19:26:04:585
2744723,000000	2020-10-29T19:26:04:625
2743548,000000	2020-10-29T19:26:04:665
2148091,000000	2020-10-29T19:26:04:707
2146292,000000	2020-10-29T19:26:04:747
2146044,000000	2020-10-29T19:26:04:786
2146702,000000	2020-10-29T19:26:04:826
2148667,000000	2020-10-29T19:26:04:867
2109239,000000	2020-10-29T19:26:04:906
2112186,000000	2020-10-29T19:26:04:947
2113986,000000	2020-10-29T19:26:04:986
2114361,000000	2020-10-29T19:26:05:026
2113521,000000	2020-10-29T19:26:05:067
2067602,000000	2020-10-29T19:26:05:106
2091384,000000	2020-10-29T19:26:05:146
2130558,000000	2020-10-29T19:26:05:187
2180945,000000	2020-10-29T19:26:05:334
2150859,000000	2020-10-29T19:26:05:335
1971407,000000	2020-10-29T19:26:05:336
1920291,000000	2020-10-29T19:26:05:353
1885599,000000	2020-10-29T19:26:05:387
1858388,000000	2020-10-29T19:26:05:428
1833661,000000	2020-10-29T19:26:05:467
1817910,000000	2020-10-29T19:26:05:509
1824297,000000	2020-10-29T19:26:05:548
1856740,000000	2020-10-29T19:26:05:587
1892560,000000	2020-10-29T19:26:05:628
1906420,000000	2020-10-29T19:26:05:669
1904445,000000	2020-10-29T19:26:05:708
1906825,000000	2020-10-29T19:26:05:748
1914608,000000	2020-10-29T19:26:05:787
1921192,000000	2020-10-29T19:26:05:829
1924338,000000	2020-10-29T19:26:05:867
1913568,000000	2020-10-29T19:26:05:912
1894660,000000	2020-10-29T19:26:05:950
1880026,000000	2020-10-29T19:26:06:000
1871879,000000	2020-10-29T19:26:06:030
1867864,000000	2020-10-29T19:26:06:070
1862087,000000	2020-10-29T19:26:06:110
1858564,000000	2020-10-29T19:26:06:162
1854088,000000	2020-10-29T19:26:12:113
1860882,000000	2020-10-29T19:26:12:145
1868750,000000	2020-10-29T19:26:12:172
1877505,000000	2020-10-29T19:26:12:206
1874290,000000	2020-10-29T19:26:12:250
1859979,000000	2020-10-29T19:26:12:287
1858705,000000	2020-10-29T19:26:12:328
1869584,000000	2020-10-29T19:26:12:368
1876802,000000	2020-10-29T19:26:12:410
1864572,000000	2020-10-29T19:26:12:448
1848317,000000	2020-10-29T19:26:12:488
1842126,000000	2020-10-29T19:26:12:528
1848556,000000	2020-10-29T19:26:12:569
1870759,000000	2020-10-29T19:26:12:607
1886363,000000	2020-10-29T19:26:12:650
1873532,000000	2020-10-29T19:26:12:688
1870643,000000	2020-10-29T19:26:12:729
1875904,000000	2020-10-29T19:26:12:768
1874237,000000	2020-10-29T19:26:12:809
1871351,000000	2020-10-29T19:26:12:848
1878979,000000	2020-10-29T19:26:12:891
1897475,000000	2020-10-29T19:26:12:929
1909428,000000	2020-10-29T19:26:12:969
1903771,000000	2020-10-29T19:26:13:008
1909361,000000	2020-10-29T19:26:13:050
1916565,000000	2020-10-29T19:26:13:089
1933140,000000	2020-10-29T19:26:13:131
1938321,000000	2020-10-29T19:26:13:169
1927892,000000	2020-10-29T19:26:13:209
1915446,000000	2020-10-29T19:26:13:249
1915726,000000	2020-10-29T19:26:13:290
1918565,000000	2020-10-29T19:26:13:329
1924255,000000	2020-10-29T19:26:13:371
1924876,000000	2020-10-29T19:26:13:409
1933137,000000	2020-10-29T19:26:13:449
1944029,000000	2020-10-29T19:26:13:489
1955671,000000	2020-10-29T19:26:13:530
1970601,000000	2020-10-29T19:26:13:569
1989592,000000	2020-10-29T19:26:13:611
2015336,000000	2020-10-29T19:26:13:649
2013828,000000	2020-10-29T19:26:13:689
2027156,000000	2020-10-29T19:26:13:730
2044264,000000	2020-10-29T19:26:13:770
2045268,000000	2020-10-29T19:26:13:809
2058599,000000	2020-10-29T19:26:13:851
2098264,000000	2020-10-29T19:26:13:889
2079420,000000	2020-10-29T19:26:13:930
2064741,000000	2020-10-29T19:26:13:970
2052128,000000	2020-10-29T19:26:14:011
2028942,000000	2020-10-29T19:26:14:049
2025001,000000	2020-10-29T19:26:14:093
2021569,000000	2020-10-29T19:26:14:130
2028254,000000	2020-10-29T19:26:14:171
2028736,000000	2020-10-29T19:26:14:209
2029810,000000	2020-10-29T19:26:14:256
2038518,000000	2020-10-29T19:26:14:376
2051802,000000	2020-10-29T19:26:14:377
2068871,000000	2020-10-29T19:26:14:471
2074975,000000	2020-10-29T19:26:14:482
2082449,000000	2020-10-29T19:26:14:482
2088935,000000	2020-10-29T19:26:14:487
2098885,000000	2020-10-29T19:26:14:540
2111183,000000	2020-10-29T19:26:14:571
2125041,000000	2020-10-29T19:26:14:610
2141168,000000	2020-10-29T19:26:14:655
2153716,000000	2020-10-29T19:26:14:688
2162203,000000	2020-10-29T19:26:14:729
2169693,000000	2020-10-29T19:26:14:768
2176108,000000	2020-10-29T19:26:14:813
