x	y	z	ts
1,306297	2,218091	-0,404170	2020-10-29T19:13:56:213
0,000260	-0,025625	-0,102421	2020-10-29T19:13:56:213
0,210829	0,024625	-0,265133	2020-10-29T19:13:56:213
-0,432512	-2,763087	1,031570	2020-10-29T19:13:56:214
-0,441122	-2,633745	1,000507	2020-10-29T19:13:56:214
-0,461488	-2,574388	1,008631	2020-10-29T19:13:56:217
-0,509828	-2,613961	0,914808	2020-10-29T19:13:56:245
0,002109	-0,058081	-0,208801	2020-10-29T19:13:56:261
-0,337672	-0,084403	0,130980	2020-10-29T19:13:56:279
-0,418400	-0,314021	-0,308284	2020-10-29T19:13:56:299
-0,156586	0,338724	-0,453475	2020-10-29T19:13:56:319
-0,070869	0,025714	-0,386610	2020-10-29T19:13:56:339
-0,200115	-0,578837	0,130300	2020-10-29T19:13:56:359
-0,099274	-1,286206	0,538547	2020-10-29T19:13:56:379
0,211531	-1,263142	0,366051	2020-10-29T19:13:56:399
0,341622	-0,975311	0,267638	2020-10-29T19:13:56:419
0,544504	-1,437845	0,425955	2020-10-29T19:13:56:438
0,843364	-2,443279	0,613855	2020-10-29T19:13:56:459
1,306183	-3,178147	0,349342	2020-10-29T19:13:56:479
1,362434	3,538732	-0,883904	2020-10-29T19:13:56:499
1,247010	1,062678	-0,012505	2020-10-29T19:13:56:519
1,157666	-0,640981	1,189518	2020-10-29T19:13:56:539
1,013980	-1,943365	0,492881	2020-10-29T19:13:56:559
0,657920	-1,834863	-0,321113	2020-10-29T19:13:56:579
0,688895	0,037014	-1,112507	2020-10-29T19:13:56:600
0,589864	1,075297	-0,913378	2020-10-29T19:13:56:619
0,279665	1,514962	-0,481537	2020-10-29T19:13:56:639
-0,254720	2,480719	0,045696	2020-10-29T19:13:56:659
-1,187548	4,065249	-0,134463	2020-10-29T19:13:56:679
-1,931406	5,538649	-0,896142	2020-10-29T19:13:56:699
-1,568389	4,451149	-1,277049	2020-10-29T19:13:56:719
-0,251702	2,706357	-1,394296	2020-10-29T19:13:56:739
0,427492	1,412104	-0,902604	2020-10-29T19:13:56:760
0,282685	0,535587	-0,483335	2020-10-29T19:13:56:779
-0,119800	0,858765	0,060251	2020-10-29T19:13:56:800
-0,019105	1,450619	-0,301353	2020-10-29T19:13:56:819
0,194005	1,640368	-0,210425	2020-10-29T19:13:56:840
0,081402	1,915859	-0,616189	2020-10-29T19:13:56:861
-0,289974	1,684338	-0,380409	2020-10-29T19:13:56:879
0,045557	1,957076	-0,265604	2020-10-29T19:13:56:899
0,069074	3,047793	-0,822098	2020-10-29T19:13:56:919
0,016044	3,096979	-0,396262	2020-10-29T19:13:56:940
-0,250265	2,969462	-0,630225	2020-10-29T19:13:56:960
-0,325736	2,532851	-0,672029	2020-10-29T19:13:56:979
-0,453950	2,637573	-0,148596	2020-10-29T19:13:57:000
-0,342027	3,275790	-0,001604	2020-10-29T19:13:57:019
0,104811	4,322139	0,143830	2020-10-29T19:13:57:040
0,302146	5,008079	-0,092045	2020-10-29T19:13:57:060
0,148104	5,042861	-0,375357	2020-10-29T19:13:57:081
0,069865	4,935775	-0,408693	2020-10-29T19:13:57:101
-0,294795	-3,425258	1,297292	2020-10-29T19:13:57:120
-0,334280	-3,013626	1,250340	2020-10-29T19:13:57:142
-0,125964	-2,549280	0,723131	2020-10-29T19:13:57:160
0,009542	-2,058702	0,468152	2020-10-29T19:13:57:180
0,072626	-1,761820	0,477006	2020-10-29T19:13:57:200
-0,083363	-1,591957	0,410859	2020-10-29T19:13:57:219
0,041182	-1,241396	0,327514	2020-10-29T19:13:57:240
0,142504	-1,117307	0,165681	2020-10-29T19:13:57:261
0,038833	-1,384670	0,228501	2020-10-29T19:13:57:280
0,044192	-1,323199	0,213511	2020-10-29T19:13:57:301
0,117487	-1,186682	0,090739	2020-10-29T19:13:57:320
