x	y	z	ts
0,780060	0,808774	9,458827	2020-10-29T19:20:28:566
0,890130	0,667598	9,489935	2020-10-29T19:20:28:568
0,803988	0,600598	9,635897	2020-10-29T19:20:28:569
0,902094	0,339781	9,652647	2020-10-29T19:20:28:570
0,954736	0,361316	9,669396	2020-10-29T19:20:28:570
1,060020	0,205783	9,722038	2020-10-29T19:20:28:570
0,949951	0,246461	9,568897	2020-10-29T19:20:28:587
1,177269	0,270389	9,475577	2020-10-29T19:20:28:610
0,947558	0,246461	9,614362	2020-10-29T19:20:28:628
0,988236	-0,031107	9,729217	2020-10-29T19:20:28:649
0,882952	-0,083749	9,726824	2020-10-29T19:20:28:667
0,825524	0,023928	9,839286	2020-10-29T19:20:28:690
0,813560	-0,078963	9,664611	2020-10-29T19:20:28:707
0,808774	0,026321	9,650253	2020-10-29T19:20:28:732
0,842274	0,009571	9,798609	2020-10-29T19:20:28:747
0,835095	-0,016750	9,686146	2020-10-29T19:20:28:769
0,796810	0,088534	9,609575	2020-10-29T19:20:28:787
0,818345	0,105284	9,611969	2020-10-29T19:20:28:809
0,758525	0,232104	9,595219	2020-10-29T19:20:28:828
0,792024	0,112463	9,628718	2020-10-29T19:20:28:850
0,863809	0,323031	9,590433	2020-10-29T19:20:28:867
0,904487	0,483350	9,339187	2020-10-29T19:20:28:889
1,019342	0,315853	9,164511	2020-10-29T19:20:28:907
1,076770	0,571885	8,779266	2020-10-29T19:20:28:930
0,942772	0,270389	8,946764	2020-10-29T19:20:28:947
0,878166	-1,150948	10,413565	2020-10-29T19:20:28:971
0,768096	-2,079363	10,353743	2020-10-29T19:20:28:988
0,667598	-1,127020	9,829715	2020-10-29T19:20:29:009
0,624527	-0,921237	9,454042	2020-10-29T19:20:29:028
0,717847	-1,160519	9,054441	2020-10-29T19:20:29:050
0,703490	-0,588634	8,779266	2020-10-29T19:20:29:067
0,906880	-1,476372	10,234102	2020-10-29T19:20:29:090
0,710668	-2,950350	10,305886	2020-10-29T19:20:29:108
0,605384	-1,890330	9,568897	2020-10-29T19:20:29:130
0,703490	-1,548156	9,231510	2020-10-29T19:20:29:148
0,684347	-1,540978	9,004191	2020-10-29T19:20:29:170
0,547956	-1,160519	9,511470	2020-10-29T19:20:29:188
0,294317	-2,273181	10,188639	2020-10-29T19:20:29:210
0,287139	-1,823331	9,528220	2020-10-29T19:20:29:228
0,346959	-1,610370	9,542577	2020-10-29T19:20:29:249
0,289532	-2,440679	9,726824	2020-10-29T19:20:29:268
0,282353	-2,644069	9,702895	2020-10-29T19:20:29:290
0,220140	-2,184647	9,442079	2020-10-29T19:20:29:308
0,267996	-2,129612	9,743573	2020-10-29T19:20:29:330
