light_intensity	ts
2116362,000000	2020-10-29T19:20:28:571
2115742,000000	2020-10-29T19:20:28:611
2113976,000000	2020-10-29T19:20:28:650
2111661,000000	2020-10-29T19:20:28:690
2109604,000000	2020-10-29T19:20:28:731
2107363,000000	2020-10-29T19:20:28:770
2105570,000000	2020-10-29T19:20:28:810
2104690,000000	2020-10-29T19:20:28:850
2104213,000000	2020-10-29T19:20:28:890
2104463,000000	2020-10-29T19:20:28:930
2103874,000000	2020-10-29T19:20:28:971
2101902,000000	2020-10-29T19:20:29:010
2100498,000000	2020-10-29T19:20:29:050
2099654,000000	2020-10-29T19:20:29:090
2093931,000000	2020-10-29T19:20:29:131
2081069,000000	2020-10-29T19:20:29:170
2062999,000000	2020-10-29T19:20:29:212
2046552,000000	2020-10-29T19:20:29:250
2033393,000000	2020-10-29T19:20:29:291
2024608,000000	2020-10-29T19:20:29:330
2017768,000000	2020-10-29T19:20:29:370
2011692,000000	2020-10-29T19:20:29:410
2004705,000000	2020-10-29T19:20:29:451
1996443,000000	2020-10-29T19:20:29:490
1987973,000000	2020-10-29T19:20:29:531
1981153,000000	2020-10-29T19:20:29:571
1975767,000000	2020-10-29T19:20:29:611
1971303,000000	2020-10-29T19:20:29:654
1967248,000000	2020-10-29T19:20:29:697
1964646,000000	2020-10-29T19:20:29:734
1962097,000000	2020-10-29T19:20:29:773
1959757,000000	2020-10-29T19:20:29:814
1957118,000000	2020-10-29T19:20:29:853
1954606,000000	2020-10-29T19:20:29:893
1952070,000000	2020-10-29T19:20:29:935
1945695,000000	2020-10-29T19:20:29:974
1927657,000000	2020-10-29T19:20:30:014
1907440,000000	2020-10-29T19:20:30:054
1891012,000000	2020-10-29T19:20:30:094
1879117,000000	2020-10-29T19:20:30:135
1871231,000000	2020-10-29T19:20:30:176
1865365,000000	2020-10-29T19:20:30:214
1860348,000000	2020-10-29T19:20:30:254
1854024,000000	2020-10-29T19:20:30:294
1846602,000000	2020-10-29T19:20:30:334
1838582,000000	2020-10-29T19:20:30:375
1830329,000000	2020-10-29T19:20:30:414
1824287,000000	2020-10-29T19:20:30:472
1818735,000000	2020-10-29T19:20:30:494
1813698,000000	2020-10-29T19:20:30:535
1809511,000000	2020-10-29T19:20:30:575
1805057,000000	2020-10-29T19:20:30:615
1800265,000000	2020-10-29T19:20:30:658
1796030,000000	2020-10-29T19:20:30:695
1792573,000000	2020-10-29T19:20:30:736
1788365,000000	2020-10-29T19:20:30:775
1776400,000000	2020-10-29T19:20:30:832
1757604,000000	2020-10-29T19:20:30:855
1740391,000000	2020-10-29T19:20:30:896
1727773,000000	2020-10-29T19:20:30:935
1720005,000000	2020-10-29T19:20:30:975
1715161,000000	2020-10-29T19:20:31:015
1711757,000000	2020-10-29T19:20:31:055
1707566,000000	2020-10-29T19:20:31:095
1701704,000000	2020-10-29T19:20:31:138
1694417,000000	2020-10-29T19:20:31:175
