v1	v2	v3	v4	ts
1002,416016	90,590363	28,189999	1002,365234	2020-10-29T19:52:02:285
1002,413086	90,616783	28,199999	1002,386719	2020-10-29T19:52:02:462
1002,408875	90,651131	28,209999	1002,370850	2020-10-29T19:52:02:703
1002,406799	90,669632	28,209999	1002,387939	2020-10-29T19:52:02:944
1002,409851	90,643204	28,209999	1002,437500	2020-10-29T19:52:03:183
1002,409607	90,645851	28,209999	1002,407715	2020-10-29T19:52:03:423
1002,408875	90,651131	28,219999	1002,402100	2020-10-29T19:52:03:769
1002,411316	90,629997	28,219999	1002,433350	2020-10-29T19:52:03:907
1002,413696	90,611496	28,230000	1002,435303	2020-10-29T19:52:04:147
1002,415710	90,593002	28,230000	1002,433838	2020-10-29T19:52:04:387
1002,415405	90,595642	28,230000	1002,412354	2020-10-29T19:52:17:090
1002,414368	90,606216	28,240000	1002,405273	2020-10-29T19:52:17:090
1002,412476	90,619423	28,240000	1002,395508	2020-10-29T19:52:17:090
1002,414307	90,606216	28,240000	1002,430664	2020-10-29T19:52:17:090
1002,413940	90,608856	28,250000	1002,410889	2020-10-29T19:52:17:091
1002,416321	90,587715	28,250000	1002,437744	2020-10-29T19:52:17:091
1002,418152	90,571861	28,250000	1002,434570	2020-10-29T19:52:17:091
1002,414001	90,608856	28,260000	1002,376221	2020-10-29T19:52:17:091
1002,412903	90,616783	28,260000	1002,402832	2020-10-29T19:52:17:091
1002,409668	90,643204	28,260000	1002,380615	2020-10-29T19:52:17:091
1002,405945	90,674911	28,269999	1002,372314	2020-10-29T19:52:17:092
1002,404419	90,688126	28,269999	1002,390381	2020-10-29T19:52:17:092
1002,403503	90,696053	28,269999	1002,395264	2020-10-29T19:52:17:092
1002,400879	90,717194	28,269999	1002,377197	2020-10-29T19:52:17:092
1002,402832	90,701340	28,269999	1002,420410	2020-10-29T19:52:17:092
1002,405151	90,682838	28,269999	1002,425781	2020-10-29T19:52:17:150
1002,406128	90,674911	28,279999	1002,414795	2020-10-29T19:52:17:152
1002,405212	90,682838	28,279999	1002,396973	2020-10-29T19:52:17:154
1002,400696	90,719833	28,279999	1002,360107	2020-10-29T19:52:17:154
1002,397034	90,751541	28,279999	1002,364502	2020-10-29T19:52:17:154
1002,394592	90,770035	28,279999	1002,372803	2020-10-29T19:52:17:155
1002,394714	90,770035	28,289999	1002,396240	2020-10-29T19:52:17:155
1002,393921	90,775322	28,279999	1002,386963	2020-10-29T19:52:17:155
1002,396057	90,759468	28,289999	1002,415771	2020-10-29T19:52:17:155
1002,398499	90,738327	28,289999	1002,420410	2020-10-29T19:52:17:155
1002,399963	90,725113	28,279999	1002,412842	2020-10-29T19:52:17:155
1002,404053	90,690765	28,279999	1002,440674	2020-10-29T19:52:17:155
1002,404968	90,682838	28,289999	1002,412842	2020-10-29T19:52:17:156
1002,404053	90,690765	28,289999	1002,396240	2020-10-29T19:52:17:156
1002,403931	90,693413	28,289999	1002,402588	2020-10-29T19:52:17:156
1002,404541	90,688126	28,289999	1002,410156	2020-10-29T19:52:17:156
1002,404846	90,685486	28,289999	1002,407471	2020-10-29T19:52:17:156
1002,404053	90,690765	28,289999	1002,396729	2020-10-29T19:52:17:156
1002,403625	90,696053	28,289999	1002,399902	2020-10-29T19:52:17:156
1002,402588	90,703979	28,289999	1002,393066	2020-10-29T19:52:17:156
1002,403381	90,696053	28,289999	1002,410645	2020-10-29T19:52:17:156
1002,401428	90,714546	28,289999	1002,384033	2020-10-29T19:52:17:157
1002,402954	90,701340	28,289999	1002,416992	2020-10-29T19:52:17:157
1002,403748	90,693413	28,289999	1002,410645	2020-10-29T19:52:17:157
1002,403503	90,696053	28,289999	1002,401611	2020-10-29T19:52:17:157
1002,406494	90,672272	28,289999	1002,433105	2020-10-29T19:52:17:157
1002,408875	90,651131	28,279999	1002,430176	2020-10-29T19:52:17:157
1002,412476	90,619423	28,289999	1002,444824	2020-10-29T19:52:17:157
1002,410706	90,635277	28,289999	1002,394531	2020-10-29T19:52:17:158
1002,411194	90,632637	28,289999	1002,415527	2020-10-29T19:52:17:158
1002,410400	90,637924	28,279999	1002,403564	2020-10-29T19:52:17:158
1002,409729	90,643204	28,289999	1002,403809	2020-10-29T19:52:17:158
1002,405334	90,680199	28,279999	1002,365479	2020-10-29T19:52:17:159
1002,402832	90,701340	28,289999	1002,380127	2020-10-29T19:52:17:159
1002,402954	90,701340	28,289999	1002,403809	2020-10-29T19:52:17:159
1002,400574	90,719833	28,279999	1002,378662	2020-10-29T19:52:17:395
1002,398071	90,740967	28,289999	1002,375000	2020-10-29T19:52:17:634
1002,394531	90,772675	28,279999	1002,362305	2020-10-29T19:52:17:874
1002,392700	90,785889	28,279999	1002,376465	2020-10-29T19:52:18:116
1002,390076	90,809669	28,279999	1002,366943	2020-10-29T19:52:18:355
1002,391296	90,799103	28,279999	1002,401855	2020-10-29T19:52:18:595
1002,395569	90,762108	28,279999	1002,434082	2020-10-29T19:52:18:837
1002,395813	90,759468	28,279999	1002,397949	2020-10-29T19:52:19:077
1002,396729	90,754181	28,279999	1002,405029	2020-10-29T19:52:19:316
1002,397827	90,743614	28,279999	1002,407715	2020-10-29T19:52:19:556
1002,398682	90,735687	28,279999	1002,406494	2020-10-29T19:52:19:796
1002,397278	90,748894	28,279999	1002,384521	2020-10-29T19:52:20:036
1002,399902	90,725113	28,289999	1002,423340	2020-10-29T19:52:20:278
1002,403931	90,693413	28,279999	1002,439697	2020-10-29T19:52:20:517
1002,409302	90,645851	28,279999	1002,457520	2020-10-29T19:52:20:758
1002,414124	90,606216	28,289999	1002,457520	2020-10-29T19:52:20:998
1002,418640	90,569221	28,289999	1002,459717	2020-10-29T19:52:21:240
1002,419434	90,561295	28,289999	1002,426758	2020-10-29T19:52:21:478
1002,418945	90,566582	28,279999	1002,414551	2020-10-29T19:52:21:718
1002,422546	90,534874	28,289999	1002,455322	2020-10-29T19:52:21:958
1002,422913	90,532234	28,289999	1002,425781	2020-10-29T19:52:22:200
1002,421997	90,540161	28,289999	1002,413818	2020-10-29T19:52:22:439
1002,423523	90,526947	28,289999	1002,437744	2020-10-29T19:52:22:680
1002,422485	90,537514	28,289999	1002,413330	2020-10-29T19:52:22:920
1002,422913	90,532234	28,289999	1002,426270	2020-10-29T19:52:23:160
1002,424927	90,516380	28,289999	1002,442871	2020-10-29T19:52:23:400
1002,426392	90,503166	28,289999	1002,439209	2020-10-29T19:52:23:640
1002,426819	90,500526	28,289999	1002,430664	2020-10-29T19:52:23:881
1002,425415	90,511093	28,289999	1002,412354	2020-10-29T19:52:24:122
1002,427795	90,492599	28,299999	1002,449219	2020-10-29T19:52:24:361
1002,427551	90,495239	28,299999	1002,425293	2020-10-29T19:52:24:602
1002,426880	90,500526	28,299999	1002,420898	2020-10-29T19:52:24:843
1002,425293	90,513733	28,299999	1002,411377	2020-10-29T19:52:25:700
1002,421143	90,548088	28,289999	1002,384033	2020-10-29T19:52:25:712
1002,419189	90,563934	28,289999	1002,401611	2020-10-29T19:52:25:719
1002,414734	90,600929	28,289999	1002,374512	2020-10-29T19:52:26:044
1002,409485	90,645851	28,289999	1002,362305	2020-10-29T19:52:26:067
1002,407288	90,664345	28,289999	1002,387695	2020-10-29T19:52:26:314
1002,408508	90,653778	28,289999	1002,418945	2020-10-29T19:52:26:531
1002,408386	90,656418	28,299999	1002,407227	2020-10-29T19:52:26:764
1002,408081	90,659058	28,289999	1002,405273	2020-10-29T19:52:27:004
1002,413391	90,614143	28,299999	1002,461426	2020-10-29T19:52:27:243
1002,413574	90,611496	28,299999	1002,415039	2020-10-29T19:52:27:485
1002,413696	90,611496	28,289999	1002,414795	2020-10-29T19:52:27:724
1002,414490	90,603569	28,299999	1002,421875	2020-10-29T19:52:27:965
1002,414612	90,603569	28,299999	1002,415283	2020-10-29T19:52:28:251
