x	y	z	ts
-0,937986	4,737789	8,185846	2020-10-29T19:52:02:283
-1,038485	4,539185	8,233703	2020-10-29T19:52:02:284
-1,103091	4,567898	8,238488	2020-10-29T19:52:02:284
-1,052842	4,685147	8,338986	2020-10-29T19:52:02:284
-1,189233	4,682754	8,482556	2020-10-29T19:52:02:285
-1,332802	4,596612	8,599805	2020-10-29T19:52:02:285
-1,514657	4,555934	8,827123	2020-10-29T19:52:02:286
-1,596013	4,551149	8,930015	2020-10-29T19:52:02:301
-1,529014	4,579862	9,064013	2020-10-29T19:52:02:323
-2,210968	4,476971	9,317651	2020-10-29T19:52:02:341
-1,940579	4,424329	9,308081	2020-10-29T19:52:02:363
-1,911865	3,885944	9,274581	2020-10-29T19:52:02:382
-2,017149	3,608376	9,432507	2020-10-29T19:52:02:403
-2,038685	3,383451	9,241080	2020-10-29T19:52:02:421
-1,988436	3,247060	8,922836	2020-10-29T19:52:02:443
-1,947758	3,022135	8,757731	2020-10-29T19:52:02:462
-1,866402	2,998207	8,874979	2020-10-29T19:52:02:483
-1,923829	2,921637	8,836694	2020-10-29T19:52:02:501
-2,172683	3,017349	8,630912	2020-10-29T19:52:02:523
-2,356930	2,988636	8,681160	2020-10-29T19:52:02:541
-2,632105	2,830709	8,669197	2020-10-29T19:52:02:563
-2,830709	2,557927	8,544770	2020-10-29T19:52:02:582
-2,864209	2,364109	8,338986	2020-10-29T19:52:02:603
-2,560320	2,431108	7,982457	2020-10-29T19:52:02:621
-2,218147	2,215754	8,240881	2020-10-29T19:52:02:643
-2,036292	2,179861	8,621340	2020-10-29T19:52:02:661
-1,897508	2,653640	8,721838	2020-10-29T19:52:02:683
-2,031506	2,890530	8,740981	2020-10-29T19:52:02:702
-1,988436	2,943172	8,724231	2020-10-29T19:52:02:723
-1,909473	2,871387	9,056834	2020-10-29T19:52:02:741
-1,983650	2,955136	8,949157	2020-10-29T19:52:02:763
-2,234896	3,259024	8,532805	2020-10-29T19:52:02:785
-2,136791	3,373880	8,090133	2020-10-29T19:52:02:803
-2,206182	3,302095	7,913064	2020-10-29T19:52:02:822
-2,067399	3,194418	7,795816	2020-10-29T19:52:02:843
-1,969293	3,079563	7,487142	2020-10-29T19:52:02:861
-2,000400	2,895315	7,554141	2020-10-29T19:52:02:883
-2,000400	2,821138	7,446464	2020-10-29T19:52:02:902
-2,115255	2,773281	7,420143	2020-10-29T19:52:02:923
-2,325824	2,505285	7,240681	2020-10-29T19:52:02:943
-2,371287	2,627320	6,898508	2020-10-29T19:52:02:963
-2,395216	2,421536	6,539584	2020-10-29T19:52:02:982
-2,426322	1,895115	6,360123	2020-10-29T19:52:03:004
-2,708675	1,598405	6,465407	2020-10-29T19:52:03:022
-2,749353	1,574477	6,446264	2020-10-29T19:52:03:043
-2,859423	1,371087	6,257231	2020-10-29T19:52:03:062
-2,988636	1,184447	6,300302	2020-10-29T19:52:03:084
-3,177669	1,079163	5,941379	2020-10-29T19:52:03:103
-3,029313	1,024128	5,429315	2020-10-29T19:52:03:124
-3,357130	0,650848	4,783253	2020-10-29T19:52:03:142
-3,610770	0,014357	3,955336	2020-10-29T19:52:03:163
-4,106083	-0,574277	3,223132	2020-10-29T19:52:03:182
-4,931608	-1,624727	2,694318	2020-10-29T19:52:03:204
-5,843273	-2,892922	2,414358	2020-10-29T19:52:03:222
-7,520642	-5,192425	3,613162	2020-10-29T19:52:03:244
-9,571291	-8,362915	5,276174	2020-10-29T19:52:03:262
-10,844273	-10,631311	7,099504	2020-10-29T19:52:03:284
-12,248858	-11,684153	8,439486	2020-10-29T19:52:03:302
-12,890135	-9,702895	8,185846	2020-10-29T19:52:03:324
-12,076575	-6,668797	6,221339	2020-10-29T19:52:03:342
-12,535997	-6,419943	4,079762	2020-10-29T19:52:03:364
-11,566904	-6,407979	0,435494	2020-10-29T19:52:03:382
-13,715660	1,684547	4,582255	2020-10-29T19:52:03:404
-15,412170	-3,438486	1,962115	2020-10-29T19:52:03:422
-14,404793	-12,134004	2,191825	2020-10-29T19:52:03:444
-12,636496	-10,741381	2,318645	2020-10-29T19:52:03:462
-11,375479	-5,726025	1,584049	2020-10-29T19:52:03:484
-9,769895	-4,630112	0,978664	2020-10-29T19:52:03:502
-8,243275	-4,776074	1,103091	2020-10-29T19:52:03:524
-7,704889	-3,818945	1,686940	2020-10-29T19:52:03:544
-7,578069	-3,192025	2,347359	2020-10-29T19:52:03:565
-7,585248	-3,450450	2,574677	2020-10-29T19:52:03:592
-8,384450	-4,182654	2,395216	2020-10-29T19:52:03:768
-9,616754	-4,804788	2,548356	2020-10-29T19:52:03:769
-10,616954	-5,077570	2,632105	2020-10-29T19:52:03:770
-11,452050	-4,969893	2,627320	2020-10-29T19:52:03:771
-11,542977	-4,907679	2,651247	2020-10-29T19:52:03:771
-10,872985	-4,981857	2,847459	2020-10-29T19:52:03:773
-10,040283	-5,752346	3,450450	2020-10-29T19:52:03:774
-9,473185	-4,622933	3,175276	2020-10-29T19:52:03:775
-9,597611	-3,117848	3,117848	2020-10-29T19:52:03:775
-9,879964	-3,134598	3,263810	2020-10-29T19:52:03:824
-10,547562	-3,929015	3,175276	2020-10-29T19:52:03:825
-11,052447	-3,328416	3,397808	2020-10-29T19:52:03:826
-11,478370	-3,428915	3,038885	2020-10-29T19:52:03:847
-9,492328	-4,342973	-0,074178	2020-10-29T19:52:03:863
-12,119646	-6,123233	-1,320838	2020-10-29T19:52:03:885
-10,729417	6,764510	1,217947	2020-10-29T19:52:03:907
-9,887143	6,324231	0,713061	2020-10-29T19:52:03:927
-10,363315	-1,995614	2,861816	2020-10-29T19:52:03:944
-10,655239	-1,976472	2,679961	2020-10-29T19:52:03:966
-10,707881	-3,823731	2,014757	2020-10-29T19:52:03:984
-9,777073	-4,670790	0,784846	2020-10-29T19:52:04:007
-9,552148	-5,936593	0,354138	2020-10-29T19:52:04:024
-9,669396	-6,364908	0,923629	2020-10-29T19:52:04:046
-10,329816	-4,520042	1,411765	2020-10-29T19:52:04:064
-10,451849	-3,081956	1,639083	2020-10-29T19:52:04:087
-10,135997	-2,328217	2,182254	2020-10-29T19:52:04:105
-10,193424	-1,562513	2,220540	2020-10-29T19:52:04:126
-11,062018	-0,696311	1,696511	2020-10-29T19:52:04:145
-12,246466	-0,387637	1,978864	2020-10-29T19:52:04:175
