x	y	z	ts
-1,230231	5,996991	-2,310764	2020-11-19T14:35:16:367
-0,030831	-0,256206	-0,151075	2020-11-19T14:35:16:368
-0,148090	-0,114635	-0,293575	2020-11-19T14:35:16:369
0,105996	0,030609	-0,309501	2020-11-19T14:35:16:370
0,103346	-0,025574	-0,234245	2020-11-19T14:35:16:370
0,060926	0,071556	-0,378546	2020-11-19T14:35:16:371
-0,008466	0,179232	-0,447938	2020-11-19T14:35:16:398
0,026953	0,228643	-0,487224	2020-11-19T14:35:16:406
0,027431	0,232426	-0,489856	2020-11-19T14:35:16:407
-0,021999	0,217395	-0,508735	2020-11-19T14:35:16:407
0,019105	0,178174	-0,532952	2020-11-19T14:35:16:425
0,125524	0,314670	-0,608644	2020-11-19T14:35:16:447
0,134516	0,335494	-0,740461	2020-11-19T14:35:16:465
0,244079	0,247334	-0,675576	2020-11-19T14:35:16:486
-0,060681	0,311567	-0,652210	2020-11-19T14:35:16:506
-0,571857	0,225213	-0,982432	2020-11-19T14:35:16:526
-0,219313	-0,018574	-1,161383	2020-11-19T14:35:16:546
-0,754025	0,332269	-1,490183	2020-11-19T14:35:16:566
-0,336921	0,584398	-1,583493	2020-11-19T14:35:16:585
0,634263	2,363071	-1,726141	2020-11-19T14:35:16:606
-0,183791	0,623481	-1,440557	2020-11-19T14:35:16:625
-0,418465	0,518270	-1,285309	2020-11-19T14:35:16:647
0,231903	0,879411	-1,241830	2020-11-19T14:35:16:666
0,000417	0,515346	-1,292290	2020-11-19T14:35:16:686
-0,087312	0,422389	-1,310573	2020-11-19T14:35:16:705
0,684412	0,981425	-1,388625	2020-11-19T14:35:16:726
-0,099621	1,837401	-1,743828	2020-11-19T14:35:16:747
-0,455714	1,430167	-2,303825	2020-11-19T14:35:16:767
-0,425187	1,173836	-3,076107	2020-11-19T14:35:16:786
-0,319002	0,250901	-3,754873	2020-11-19T14:35:16:806
-0,033173	-0,799407	-4,487906	2020-11-19T14:35:16:826
0,050617	-1,223445	-5,151928	2020-11-19T14:35:16:847
-0,355591	-1,338151	-5,700135	2020-11-19T14:35:16:866
-0,785707	-0,603708	-5,625138	2020-11-19T14:35:16:886
-1,180462	-0,975964	-6,002013	2020-11-19T14:35:16:906
-1,354308	-1,858080	-6,262964	2020-11-19T14:35:16:926
-0,920345	-5,386138	-6,223875	2020-11-19T14:35:16:946
-0,692274	-6,891322	-5,831643	2020-11-19T14:35:16:968
-1,397214	-10,137066	-4,846510	2020-11-19T14:35:16:986
-2,413004	-13,115805	-3,354920	2020-11-19T14:35:17:006
-3,351699	-16,252745	-1,656739	2020-11-19T14:35:17:025
-4,275037	-19,090132	-1,052896	2020-11-19T14:35:17:047
-5,664024	-19,820736	-0,726895	2020-11-19T14:35:17:066
-7,191779	-19,669323	-0,816226	2020-11-19T14:35:17:089
-8,697241	0,083946	-2,402662	2020-11-19T14:35:17:199
-9,972483	-0,630501	-4,052928	2020-11-19T14:35:17:200
-10,968513	-2,200007	-5,159519	2020-11-19T14:35:17:200
-11,428604	-2,729923	-5,750137	2020-11-19T14:35:17:202
-11,899821	-2,702399	-5,626179	2020-11-19T14:35:17:202
-12,522497	-2,448730	-6,417185	2020-11-19T14:35:17:214
-14,220494	-2,176213	-7,148901	2020-11-19T14:35:17:236
-15,292480	-1,422473	-7,263756	2020-11-19T14:35:17:257
-16,385033	-1,851311	-7,369808	2020-11-19T14:35:17:266
-16,649872	-1,114567	-7,323626	2020-11-19T14:35:17:287
-16,182678	-0,584294	-7,405339	2020-11-19T14:35:17:306
-15,620944	-0,213594	-7,484934	2020-11-19T14:35:17:327
-14,585480	-0,008010	-7,563419	2020-11-19T14:35:17:346
-13,191690	0,374734	-7,237741	2020-11-19T14:35:17:368
-11,986447	0,579092	-6,780329	2020-11-19T14:35:17:387
-11,428029	0,578763	-6,477119	2020-11-19T14:35:17:408
-11,590717	0,464919	-6,070949	2020-11-19T14:35:17:426
-11,757685	0,497561	-5,949687	2020-11-19T14:35:17:449
-11,704897	0,754049	-5,891430	2020-11-19T14:35:17:467
-11,645541	1,070940	-6,198059	2020-11-19T14:35:17:488
-11,630470	1,202526	-6,221097	2020-11-19T14:35:17:507
-11,321534	1,437953	-6,163486	2020-11-19T14:35:17:536
-10,888840	2,148816	-6,285758	2020-11-19T14:35:17:547
-10,675209	2,473814	-6,133415	2020-11-19T14:35:17:599
-10,598921	2,691883	-5,939052	2020-11-19T14:35:17:599
-10,281572	3,144973	-5,894998	2020-11-19T14:35:17:609
-9,836584	3,388647	-5,733742	2020-11-19T14:35:17:626
-9,574340	3,740936	-5,660667	2020-11-19T14:35:17:654
-9,338882	4,339641	-5,409163	2020-11-19T14:35:17:776
-9,221057	4,804931	-5,070209	2020-11-19T14:35:17:777
-8,476943	5,313871	-4,221343	2020-11-19T14:35:17:778
-8,196982	5,368906	-4,230915	2020-11-19T14:35:17:779
-7,817680	5,427281	-3,780356	2020-11-19T14:35:17:779
-7,443847	5,769383	-3,374286	2020-11-19T14:35:17:779
-6,623909	6,016640	-2,989637	2020-11-19T14:35:17:786
-6,034420	6,237288	-2,124700	2020-11-19T14:35:17:808
-5,536862	6,420693	-1,444726	2020-11-19T14:35:17:827
-5,119465	6,526887	-0,817953	2020-11-19T14:35:17:849
-5,024059	-11,763751	-0,548243	2020-11-19T14:35:17:867
-3,680618	-10,963609	-0,913128	2020-11-19T14:35:17:890
-2,596286	-10,126244	-1,361206	2020-11-19T14:35:17:907
-2,269770	-9,946285	-1,379842	2020-11-19T14:35:17:929
