v1	v2	v3	v4	ts
1000,857422	103,688110	25,939999	1000,765137	2020-11-19T14:35:16:370
1000,847168	103,775307	25,939999	1000,754883	2020-11-19T14:35:16:506
1000,836548	103,865143	25,939999	1000,740723	2020-11-19T14:35:16:747
1000,826782	103,947052	25,949999	1000,739014	2020-11-19T14:35:16:987
1000,819031	104,010468	25,949999	1000,749512	2020-11-19T14:35:17:238
1000,815308	104,042175	25,949999	1000,781494	2020-11-19T14:35:17:467
1000,811279	104,076530	25,949999	1000,775146	2020-11-19T14:35:17:777
1000,808411	104,100304	25,949999	1000,782715	2020-11-19T14:35:17:949
1000,808167	104,102951	25,949999	1000,805908	2020-11-19T14:35:18:189
1000,801941	104,155792	25,949999	1000,745605	2020-11-19T14:35:18:430
1000,801758	104,155792	25,949999	1000,799805	2020-11-19T14:35:18:672
1000,801025	104,163719	25,959999	1000,794678	2020-11-19T14:35:18:910
1000,799133	104,179573	25,959999	1000,782227	2020-11-19T14:35:19:150
1000,797058	104,195427	25,959999	1000,778320	2020-11-19T14:35:19:389
1000,793457	104,227135	25,959999	1000,760986	2020-11-19T14:35:19:659
1000,793335	104,227135	25,959999	1000,791748	2020-11-19T14:35:19:869
1000,796692	104,200714	25,969999	1000,826904	2020-11-19T14:35:20:113
1000,799988	104,171646	25,959999	1000,829834	2020-11-19T14:35:20:353
1000,801941	104,155792	25,969999	1000,819336	2020-11-19T14:35:20:599
1000,801636	104,158440	25,969999	1000,798828	2020-11-19T14:35:20:834
1000,798157	104,187500	25,969999	1000,767090	2020-11-19T14:35:21:073
1000,795349	104,211281	25,969999	1000,770264	2020-11-19T14:35:21:315
1000,791565	104,242989	25,969999	1000,757324	2020-11-19T14:35:21:555
1000,789124	104,264130	25,980000	1000,766846	2020-11-19T14:35:21:794
1000,785645	104,293190	25,980000	1000,754395	2020-11-19T14:35:22:034
1000,780579	104,335472	25,969999	1000,735107	2020-11-19T14:35:22:275
1000,776611	104,367180	25,980000	1000,740479	2020-11-19T14:35:22:515
1000,773315	104,396240	25,980000	1000,743896	2020-11-19T14:35:22:755
1000,771179	104,414742	25,990000	1000,751465	2020-11-19T14:35:22:995
1000,773743	104,393600	25,980000	1000,797119	2020-11-19T14:35:23:235
1000,774475	104,385674	25,980000	1000,780762	2020-11-19T14:35:23:475
1000,778259	104,353966	25,980000	1000,812012	2020-11-19T14:35:23:716
1000,776917	104,364532	25,980000	1000,764404	2020-11-19T14:35:23:956
1000,776306	104,369820	25,990000	1000,770508	2020-11-19T14:35:24:196
1000,775452	104,377747	25,990000	1000,767822	2020-11-19T14:35:24:436
1000,774353	104,388313	25,990000	1000,764404	2020-11-19T14:35:24:676
1000,775269	104,380386	25,990000	1000,783203	2020-11-19T14:35:24:917
1000,773254	104,396240	25,990000	1000,755127	2020-11-19T14:35:25:158
1000,773438	104,396240	25,990000	1000,775146	2020-11-19T14:35:25:398
1000,775696	104,375107	25,990000	1000,796387	2020-11-19T14:35:25:638
1000,775085	104,380386	25,990000	1000,769531	2020-11-19T14:35:25:877
1000,776550	104,369820	25,990000	1000,789795	2020-11-19T14:35:26:119
1000,779114	104,346039	26,000000	1000,802490	2020-11-19T14:35:26:359
1000,781799	104,324898	26,000000	1000,805908	2020-11-19T14:35:26:599
1000,782654	104,316971	26,000000	1000,790283	2020-11-19T14:35:26:839
1000,780273	104,338112	25,990000	1000,758789	2020-11-19T14:35:27:079
1000,780029	104,340752	25,990000	1000,777832	2020-11-19T14:35:27:319
1000,782593	104,316971	26,000000	1000,805664	2020-11-19T14:35:27:560
1000,786255	104,287910	26,000000	1000,819336	2020-11-19T14:35:27:810
1000,788940	104,264130	25,990000	1000,813477	2020-11-19T14:35:28:040
1000,796692	104,200714	26,000000	1000,866699	2020-11-19T14:35:28:279
1000,801086	104,161079	25,990000	1000,840820	2020-11-19T14:35:28:520
1000,804260	104,134659	26,000000	1000,832764	2020-11-19T14:35:28:761
1000,806091	104,121445	25,990000	1000,822266	2020-11-19T14:35:29:001
1000,807495	104,108231	25,990000	1000,820312	2020-11-19T14:35:29:241
1000,810425	104,084457	25,990000	1000,836426	2020-11-19T14:35:29:481
1000,815430	104,042175	25,990000	1000,860107	2020-11-19T14:35:29:722
1000,819519	104,007828	26,000000	1000,856201	2020-11-19T14:35:29:962
1000,823242	103,976120	25,990000	1000,856689	2020-11-19T14:35:30:202
1000,824280	103,968193	26,000000	1000,833252	2020-11-19T14:35:30:442
1000,822876	103,978760	26,000000	1000,810059	2020-11-19T14:35:30:681
1000,822815	103,978760	25,990000	1000,822754	2020-11-19T14:35:30:922
1000,823730	103,970833	25,990000	1000,831543	2020-11-19T14:35:31:163
1000,821228	103,991974	25,990000	1000,798584	2020-11-19T14:35:31:403
1000,814575	104,050102	25,990000	1000,754883	2020-11-19T14:35:31:643
1000,808228	104,102951	25,990000	1000,751221	2020-11-19T14:35:31:882
1000,804321	104,134659	25,990000	1000,769287	2020-11-19T14:35:32:124
1000,798828	104,182220	25,990000	1000,749268	2020-11-19T14:35:32:364
1000,793152	104,229782	26,000000	1000,742188	2020-11-19T14:35:32:604
1000,790527	104,250916	25,990000	1000,766846	2020-11-19T14:35:32:845
1000,789246	104,261482	25,990000	1000,778076	2020-11-19T14:35:33:084
1000,786499	104,285263	25,990000	1000,761719	2020-11-19T14:35:33:325
1000,786072	104,287910	25,990000	1000,782227	2020-11-19T14:35:33:589
1000,788208	104,269409	25,990000	1000,807373	2020-11-19T14:35:33:805
1000,791138	104,245636	25,990000	1000,817383	2020-11-19T14:35:34:050
1000,790100	104,253555	25,990000	1000,780762	2020-11-19T14:35:34:285
1000,790039	104,256203	25,990000	1000,789551	2020-11-19T14:35:34:526
1000,792236	104,237709	25,990000	1000,812256	2020-11-19T14:35:34:766
1000,792053	104,237709	25,990000	1000,790283	2020-11-19T14:35:35:007
1000,792175	104,237709	25,990000	1000,793457	2020-11-19T14:35:35:247
1000,788208	104,269409	25,990000	1000,752197	2020-11-19T14:35:35:487
1000,786743	104,282623	25,990000	1000,773682	2020-11-19T14:35:35:727
1000,784119	104,306404	25,980000	1000,760498	2020-11-19T14:35:35:968
1000,782776	104,316971	25,990000	1000,770508	2020-11-19T14:35:36:208
1000,781250	104,330185	25,990000	1000,767578	2020-11-19T14:35:36:448
1000,781189	104,330185	25,990000	1000,780518	2020-11-19T14:35:36:689
1000,780823	104,332825	25,990000	1000,777344	2020-11-19T14:35:36:928
1000,780762	104,332825	25,980000	1000,780273	2020-11-19T14:35:37:169
1000,778015	104,356606	25,990000	1000,753662	2020-11-19T14:35:37:409
1000,774231	104,388313	25,990000	1000,739990	2020-11-19T14:35:37:649
1000,775574	104,377747	25,990000	1000,787598	2020-11-19T14:35:37:890
1000,775635	104,375107	25,980000	1000,776123	2020-11-19T14:35:38:171
1000,775940	104,372459	25,980000	1000,778320	2020-11-19T14:35:38:369
1000,778015	104,356606	25,990000	1000,797119	2020-11-19T14:35:38:609
1000,779114	104,346039	25,980000	1000,788818	2020-11-19T14:35:38:851
1000,778992	104,348679	25,980000	1000,778076	2020-11-19T14:35:39:091
1000,778992	104,348679	25,980000	1000,779053	2020-11-19T14:35:39:331
1000,777710	104,359253	25,980000	1000,766357	2020-11-19T14:35:39:571
1000,775818	104,375107	25,980000	1000,759033	2020-11-19T14:35:39:812
1000,777405	104,361893	25,980000	1000,791504	2020-11-19T14:35:40:051
1000,778137	104,356606	25,980000	1000,784912	2020-11-19T14:35:40:291
1000,776428	104,369820	25,969999	1000,760742	2020-11-19T14:35:40:533
1000,775696	104,375107	25,980000	1000,768555	2020-11-19T14:35:40:773
1000,772827	104,398888	25,980000	1000,746826	2020-11-19T14:35:41:013
1000,769592	104,427948	25,980000	1000,740723	2020-11-19T14:35:41:252
1000,770325	104,420021	25,980000	1000,776855	2020-11-19T14:35:41:493
1000,772217	104,404167	25,980000	1000,789062	2020-11-19T14:35:41:733
1000,770874	104,417381	25,980000	1000,758789	2020-11-19T14:35:41:974
1000,770813	104,417381	25,969999	1000,770264	2020-11-19T14:35:42:213
1000,770447	104,420021	25,980000	1000,766846	2020-11-19T14:35:42:454
1000,774414	104,385674	25,969999	1000,810547	2020-11-19T14:35:42:694
1000,777893	104,356606	25,980000	1000,809326	2020-11-19T14:35:42:934
1000,777649	104,359253	25,969999	1000,775635	2020-11-19T14:35:43:175
1000,774292	104,388313	25,969999	1000,743896	2020-11-19T14:35:43:415
1000,771790	104,409454	25,969999	1000,749512	2020-11-19T14:35:43:655
1000,770081	104,422668	25,959999	1000,754883	2020-11-19T14:35:43:895
1000,767090	104,449089	25,969999	1000,740234	2020-11-19T14:35:44:137
1000,764648	104,467583	25,969999	1000,742432	2020-11-19T14:35:44:377
1000,764221	104,472870	25,969999	1000,760010	2020-11-19T14:35:44:615
1000,765564	104,462296	25,969999	1000,777588	2020-11-19T14:35:44:856
1000,765320	104,462296	25,959999	1000,763428	2020-11-19T14:35:45:096
1000,765198	104,464943	25,969999	1000,763916	2020-11-19T14:35:45:337
1000,766846	104,449089	25,969999	1000,781494	2020-11-19T14:35:45:577
1000,768616	104,435875	25,959999	1000,784912	2020-11-19T14:35:45:817
1000,769775	104,425308	25,969999	1000,780273	2020-11-19T14:35:46:057
1000,769104	104,430588	25,969999	1000,763184	2020-11-19T14:35:46:297
1000,770874	104,417381	25,969999	1000,786621	2020-11-19T14:35:46:538
1000,772583	104,401527	25,969999	1000,787598	2020-11-19T14:35:46:779
1000,775452	104,377747	25,969999	1000,801025	2020-11-19T14:35:47:018
1000,778015	104,356606	25,959999	1000,801025	2020-11-19T14:35:47:258
1000,777405	104,361893	25,969999	1000,771729	2020-11-19T14:35:47:499
1000,775208	104,380386	25,959999	1000,755127	2020-11-19T14:35:47:739
1000,776306	104,369820	25,959999	1000,785889	2020-11-19T14:35:47:979
1000,774414	104,385674	25,969999	1000,757080	2020-11-19T14:35:48:220
1000,773376	104,396240	25,959999	1000,764160	2020-11-19T14:35:48:460
1000,772095	104,406815	25,969999	1000,760498	2020-11-19T14:35:48:700
1000,771484	104,412094	25,959999	1000,765625	2020-11-19T14:35:48:940
1000,772400	104,404167	25,959999	1000,780273	2020-11-19T14:35:49:181
1000,776123	104,372459	25,959999	1000,809570	2020-11-19T14:35:49:421
1000,774475	104,385674	25,959999	1000,759521	2020-11-19T14:35:49:661
1000,775513	104,377747	25,969999	1000,784912	2020-11-19T14:35:49:901
1000,776306	104,369820	25,959999	1000,783203	2020-11-19T14:35:50:141
1000,777527	104,359253	25,959999	1000,788086	2020-11-19T14:35:50:382
1000,782654	104,316971	25,959999	1000,828857	2020-11-19T14:35:50:622
1000,788757	104,266769	25,959999	1000,843994	2020-11-19T14:35:50:862
1000,796021	104,206001	25,959999	1000,861572	2020-11-19T14:35:51:103
1000,802246	104,153152	25,959999	1000,858398	2020-11-19T14:35:51:343
1000,807495	104,108231	25,949999	1000,854980	2020-11-19T14:35:51:583
1000,811157	104,076530	25,959999	1000,843994	2020-11-19T14:35:51:823
1000,816589	104,031609	25,959999	1000,864990	2020-11-19T14:35:52:063
1000,823486	103,973480	25,949999	1000,885498	2020-11-19T14:35:52:303
1000,827026	103,944412	25,949999	1000,858887	2020-11-19T14:35:52:544
1000,828308	103,933846	25,949999	1000,839844	2020-11-19T14:35:52:784
1000,828247	103,933846	25,949999	1000,827148	2020-11-19T14:35:53:024
1000,826233	103,952339	25,949999	1000,807617	2020-11-19T14:35:53:264
1000,824402	103,965553	25,949999	1000,807617	2020-11-19T14:35:53:504
1000,821960	103,986687	25,949999	1000,799805	2020-11-19T14:35:53:744
1000,820435	103,999901	25,949999	1000,806641	2020-11-19T14:35:53:985
1000,816040	104,036896	25,949999	1000,776611	2020-11-19T14:35:54:225
1000,811707	104,073883	25,949999	1000,772705	2020-11-19T14:35:54:465
1000,806519	104,116158	25,949999	1000,759521	2020-11-19T14:35:54:705
1000,802612	104,150513	25,949999	1000,767334	2020-11-19T14:35:54:946
1000,800720	104,166367	25,949999	1000,783691	2020-11-19T14:35:55:187
1000,798462	104,184860	25,949999	1000,777832	2020-11-19T14:35:55:427
1000,797607	104,192787	25,949999	1000,790283	2020-11-19T14:35:55:668
1000,796753	104,198074	25,949999	1000,788818	2020-11-19T14:35:55:907
1000,795715	104,208641	25,949999	1000,786377	2020-11-19T14:35:56:148
1000,796753	104,198074	25,949999	1000,805908	2020-11-19T14:35:56:388
1000,795715	104,208641	25,949999	1000,786621	2020-11-19T14:35:56:627
1000,797180	104,195427	25,949999	1000,810547	2020-11-19T14:35:56:869
1000,797913	104,187500	25,949999	1000,804443	2020-11-19T14:35:57:108
1000,798889	104,179573	25,949999	1000,807617	2020-11-19T14:35:57:348
1000,799377	104,176933	25,939999	1000,803467	2020-11-19T14:35:57:589
1000,798035	104,187500	25,939999	1000,785889	2020-11-19T14:35:57:829
1000,793274	104,227135	25,939999	1000,750244	2020-11-19T14:35:58:069
1000,787170	104,279984	25,939999	1000,731934	2020-11-19T14:35:58:309
1000,786377	104,285263	25,939999	1000,779053	2020-11-19T14:35:58:550
1000,787048	104,279984	25,939999	1000,793457	2020-11-19T14:35:58:790
1000,786438	104,285263	25,939999	1000,781250	2020-11-19T14:35:59:030
1000,784912	104,298477	25,939999	1000,770996	2020-11-19T14:35:59:270
1000,781860	104,324898	25,939999	1000,754395	2020-11-19T14:35:59:510
1000,779297	104,346039	25,939999	1000,756104	2020-11-19T14:35:59:751
1000,780090	104,338112	25,939999	1000,787109	2020-11-19T14:35:59:992
1000,781677	104,324898	25,939999	1000,795410	2020-11-19T14:36:00:231
1000,784546	104,301117	25,939999	1000,810059	2020-11-19T14:36:00:471
1000,781799	104,324898	25,939999	1000,757080	2020-11-19T14:36:00:711
1000,781067	104,330185	25,939999	1000,774414	2020-11-19T14:36:00:952
1000,780396	104,335472	25,939999	1000,774170	2020-11-19T14:36:01:192
1000,780762	104,332825	25,939999	1000,783936	2020-11-19T14:36:01:432
1000,780151	104,338112	25,939999	1000,774658	2020-11-19T14:36:01:672
1000,779480	104,343399	25,939999	1000,773438	2020-11-19T14:36:01:913
1000,778320	104,353966	25,930000	1000,767822	2020-11-19T14:36:02:153
1000,775513	104,377747	25,930000	1000,750488	2020-11-19T14:36:02:394
1000,773193	104,396240	25,930000	1000,752441	2020-11-19T14:36:02:633
1000,771790	104,409454	25,930000	1000,759277	2020-11-19T14:36:02:874
1000,769409	104,427948	25,930000	1000,748291	2020-11-19T14:36:03:114
1000,763550	104,478149	25,930000	1000,710938	2020-11-19T14:36:03:354
1000,759705	104,509857	25,930000	1000,724609	2020-11-19T14:36:03:595
1000,758362	104,520432	25,920000	1000,746338	2020-11-19T14:36:03:834
1000,758484	104,520432	25,930000	1000,759766	2020-11-19T14:36:04:075
1000,760986	104,499290	25,930000	1000,783447	2020-11-19T14:36:04:315
1000,761658	104,494003	25,930000	1000,767334	2020-11-19T14:36:04:555
1000,760803	104,501930	25,930000	1000,752930	2020-11-19T14:36:04:796
1000,760254	104,504578	25,930000	1000,755615	2020-11-19T14:36:05:036
1000,759460	104,512505	25,920000	1000,752197	2020-11-19T14:36:05:276
1000,759338	104,512505	25,920000	1000,758301	2020-11-19T14:36:05:517
1000,756531	104,536285	25,920000	1000,730713	2020-11-19T14:36:05:757
1000,755737	104,544212	25,920000	1000,748779	2020-11-19T14:36:05:997
1000,754395	104,554779	25,920000	1000,742432	2020-11-19T14:36:06:237
1000,755066	104,549492	25,920000	1000,760742	2020-11-19T14:36:06:477
1000,757263	104,530998	25,920000	1000,776611	2020-11-19T14:36:06:717
1000,761536	104,494003	25,920000	1000,799805	2020-11-19T14:36:06:957
1000,765381	104,462296	25,920000	1000,799805	2020-11-19T14:36:07:198
1000,767212	104,446442	25,920000	1000,783691	2020-11-19T14:36:07:439
1000,767273	104,446442	25,910000	1000,767822	2020-11-19T14:36:07:678
1000,764343	104,470222	25,920000	1000,737549	2020-11-19T14:36:08:242
1000,762817	104,483437	25,910000	1000,749512	2020-11-19T14:36:08:243
1000,762878	104,483437	25,910000	1000,763428	2020-11-19T14:36:08:415
1000,763000	104,483437	25,910000	1000,763672	2020-11-19T14:36:08:642
1000,763916	104,475510	25,910000	1000,771729	2020-11-19T14:36:08:880
1000,763672	104,475510	25,910000	1000,761230	2020-11-19T14:36:09:119
1000,763428	104,478149	25,900000	1000,761230	2020-11-19T14:36:09:360
1000,764160	104,472870	25,910000	1000,770508	2020-11-19T14:36:09:601
1000,764587	104,470222	25,900000	1000,768066	2020-11-19T14:36:09:840
1000,763000	104,483437	25,910000	1000,748779	2020-11-19T14:36:10:082
1000,761169	104,499290	25,900000	1000,744629	2020-11-19T14:36:10:321
1000,757446	104,528358	25,910000	1000,723633	2020-11-19T14:36:10:565
1000,755798	104,544212	25,900000	1000,740967	2020-11-19T14:36:10:802
1000,752991	104,565346	25,910000	1000,727783	2020-11-19T14:36:11:041
1000,751831	104,575920	25,910000	1000,741211	2020-11-19T14:36:11:282
1000,751709	104,578560	25,910000	1000,750244	2020-11-19T14:36:11:524
1000,752014	104,575920	25,910000	1000,754639	2020-11-19T14:36:11:762
1000,751648	104,578560	25,910000	1000,748047	2020-11-19T14:36:12:003
1000,751465	104,578560	25,910000	1000,750000	2020-11-19T14:36:12:243
1000,751160	104,581200	25,920000	1000,748779	2020-11-19T14:36:12:483
1000,753418	104,562706	25,920000	1000,773682	2020-11-19T14:36:12:723
1000,758301	104,523071	25,920000	1000,802490	2020-11-19T14:36:12:963
1000,760559	104,501930	25,920000	1000,780762	2020-11-19T14:36:13:204
1000,762878	104,483437	25,920000	1000,783447	2020-11-19T14:36:13:444
1000,763733	104,475510	25,910000	1000,771484	2020-11-19T14:36:13:684
1000,764099	104,472870	25,920000	1000,767578	2020-11-19T14:36:13:924
1000,765808	104,459656	25,920000	1000,781250	2020-11-19T14:36:14:165
1000,766724	104,451729	25,920000	1000,774902	2020-11-19T14:36:14:405
1000,766174	104,457016	25,920000	1000,761475	2020-11-19T14:36:14:645
1000,766602	104,451729	25,920000	1000,770508	2020-11-19T14:36:14:885
1000,766357	104,454369	25,920000	1000,763672	2020-11-19T14:36:15:126
1000,766418	104,454369	25,920000	1000,766846	2020-11-19T14:36:15:366
1000,762329	104,488724	25,910000	1000,725586	2020-11-19T14:36:15:606
1000,760254	104,504578	25,920000	1000,741211	2020-11-19T14:36:15:847
1000,759827	104,509857	25,920000	1000,756104	2020-11-19T14:36:16:087
1000,757812	104,525711	25,920000	1000,739502	2020-11-19T14:36:16:326
1000,757263	104,530998	25,920000	1000,752197	2020-11-19T14:36:16:567
1000,757751	104,525711	25,920000	1000,762207	2020-11-19T14:36:16:807
1000,754944	104,549492	25,920000	1000,729980	2020-11-19T14:36:17:047
1000,756775	104,536285	25,920000	1000,773193	2020-11-19T14:36:17:288
1000,758789	104,517784	25,920000	1000,776611	2020-11-19T14:36:17:528
1000,755493	104,546852	25,920000	1000,725830	2020-11-19T14:36:17:768
1000,753479	104,562706	25,920000	1000,735352	2020-11-19T14:36:18:009
1000,754333	104,554779	25,930000	1000,762207	2020-11-19T14:36:18:249
1000,754333	104,554779	25,920000	1000,753906	2020-11-19T14:36:18:491
1000,753967	104,557419	25,920000	1000,750244	2020-11-19T14:36:18:730
1000,756104	104,541565	25,920000	1000,775391	2020-11-19T14:36:18:970
1000,757568	104,528358	25,920000	1000,770508	2020-11-19T14:36:19:211
1000,761353	104,496651	25,920000	1000,795898	2020-11-19T14:36:19:452
1000,766785	104,451729	25,920000	1000,815918	2020-11-19T14:36:19:694
1000,767822	104,441162	25,920000	1000,777588	2020-11-19T14:36:19:931
1000,768066	104,441162	25,910000	1000,770264	2020-11-19T14:36:20:171
1000,769226	104,430588	25,910000	1000,780029	2020-11-19T14:36:20:412
