x	y	z	ts
-1,386579	5,963530	7,660554	2020-11-19T14:35:16:367
-1,392899	5,963088	7,659752	2020-11-19T14:35:16:367
-1,340245	5,845445	7,759181	2020-11-19T14:35:16:367
-1,345478	5,819842	7,777500	2020-11-19T14:35:16:369
-1,342828	5,799455	7,793171	2020-11-19T14:35:16:370
-1,341205	5,767505	7,817125	2020-11-19T14:35:16:370
-1,343479	5,733432	7,841760	2020-11-19T14:35:16:371
-1,362149	5,664879	7,888224	2020-11-19T14:35:16:397
-1,362626	5,661097	7,890857	2020-11-19T14:35:16:406
-1,363445	5,654592	7,895378	2020-11-19T14:35:16:406
-1,363871	5,650743	7,898060	2020-11-19T14:35:16:407
-1,362614	5,605174	7,930681	2020-11-19T14:35:16:425
-1,354856	5,555635	7,966785	2020-11-19T14:35:16:447
-1,347170	5,502619	8,004792	2020-11-19T14:35:16:465
-1,334335	5,424028	8,060389	2020-11-19T14:35:16:486
-1,337616	5,340492	8,115437	2020-11-19T14:35:16:506
-1,362343	5,254070	8,167567	2020-11-19T14:35:16:525
-1,358837	5,140117	8,240336	2020-11-19T14:35:16:546
-1,376340	5,057878	8,288181	2020-11-19T14:35:16:566
-1,366466	4,994858	8,327938	2020-11-19T14:35:16:585
-1,302152	4,961367	8,358207	2020-11-19T14:35:16:606
-1,292403	4,848832	8,425491	2020-11-19T14:35:16:625
-1,291923	4,748507	8,482512	2020-11-19T14:35:16:647
-1,254256	4,667508	8,532971	2020-11-19T14:35:16:665
-1,221562	4,571432	8,589540	2020-11-19T14:35:16:686
-1,189298	4,486175	8,638877	2020-11-19T14:35:16:705
-1,113540	4,424616	8,680621	2020-11-19T14:35:16:726
-1,085264	4,360464	8,716590	2020-11-19T14:35:16:747
-1,046399	4,210015	8,794953	2020-11-19T14:35:16:767
-0,992265	4,003538	8,897049	2020-11-19T14:35:16:786
-0,916778	3,697115	9,036661	2020-11-19T14:35:16:806
-0,821106	3,293237	9,200584	2020-11-19T14:35:16:826
-0,723572	2,807344	9,368332	2020-11-19T14:35:16:847
-0,666737	2,324148	9,503903	2020-11-19T14:35:16:866
-0,635690	1,820630	9,615175	2020-11-19T14:35:16:886
-0,619771	1,255089	9,706236	2020-11-19T14:35:16:906
-2,202289	3,299597	8,968443	2020-11-19T14:35:16:926
-2,899353	4,125219	8,411106	2020-11-19T14:35:16:946
-3,441074	5,188709	7,576721	2020-11-19T14:35:16:968
-3,729372	6,281903	6,542160	2020-11-19T14:35:16:986
-4,034944	7,279659	5,186152	2020-11-19T14:35:17:006
-3,654778	8,257824	3,823785	2020-11-19T14:35:17:025
-2,782640	9,124819	2,272659	2020-11-19T14:35:17:047
-1,594666	9,648181	0,734870	2020-11-19T14:35:17:066
-0,716123	-9,734200	0,950218	2020-11-19T14:35:17:089
-0,249655	-9,488746	2,464094	2020-11-19T14:35:17:199
0,258239	-9,048653	3,771682	2020-11-19T14:35:17:200
0,763793	-8,461308	4,898292	2020-11-19T14:35:17:200
1,230225	-7,828413	5,776927	2020-11-19T14:35:17:201
1,635154	-7,254165	6,393257	2020-11-19T14:35:17:202
2,019848	-6,762278	6,808980	2020-11-19T14:35:17:214
2,399951	-6,366164	7,062759	2020-11-19T14:35:17:235
2,659802	-6,159859	7,152061	2020-11-19T14:35:17:257
2,886356	-6,035187	7,170485	2020-11-19T14:35:17:266
3,041297	-5,984004	7,149307	2020-11-19T14:35:17:287
3,130409	-5,988602	7,106868	2020-11-19T14:35:17:306
3,174109	-6,033867	7,048962	2020-11-19T14:35:17:327
3,170549	-6,107937	6,986495	2020-11-19T14:35:17:346
3,113861	-6,202225	6,928684	2020-11-19T14:35:17:368
2,921545	-6,438787	6,795365	2020-11-19T14:35:17:387
2,720524	-6,679080	6,645226	2020-11-19T14:35:17:408
2,595567	-6,802649	6,569428	2020-11-19T14:35:17:426
2,423138	-6,934710	6,496814	2020-11-19T14:35:17:449
2,217820	-7,057783	6,437341	2020-11-19T14:35:17:467
1,980217	-7,184583	6,374237	2020-11-19T14:35:17:488
1,711959	-7,307547	6,311841	2020-11-19T14:35:17:507
1,394120	-7,427382	6,249865	2020-11-19T14:35:17:536
1,034527	-7,546599	6,176486	2020-11-19T14:35:17:547
0,651958	-7,666561	6,080228	2020-11-19T14:35:17:599
0,234110	-7,791835	5,950033	2020-11-19T14:35:17:599
-0,227629	-7,923045	5,774420	2020-11-19T14:35:17:609
-0,726762	-8,055196	5,545812	2020-11-19T14:35:17:626
-1,244573	-8,189692	5,248844	2020-11-19T14:35:17:653
-1,726107	-8,327166	4,883569	2020-11-19T14:35:17:776
-2,170080	-8,474607	4,431950	2020-11-19T14:35:17:777
-2,585075	-8,637502	3,857634	2020-11-19T14:35:17:778
-2,861488	-8,748519	3,383147	2020-11-19T14:35:17:779
-3,151572	-8,848947	2,816758	2020-11-19T14:35:17:779
-3,375696	-8,926312	2,257433	2020-11-19T14:35:17:779
-3,498586	-9,036890	1,504959	2020-11-19T14:35:17:786
-3,570221	-9,098262	0,803450	2020-11-19T14:35:17:809
-3,592802	-9,123099	0,176677	2020-11-19T14:35:17:827
-3,683422	9,088575	0,024215	2020-11-19T14:35:17:849
-4,861759	8,506180	0,422599	2020-11-19T14:35:17:867
-5,850378	7,836312	0,731894	2020-11-19T14:35:17:890
-6,447283	7,333323	0,908456	2020-11-19T14:35:17:907
-7,140632	6,632832	1,089636	2020-11-19T14:35:17:929
-7,702457	5,949392	1,203026	2020-11-19T14:35:17:948
-8,132384	5,330978	1,270975	2020-11-19T14:35:17:969
-8,469568	4,766350	1,310994	2020-11-19T14:35:17:987
-8,738002	4,256085	1,305160	2020-11-19T14:35:18:009
-8,932217	3,848932	1,253641	2020-11-19T14:35:18:027
-8,995906	3,723146	1,175692	2020-11-19T14:35:18:050
-9,088193	3,517733	1,095757	2020-11-19T14:35:18:068
-9,147181	3,387412	1,012380	2020-11-19T14:35:18:089
-9,188798	3,295588	0,935675	2020-11-19T14:35:18:107
-9,221225	3,221546	0,872376	2020-11-19T14:35:18:129
-9,256605	3,130975	0,826218	2020-11-19T14:35:18:147
-9,296338	3,019633	0,793920	2020-11-19T14:35:18:169
-9,338304	2,895254	0,764184	2020-11-19T14:35:18:188
-9,382961	2,752910	0,742905	2020-11-19T14:35:18:209
-9,428291	2,594907	0,737675	2020-11-19T14:35:18:227
-9,475650	2,411736	0,752313	2020-11-19T14:35:18:249
-9,516594	2,236896	0,775324	2020-11-19T14:35:18:267
-9,554569	2,056633	0,806757	2020-11-19T14:35:18:289
-9,593863	1,844988	0,850991	2020-11-19T14:35:18:307
-9,637652	1,574788	0,897823	2020-11-19T14:35:18:329
-9,679690	1,269019	0,929287	2020-11-19T14:35:18:348
-9,713751	0,970029	0,934064	2020-11-19T14:35:18:369
-9,737790	0,706871	0,919873	2020-11-19T14:35:18:388
-9,754163	0,483110	0,890676	2020-11-19T14:35:18:411
-9,763363	0,361466	0,846449	2020-11-19T14:35:18:429
-9,768312	0,382745	0,777151	2020-11-19T14:35:18:450
-9,767927	0,526481	0,693402	2020-11-19T14:35:18:468
-9,758902	0,758706	0,598819	2020-11-19T14:35:18:491
-9,741620	1,003558	0,513903	2020-11-19T14:35:18:507
-9,723306	1,200335	0,432336	2020-11-19T14:35:18:531
-9,709053	1,333132	0,356988	2020-11-19T14:35:18:549
-9,703177	1,388991	0,299059	2020-11-19T14:35:18:579
-9,703392	1,396333	0,254603	2020-11-19T14:35:18:588
-9,692881	1,475134	0,205983	2020-11-19T14:35:18:616
-9,689706	1,498440	0,186182	2020-11-19T14:35:18:628
-9,693954	1,470108	0,190823	2020-11-19T14:35:18:651
-9,705450	1,388359	0,216984	2020-11-19T14:35:18:671
-9,723207	1,249409	0,261950	2020-11-19T14:35:18:691
-9,747765	1,020781	0,330877	2020-11-19T14:35:18:709
-9,770350	0,736488	0,410179	2020-11-19T14:35:18:731
-9,786566	0,376298	0,501918	2020-11-19T14:35:18:749
-9,788903	-0,004083	0,589701	2020-11-19T14:35:18:771
-9,771151	-0,469865	0,688644	2020-11-19T14:35:18:789
-9,730947	-0,933814	0,779131	2020-11-19T14:35:18:810
-9,657428	-1,461255	0,877043	2020-11-19T14:35:18:829
-9,576617	-1,880839	0,959809	2020-11-19T14:35:18:851
-9,499501	-2,203455	1,036650	2020-11-19T14:35:18:868
-9,418729	-2,487446	1,127182	2020-11-19T14:35:18:891
-9,354421	-2,685127	1,206352	2020-11-19T14:35:18:909
-9,279934	-2,891084	1,301863	2020-11-19T14:35:18:930
-9,185953	-3,129734	1,411884	2020-11-19T14:35:18:948
-9,071342	-3,398216	1,527498	2020-11-19T14:35:18:970
-8,932964	-3,698126	1,642069	2020-11-19T14:35:18:988
-8,785151	-3,993806	1,743851	2020-11-19T14:35:19:010
-8,622089	-4,300029	1,827488	2020-11-19T14:35:19:028
-8,480479	-4,546894	1,891459	2020-11-19T14:35:19:051
-8,347709	-4,761790	1,952306	2020-11-19T14:35:19:068
-8,222503	-4,956843	1,997634	2020-11-19T14:35:19:090
-8,110121	-5,121790	2,040489	2020-11-19T14:35:19:108
-7,969818	-5,318141	2,090397	2020-11-19T14:35:19:130
-7,846303	-5,480639	2,137406	2020-11-19T14:35:19:149
-7,739347	-5,613308	2,182579	2020-11-19T14:35:19:170
-7,646185	-5,722979	2,225702	2020-11-19T14:35:19:188
-7,568892	-5,812173	2,258520	2020-11-19T14:35:19:210
