light_intensity	ts
1846809,000000	2020-11-19T14:35:22:177
1846255,000000	2020-11-19T14:35:22:217
1845016,000000	2020-11-19T14:35:22:257
1845913,000000	2020-11-19T14:35:22:297
1848727,000000	2020-11-19T14:35:22:337
1851981,000000	2020-11-19T14:35:22:377
1855632,000000	2020-11-19T14:35:22:417
1858376,000000	2020-11-19T14:35:22:456
1860116,000000	2020-11-19T14:35:22:497
1861452,000000	2020-11-19T14:35:22:536
1864180,000000	2020-11-19T14:35:22:577
1869928,000000	2020-11-19T14:35:22:617
1877063,000000	2020-11-19T14:35:22:658
1883895,000000	2020-11-19T14:35:22:697
1887138,000000	2020-11-19T14:35:22:738
1891427,000000	2020-11-19T14:35:22:778
1896231,000000	2020-11-19T14:35:22:817
1901332,000000	2020-11-19T14:35:22:857
1904340,000000	2020-11-19T14:35:22:898
1904198,000000	2020-11-19T14:35:22:937
1904307,000000	2020-11-19T14:35:22:978
1906709,000000	2020-11-19T14:35:23:017
1910437,000000	2020-11-19T14:35:23:058
1915403,000000	2020-11-19T14:35:23:099
1919424,000000	2020-11-19T14:35:23:139
1922489,000000	2020-11-19T14:35:23:177
1924032,000000	2020-11-19T14:35:23:218
1925816,000000	2020-11-19T14:35:23:258
1927284,000000	2020-11-19T14:35:23:298
1928611,000000	2020-11-19T14:35:23:338
1930865,000000	2020-11-19T14:35:23:378
1932854,000000	2020-11-19T14:35:23:417
1936213,000000	2020-11-19T14:35:23:459
1940743,000000	2020-11-19T14:35:23:497
1944907,000000	2020-11-19T14:35:23:538
1948754,000000	2020-11-19T14:35:23:578
1949613,000000	2020-11-19T14:35:23:618
1948166,000000	2020-11-19T14:35:23:658
1947657,000000	2020-11-19T14:35:23:699
1948994,000000	2020-11-19T14:35:23:738
1950681,000000	2020-11-19T14:35:23:779
1952983,000000	2020-11-19T14:35:23:818
1954895,000000	2020-11-19T14:35:23:859
1956960,000000	2020-11-19T14:35:23:898
1958638,000000	2020-11-19T14:35:23:939
1961312,000000	2020-11-19T14:35:23:978
1964139,000000	2020-11-19T14:35:24:019
1966470,000000	2020-11-19T14:35:24:059
1969734,000000	2020-11-19T14:35:24:099
1971975,000000	2020-11-19T14:35:24:138
1974451,000000	2020-11-19T14:35:24:179
1975671,000000	2020-11-19T14:35:24:218
1976610,000000	2020-11-19T14:35:24:259
1976983,000000	2020-11-19T14:35:24:299
1976545,000000	2020-11-19T14:35:24:339
1974498,000000	2020-11-19T14:35:24:379
1972946,000000	2020-11-19T14:35:24:420
1972194,000000	2020-11-19T14:35:24:459
1971212,000000	2020-11-19T14:35:24:500
1969618,000000	2020-11-19T14:35:24:539
1967706,000000	2020-11-19T14:35:24:579
1965030,000000	2020-11-19T14:35:24:619
1961780,000000	2020-11-19T14:35:24:660
1959964,000000	2020-11-19T14:35:24:699
1959917,000000	2020-11-19T14:35:24:739
1960556,000000	2020-11-19T14:35:24:779
1962516,000000	2020-11-19T14:35:24:819
1964527,000000	2020-11-19T14:35:24:860
1967078,000000	2020-11-19T14:35:24:900
1968762,000000	2020-11-19T14:35:24:939
1971595,000000	2020-11-19T14:35:24:980
1973998,000000	2020-11-19T14:35:25:019
1975636,000000	2020-11-19T14:35:25:060
1974318,000000	2020-11-19T14:35:25:099
1972056,000000	2020-11-19T14:35:25:140
1971054,000000	2020-11-19T14:35:25:179
1970936,000000	2020-11-19T14:35:25:220
1972016,000000	2020-11-19T14:35:25:260
1973789,000000	2020-11-19T14:35:25:301
1977343,000000	2020-11-19T14:35:25:339
1980835,000000	2020-11-19T14:35:25:381
1983156,000000	2020-11-19T14:35:25:420
1984748,000000	2020-11-19T14:35:25:461
1985485,000000	2020-11-19T14:35:25:500
1986473,000000	2020-11-19T14:35:25:541
1988135,000000	2020-11-19T14:35:25:580
1990478,000000	2020-11-19T14:35:25:621
1992724,000000	2020-11-19T14:35:25:660
1994834,000000	2020-11-19T14:35:25:701
1996165,000000	2020-11-19T14:35:25:740
1996836,000000	2020-11-19T14:35:25:781
1994760,000000	2020-11-19T14:35:25:820
1992567,000000	2020-11-19T14:35:25:862
1991348,000000	2020-11-19T14:35:25:900
1991865,000000	2020-11-19T14:35:25:947
1992141,000000	2020-11-19T14:35:25:980
1991964,000000	2020-11-19T14:35:26:021
1991236,000000	2020-11-19T14:35:26:061
1991535,000000	2020-11-19T14:35:26:102
1991775,000000	2020-11-19T14:35:26:140
1992587,000000	2020-11-19T14:35:26:181
1993678,000000	2020-11-19T14:35:26:221
1994908,000000	2020-11-19T14:35:26:262
1996926,000000	2020-11-19T14:35:26:301
1998929,000000	2020-11-19T14:35:26:343
2001146,000000	2020-11-19T14:35:26:382
2003087,000000	2020-11-19T14:35:26:422
2004903,000000	2020-11-19T14:35:26:461
2003166,000000	2020-11-19T14:35:26:503
1999145,000000	2020-11-19T14:35:26:540
1994651,000000	2020-11-19T14:35:26:581
1991018,000000	2020-11-19T14:35:26:621
1988407,000000	2020-11-19T14:35:26:662
1986923,000000	2020-11-19T14:35:26:701
1987176,000000	2020-11-19T14:35:26:741
1987489,000000	2020-11-19T14:35:26:781
1987598,000000	2020-11-19T14:35:26:822
1987833,000000	2020-11-19T14:35:26:861
1988263,000000	2020-11-19T14:35:26:902
1989401,000000	2020-11-19T14:35:26:941
1991651,000000	2020-11-19T14:35:26:982
1993877,000000	2020-11-19T14:35:27:021
1995454,000000	2020-11-19T14:35:27:062
1997588,000000	2020-11-19T14:35:27:101
2000644,000000	2020-11-19T14:35:27:141
2003549,000000	2020-11-19T14:35:27:181
2002808,000000	2020-11-19T14:35:27:222
2000219,000000	2020-11-19T14:35:27:262
2001601,000000	2020-11-19T14:35:27:302
2009260,000000	2020-11-19T14:35:27:341
2018375,000000	2020-11-19T14:35:27:382
2026274,000000	2020-11-19T14:35:27:421
2033432,000000	2020-11-19T14:35:27:462
2039670,000000	2020-11-19T14:35:27:501
2046020,000000	2020-11-19T14:35:27:542
2051944,000000	2020-11-19T14:35:27:582
2059614,000000	2020-11-19T14:35:27:623
2067670,000000	2020-11-19T14:35:27:662
2077052,000000	2020-11-19T14:35:27:702
2085037,000000	2020-11-19T14:35:27:741
2092259,000000	2020-11-19T14:35:27:785
2099076,000000	2020-11-19T14:35:27:822
2107370,000000	2020-11-19T14:35:27:862
2113310,000000	2020-11-19T14:35:27:902
2118224,000000	2020-11-19T14:35:27:942
2122949,000000	2020-11-19T14:35:27:982
2128513,000000	2020-11-19T14:35:28:023
2134284,000000	2020-11-19T14:35:28:062
2139592,000000	2020-11-19T14:35:28:103
2144917,000000	2020-11-19T14:35:28:142
2150824,000000	2020-11-19T14:35:28:182
2156156,000000	2020-11-19T14:35:28:222
2167443,000000	2020-11-19T14:35:28:263
2167443,000000	2020-11-19T14:35:28:301
2178372,000000	2020-11-19T14:35:28:344
2183614,000000	2020-11-19T14:35:28:383
2189857,000000	2020-11-19T14:35:28:424
2195685,000000	2020-11-19T14:35:28:464
2201565,000000	2020-11-19T14:35:28:504
2206299,000000	2020-11-19T14:35:28:542
2210188,000000	2020-11-19T14:35:28:583
2212068,000000	2020-11-19T14:35:28:623
2214308,000000	2020-11-19T14:35:28:663
2218088,000000	2020-11-19T14:35:28:702
2221937,000000	2020-11-19T14:35:28:744
2226065,000000	2020-11-19T14:35:28:782
2230732,000000	2020-11-19T14:35:28:823
2234192,000000	2020-11-19T14:35:28:862
2237647,000000	2020-11-19T14:35:28:903
2241302,000000	2020-11-19T14:35:28:942
2245162,000000	2020-11-19T14:35:28:983
2249895,000000	2020-11-19T14:35:29:022
2255754,000000	2020-11-19T14:35:29:064
2261638,000000	2020-11-19T14:35:29:102
2265545,000000	2020-11-19T14:35:29:143
2270078,000000	2020-11-19T14:35:29:182
2273921,000000	2020-11-19T14:35:29:223
2277942,000000	2020-11-19T14:35:29:263
2280423,000000	2020-11-19T14:35:29:303
2282128,000000	2020-11-19T14:35:29:343
2285259,000000	2020-11-19T14:35:29:383
2287330,000000	2020-11-19T14:35:29:422
2289527,000000	2020-11-19T14:35:29:464
2293949,000000	2020-11-19T14:35:29:503
2297938,000000	2020-11-19T14:35:29:543
2303526,000000	2020-11-19T14:35:29:583
2310738,000000	2020-11-19T14:35:29:623
2316945,000000	2020-11-19T14:35:29:663
2317686,000000	2020-11-19T14:35:29:704
2317772,000000	2020-11-19T14:35:29:743
2319500,000000	2020-11-19T14:35:29:784
2321318,000000	2020-11-19T14:35:29:824
2321303,000000	2020-11-19T14:35:29:865
2321381,000000	2020-11-19T14:35:29:903
2320577,000000	2020-11-19T14:35:29:944
2319476,000000	2020-11-19T14:35:29:983
2316110,000000	2020-11-19T14:35:30:024
2311503,000000	2020-11-19T14:35:30:064
2307364,000000	2020-11-19T14:35:30:105
2303885,000000	2020-11-19T14:35:30:144
2301817,000000	2020-11-19T14:35:30:185
2300191,000000	2020-11-19T14:35:30:223
2299591,000000	2020-11-19T14:35:30:265
2298485,000000	2020-11-19T14:35:30:304
