x	y	z	ts
2,173037	3,663640	8,833235	2020-11-19T14:21:39:588
2,221101	3,741406	8,788570	2020-11-19T14:21:39:588
2,316378	3,722068	8,772171	2020-11-19T14:21:39:591
2,361388	3,689408	8,773968	2020-11-19T14:21:39:591
2,373576	3,606090	8,805262	2020-11-19T14:21:39:592
2,349187	3,461076	8,869761	2020-11-19T14:21:39:592
2,355264	3,220028	8,958489	2020-11-19T14:21:39:593
2,362123	2,991654	9,035528	2020-11-19T14:21:39:593
2,361357	2,850321	9,081302	2020-11-19T14:21:39:593
2,336434	2,679125	9,139680	2020-11-19T14:21:39:594
2,306866	1,989782	9,321455	2020-11-19T14:21:39:616
2,306739	1,956954	9,328433	2020-11-19T14:21:39:619
2,307588	1,903175	9,339344	2020-11-19T14:21:39:623
2,288584	1,745058	9,374836	2020-11-19T14:21:39:643
2,199681	1,590925	9,423414	2020-11-19T14:21:39:663
2,075210	1,351031	9,488867	2020-11-19T14:21:39:683
1,952704	1,122415	9,544502	2020-11-19T14:21:39:703
1,927337	0,995134	9,563758	2020-11-19T14:21:39:724
1,999839	0,920552	9,556339	2020-11-19T14:21:39:743
1,759116	0,889748	9,606469	2020-11-19T14:21:39:763
1,688808	0,835425	9,623948	2020-11-19T14:21:39:784
1,696618	0,753873	9,629307	2020-11-19T14:21:39:803
1,895620	0,675118	9,597980	2020-11-19T14:21:39:824
1,714119	0,690366	9,630970	2020-11-19T14:21:39:843
1,533533	0,727538	9,658641	2020-11-19T14:21:39:863
1,352124	0,725365	9,685865	2020-11-19T14:21:39:883
1,188124	0,697302	9,709403	2020-11-19T14:21:39:903
1,111476	0,684147	9,719411	2020-11-19T14:21:39:924
1,052942	0,693957	9,725231	2020-11-19T14:21:39:943
1,004138	0,701997	9,729815	2020-11-19T14:21:39:964
0,947607	0,689917	9,736346	2020-11-19T14:21:39:984
0,899297	0,662777	9,742811	2020-11-19T14:21:40:003
0,879138	0,627103	9,747012	2020-11-19T14:21:40:024
0,894317	0,576450	9,748758	2020-11-19T14:21:40:043
0,891532	0,541320	9,751027	2020-11-19T14:21:40:064
0,896854	0,564409	9,749229	2020-11-19T14:21:40:083
0,841515	0,539051	9,755596	2020-11-19T14:21:40:103
0,798831	0,463836	9,763048	2020-11-19T14:21:40:124
0,796855	0,431570	9,764689	2020-11-19T14:21:40:143
0,796259	0,403012	9,765958	2020-11-19T14:21:40:163
0,791191	0,358170	9,768117	2020-11-19T14:21:40:185
0,791251	0,335163	9,768929	2020-11-19T14:21:40:204
0,797337	0,325829	9,768750	2020-11-19T14:21:40:224
0,798811	0,320313	9,768812	2020-11-19T14:21:40:243
0,791632	0,311893	9,769669	2020-11-19T14:21:40:264
0,783974	0,299798	9,770665	2020-11-19T14:21:40:284
0,775210	0,282022	9,771894	2020-11-19T14:21:40:304
0,779834	0,258853	9,772166	2020-11-19T14:21:40:324
0,795424	0,239485	9,771403	2020-11-19T14:21:40:344
0,813452	0,230846	9,770127	2020-11-19T14:21:40:363
0,819851	0,228691	9,769643	2020-11-19T14:21:40:385
0,810092	0,229577	9,770436	2020-11-19T14:21:40:404
0,795882	0,224790	9,771715	2020-11-19T14:21:40:424
0,781479	0,214076	9,773119	2020-11-19T14:21:40:444
0,799358	0,197640	9,772018	2020-11-19T14:21:40:464
0,826121	0,199410	9,769756	2020-11-19T14:21:40:484
0,834452	0,209820	9,768830	2020-11-19T14:21:40:504
0,817652	0,212255	9,770199	2020-11-19T14:21:40:524
0,788570	0,213500	9,772561	2020-11-19T14:21:40:544
0,776409	0,210641	9,773598	2020-11-19T14:21:40:564
0,766201	0,206384	9,774493	2020-11-19T14:21:40:587
0,761160	0,193848	9,775144	2020-11-19T14:21:40:605
0,752576	0,181902	9,776038	2020-11-19T14:21:40:626
0,753323	0,178672	9,776040	2020-11-19T14:21:40:647
0,746382	0,180418	9,776541	2020-11-19T14:21:40:666
0,734566	0,173129	9,777567	2020-11-19T14:21:40:691
0,724414	0,159835	9,778551	2020-11-19T14:21:40:705
0,726942	0,146644	9,778570	2020-11-19T14:21:40:727
0,739018	0,143057	9,777719	2020-11-19T14:21:40:746
0,750299	0,144971	9,776831	2020-11-19T14:21:40:767
0,743698	0,151610	9,777234	2020-11-19T14:21:40:786
0,738851	0,153772	9,777568	2020-11-19T14:21:40:808
0,717057	0,146205	9,779306	2020-11-19T14:21:40:826
0,696745	0,130931	9,780992	2020-11-19T14:21:40:847
0,687848	0,117313	9,781794	2020-11-19T14:21:40:866
0,697170	0,113164	9,781182	2020-11-19T14:21:40:888
0,708746	0,119536	9,780274	2020-11-19T14:21:40:906
0,711174	0,129540	9,779971	2020-11-19T14:21:40:930
0,698574	0,134312	9,780815	2020-11-19T14:21:40:947
0,672360	0,120992	9,782825	2020-11-19T14:21:40:968
0,664783	0,109953	9,783474	2020-11-19T14:21:40:987
0,701950	0,111987	9,780854	2020-11-19T14:21:41:007
0,732322	0,109814	9,778651	2020-11-19T14:21:41:026
0,716662	0,095352	9,779963	2020-11-19T14:21:41:047
