light_intensity	ts
2047712,000000	2020-10-29T19:48:34:583
2047776,000000	2020-10-29T19:48:34:607
2042851,000000	2020-10-29T19:48:34:647
2036618,000000	2020-10-29T19:48:34:687
2032540,000000	2020-10-29T19:48:34:727
2030593,000000	2020-10-29T19:48:34:768
2029727,000000	2020-10-29T19:48:34:807
2029553,000000	2020-10-29T19:48:34:847
2027200,000000	2020-10-29T19:48:34:887
2027991,000000	2020-10-29T19:48:34:927
2031667,000000	2020-10-29T19:48:34:968
2038851,000000	2020-10-29T19:48:35:008
2050412,000000	2020-10-29T19:48:35:047
2064223,000000	2020-10-29T19:48:35:087
2081016,000000	2020-10-29T19:48:35:128
2096513,000000	2020-10-29T19:48:35:167
2159877,000000	2020-10-29T19:48:35:207
2238327,000000	2020-10-29T19:48:35:248
2268445,000000	2020-10-29T19:48:35:288
2247849,000000	2020-10-29T19:48:35:328
2220879,000000	2020-10-29T19:48:35:368
2239809,000000	2020-10-29T19:48:35:487
2260838,000000	2020-10-29T19:48:35:488
2304172,000000	2020-10-29T19:48:35:491
2308085,000000	2020-10-29T19:48:35:527
2292614,000000	2020-10-29T19:48:35:568
2301704,000000	2020-10-29T19:48:35:608
2321481,000000	2020-10-29T19:48:35:648
2346316,000000	2020-10-29T19:48:35:688
2362564,000000	2020-10-29T19:48:35:729
2360936,000000	2020-10-29T19:48:35:773
2356016,000000	2020-10-29T19:48:35:808
2354360,000000	2020-10-29T19:48:35:848
2352037,000000	2020-10-29T19:48:35:888
2348840,000000	2020-10-29T19:48:35:933
2339706,000000	2020-10-29T19:48:35:979
2315939,000000	2020-10-29T19:48:36:028
2282380,000000	2020-10-29T19:48:36:085
2256931,000000	2020-10-29T19:48:36:097
2233411,000000	2020-10-29T19:48:36:130
2213038,000000	2020-10-29T19:48:36:169
2195959,000000	2020-10-29T19:48:36:213
2181817,000000	2020-10-29T19:48:36:251
2169283,000000	2020-10-29T19:48:36:291
2157572,000000	2020-10-29T19:48:36:335
2310259,000000	2020-10-29T19:48:54:139
2306324,000000	2020-10-29T19:48:54:141
2303933,000000	2020-10-29T19:48:54:180
2301550,000000	2020-10-29T19:48:54:208
2299320,000000	2020-10-29T19:48:54:249
2300442,000000	2020-10-29T19:48:54:290
2301683,000000	2020-10-29T19:48:54:330
2303708,000000	2020-10-29T19:48:54:371
2306934,000000	2020-10-29T19:48:54:409
2311467,000000	2020-10-29T19:48:54:450
2315718,000000	2020-10-29T19:48:54:490
2317071,000000	2020-10-29T19:48:54:530
2313350,000000	2020-10-29T19:48:54:570
2307676,000000	2020-10-29T19:48:54:611
2302259,000000	2020-10-29T19:48:54:650
2298932,000000	2020-10-29T19:48:54:691
2297057,000000	2020-10-29T19:48:54:730
2296120,000000	2020-10-29T19:48:54:770
2295235,000000	2020-10-29T19:48:54:810
2294689,000000	2020-10-29T19:48:54:852
2295883,000000	2020-10-29T19:48:54:890
2296897,000000	2020-10-29T19:48:54:931
2297121,000000	2020-10-29T19:48:54:971
2298043,000000	2020-10-29T19:48:55:010
2300630,000000	2020-10-29T19:48:55:051
2302178,000000	2020-10-29T19:48:55:092
2304107,000000	2020-10-29T19:48:55:131
2305569,000000	2020-10-29T19:48:55:171
2303324,000000	2020-10-29T19:48:55:211
2296861,000000	2020-10-29T19:48:55:251
2290302,000000	2020-10-29T19:48:55:291
2285313,000000	2020-10-29T19:48:55:333
2281940,000000	2020-10-29T19:48:55:371
2279647,000000	2020-10-29T19:48:55:411
2277254,000000	2020-10-29T19:48:55:451
2274062,000000	2020-10-29T19:48:55:492
2270597,000000	2020-10-29T19:48:55:531
2266674,000000	2020-10-29T19:48:55:573
2263090,000000	2020-10-29T19:48:55:610
2260682,000000	2020-10-29T19:48:55:651
2260321,000000	2020-10-29T19:48:55:691
2262553,000000	2020-10-29T19:48:55:731
