light_level	ts
36,000000	2020-10-29T19:50:12:227
28,000000	2020-10-29T19:50:12:467
24,000000	2020-10-29T19:50:12:709
24,000000	2020-10-29T19:50:12:949
32,000000	2020-10-29T19:50:13:188
36,000000	2020-10-29T19:50:13:429
32,000000	2020-10-29T19:50:13:669
28,000000	2020-10-29T19:50:13:909
24,000000	2020-10-29T19:50:14:149
20,000000	2020-10-29T19:50:14:388
12,000000	2020-10-29T19:50:14:630
8,000000	2020-10-29T19:50:14:868
12,000000	2020-10-29T19:50:15:110
8,000000	2020-10-29T19:50:15:349
16,000000	2020-10-29T19:50:15:591
20,000000	2020-10-29T19:50:15:830
20,000000	2020-10-29T19:50:16:071
24,000000	2020-10-29T19:50:16:312
20,000000	2020-10-29T19:50:16:551
20,000000	2020-10-29T19:50:16:792
20,000000	2020-10-29T19:50:17:032
16,000000	2020-10-29T19:50:17:272
16,000000	2020-10-29T19:50:17:512
12,000000	2020-10-29T19:50:17:753
12,000000	2020-10-29T19:50:17:992
8,000000	2020-10-29T19:50:18:232
8,000000	2020-10-29T19:50:18:473
4,000000	2020-10-29T19:50:18:712
8,000000	2020-10-29T19:50:18:954
20,000000	2020-10-29T19:50:19:194
16,000000	2020-10-29T19:50:19:435
16,000000	2020-10-29T19:50:19:674
16,000000	2020-10-29T19:50:19:914
16,000000	2020-10-29T19:50:20:158
12,000000	2020-10-29T19:50:20:397
16,000000	2020-10-29T19:50:20:635
16,000000	2020-10-29T19:50:20:877
20,000000	2020-10-29T19:50:21:116
20,000000	2020-10-29T19:50:21:355
16,000000	2020-10-29T19:50:21:597
16,000000	2020-10-29T19:50:21:836
24,000000	2020-10-29T19:50:22:076
16,000000	2020-10-29T19:50:22:317
12,000000	2020-10-29T19:50:22:557
16,000000	2020-10-29T19:50:22:797
12,000000	2020-10-29T19:50:23:039
48,000000	2020-10-29T19:50:23:278
36,000000	2020-10-29T19:50:23:518
36,000000	2020-10-29T19:50:23:758
36,000000	2020-10-29T19:50:23:999
28,000000	2020-10-29T19:50:24:239
32,000000	2020-10-29T19:50:24:479
32,000000	2020-10-29T19:50:24:719
28,000000	2020-10-29T19:50:24:959
32,000000	2020-10-29T19:50:25:200
44,000000	2020-10-29T19:50:25:440
36,000000	2020-10-29T19:50:25:680
36,000000	2020-10-29T19:50:25:920
36,000000	2020-10-29T19:50:26:160
36,000000	2020-10-29T19:50:26:401
28,000000	2020-10-29T19:50:26:641
20,000000	2020-10-29T19:50:26:881
20,000000	2020-10-29T19:50:27:121
16,000000	2020-10-29T19:50:27:362
12,000000	2020-10-29T19:50:27:603
8,000000	2020-10-29T19:50:27:842
16,000000	2020-10-29T19:50:28:083
12,000000	2020-10-29T19:50:28:323
12,000000	2020-10-29T19:50:28:563
12,000000	2020-10-29T19:50:28:803
16,000000	2020-10-29T19:50:29:043
20,000000	2020-10-29T19:50:29:282
20,000000	2020-10-29T19:50:29:524
20,000000	2020-10-29T19:50:29:764
24,000000	2020-10-29T19:50:30:005
20,000000	2020-10-29T19:50:30:245
12,000000	2020-10-29T19:50:30:484
12,000000	2020-10-29T19:50:30:725
20,000000	2020-10-29T19:50:30:965
20,000000	2020-10-29T19:50:31:206
36,000000	2020-10-29T19:50:31:446
16,000000	2020-10-29T19:50:31:686
20,000000	2020-10-29T19:50:31:927
24,000000	2020-10-29T19:50:32:166
16,000000	2020-10-29T19:50:32:407
16,000000	2020-10-29T19:50:32:647
16,000000	2020-10-29T19:50:32:887
16,000000	2020-10-29T19:50:33:128
16,000000	2020-10-29T19:50:33:367
12,000000	2020-10-29T19:50:33:609
16,000000	2020-10-29T19:50:33:847
16,000000	2020-10-29T19:50:34:088
16,000000	2020-10-29T19:50:34:328
16,000000	2020-10-29T19:50:34:568
24,000000	2020-10-29T19:50:34:809
24,000000	2020-10-29T19:50:35:050
28,000000	2020-10-29T19:50:35:289
24,000000	2020-10-29T19:50:35:530
16,000000	2020-10-29T19:50:35:770
16,000000	2020-10-29T19:50:36:010
12,000000	2020-10-29T19:50:36:251
20,000000	2020-10-29T19:50:36:491
44,000000	2020-10-29T19:50:36:731
