v1	v2	v3	v4	ts
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:46:808
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:46:812
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:46:836
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:46:876
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:46:915
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:46:956
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:46:996
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:037
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:076
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:115
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:156
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:197
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:237
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:284
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:316
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:369
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:485
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:485
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:486
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:516
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:556
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:596
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:637
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:679
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:717
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:758
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:799
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:839
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:879
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:919
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:971
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:47:999
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:48:039
0,000000	0,000000	0,000000	0,000000	2020-10-29T19:34:48:081
