light_level	ts
0,000000	2020-10-29T19:34:46:748
0,000000	2020-10-29T19:34:46:748
0,000000	2020-10-29T19:34:46:956
0,000000	2020-10-29T19:34:47:196
0,000000	2020-10-29T19:34:47:484
0,000000	2020-10-29T19:34:47:679
0,000000	2020-10-29T19:34:47:919
0,000000	2020-10-29T19:34:48:162
0,000000	2020-10-29T19:34:56:276
0,000000	2020-10-29T19:34:56:516
0,000000	2020-10-29T19:34:56:758
0,000000	2020-10-29T19:34:56:997
0,000000	2020-10-29T19:34:57:237
0,000000	2020-10-29T19:34:57:478
0,000000	2020-10-29T19:34:57:718
0,000000	2020-10-29T19:34:57:958
0,000000	2020-10-29T19:34:58:198
0,000000	2020-10-29T19:34:58:439
0,000000	2020-10-29T19:34:58:678
0,000000	2020-10-29T19:34:58:918
0,000000	2020-10-29T19:34:59:159
0,000000	2020-10-29T19:34:59:398
0,000000	2020-10-29T19:34:59:638
0,000000	2020-10-29T19:34:59:878
0,000000	2020-10-29T19:35:00:120
0,000000	2020-10-29T19:35:00:360
0,000000	2020-10-29T19:35:00:600
0,000000	2020-10-29T19:35:00:840
0,000000	2020-10-29T19:35:01:080
0,000000	2020-10-29T19:35:01:323
0,000000	2020-10-29T19:35:01:562
0,000000	2020-10-29T19:35:01:801
0,000000	2020-10-29T19:35:02:040
0,000000	2020-10-29T19:35:02:282
0,000000	2020-10-29T19:35:02:523
0,000000	2020-10-29T19:35:02:763
0,000000	2020-10-29T19:35:03:003
0,000000	2020-10-29T19:35:03:243
0,000000	2020-10-29T19:35:03:483
0,000000	2020-10-29T19:35:03:723
0,000000	2020-10-29T19:35:03:965
0,000000	2020-10-29T19:35:04:204
0,000000	2020-10-29T19:35:04:445
0,000000	2020-10-29T19:35:04:684
0,000000	2020-10-29T19:35:08:107
0,000000	2020-10-29T19:35:08:323
0,000000	2020-10-29T19:35:08:565
0,000000	2020-10-29T19:35:08:803
0,000000	2020-10-29T19:35:24:156
0,000000	2020-10-29T19:35:24:364
0,000000	2020-10-29T19:35:24:605
0,000000	2020-10-29T19:35:24:845
0,000000	2020-10-29T19:35:25:086
0,000000	2020-10-29T19:35:25:326
0,000000	2020-10-29T19:35:25:566
0,000000	2020-10-29T19:35:25:806
0,000000	2020-10-29T19:35:26:046
0,000000	2020-10-29T19:35:26:287
0,000000	2020-10-29T19:35:26:527
0,000000	2020-10-29T19:35:26:766
0,000000	2020-10-29T19:35:27:007
0,000000	2020-10-29T19:35:27:247
0,000000	2020-10-29T19:35:27:487
0,000000	2020-10-29T19:35:27:728
0,000000	2020-10-29T19:35:27:968
0,000000	2020-10-29T19:35:28:208
0,000000	2020-10-29T19:35:28:448
