x	y	z	ts
-0,153141	2,352145	9,305687	2020-10-29T19:03:51:284
-0,315853	2,598605	9,468399	2020-10-29T19:03:51:285
-0,059821	2,909672	9,284152	2020-10-29T19:03:51:286
0,105284	2,828316	9,272188	2020-10-29T19:03:51:286
0,105284	2,861816	9,322437	2020-10-29T19:03:51:287
0,162712	3,146562	9,212367	2020-10-29T19:03:51:287
0,169890	3,055635	9,293723	2020-10-29T19:03:51:311
0,040678	2,871387	9,183653	2020-10-29T19:03:51:320
0,098106	2,689533	9,288938	2020-10-29T19:03:51:338
0,244068	2,608176	9,025726	2020-10-29T19:03:51:359
0,552742	2,955136	9,420543	2020-10-29T19:03:51:379
0,466600	2,184647	9,317651	2020-10-29T19:03:51:399
0,313460	1,931008	9,434900	2020-10-29T19:03:51:418
0,107677	1,701297	9,511470	2020-10-29T19:03:51:438
0,083749	1,607977	9,477970	2020-10-29T19:03:51:460
0,069392	1,978864	9,537791	2020-10-29T19:03:51:479
0,191426	2,017149	9,410972	2020-10-29T19:03:51:500
0,296710	1,789831	9,375079	2020-10-29T19:03:51:519
0,234497	1,749153	9,317651	2020-10-29T19:03:51:539
0,287139	1,507478	9,652647	2020-10-29T19:03:51:559
0,294317	0,940379	9,619147	2020-10-29T19:03:51:580
-0,413958	1,366302	8,484949	2020-10-29T19:03:51:599
0,145962	1,813759	9,286544	2020-10-29T19:03:51:620
0,157926	1,610370	9,734003	2020-10-29T19:03:51:639
0,208176	1,574477	10,140782	2020-10-29T19:03:51:660
0,375673	1,892723	9,944571	2020-10-29T19:03:51:679
0,495314	1,304088	9,573684	2020-10-29T19:03:51:700
0,318245	1,899901	9,652647	2020-10-29T19:03:51:719
0,229711	2,311467	9,315259	2020-10-29T19:03:51:739
0,509671	1,677369	9,858429	2020-10-29T19:03:51:759
0,579063	1,811367	9,619147	2020-10-29T19:03:51:779
0,562313	2,031506	9,662218	2020-10-29T19:03:51:799
0,215354	1,280160	9,430114	2020-10-29T19:03:51:819
0,258425	0,600598	9,580862	2020-10-29T19:03:51:839
0,337388	0,619741	9,870394	2020-10-29T19:03:51:860
0,236889	0,591027	9,707682	2020-10-29T19:03:51:879
0,375673	0,930808	9,528220	2020-10-29T19:03:51:899
0,483350	0,684347	9,619147	2020-10-29T19:03:51:919
0,641276	0,320638	9,743573	2020-10-29T19:03:51:940
0,284746	0,686740	9,475577	2020-10-29T19:03:51:959
0,117248	1,232304	8,932407	2020-10-29T19:03:51:979
0,404387	0,260818	9,693325	2020-10-29T19:03:52:000
0,519243	0,878166	9,762716	2020-10-29T19:03:52:019
0,220140	0,507278	9,616754	2020-10-29T19:03:52:039
0,351745	0,490529	9,559326	2020-10-29T19:03:52:060
0,282353	0,457029	9,681360	2020-10-29T19:03:52:080
0,315853	0,533599	9,693325	2020-10-29T19:03:52:099
0,399601	0,602991	9,702895	2020-10-29T19:03:52:119
0,227318	1,466800	9,695717	2020-10-29T19:03:52:139
0,325424	-0,023928	9,719646	2020-10-29T19:03:52:159
0,344566	0,765703	9,592826	2020-10-29T19:03:52:180
0,308674	0,193819	9,678967	2020-10-29T19:03:52:200
0,538385	0,167498	9,681360	2020-10-29T19:03:52:219
0,435494	0,428315	9,865608	2020-10-29T19:03:52:241
-0,004786	0,308674	9,669396	2020-10-29T19:03:52:260
-0,251246	-0,033500	9,791430	2020-10-29T19:03:52:280
0,196211	1,088734	9,714860	2020-10-29T19:03:52:299
0,504886	0,710668	9,552148	2020-10-29T19:03:52:321
0,246461	0,265603	9,693325	2020-10-29T19:03:52:339
0,126820	-0,150748	9,695717	2020-10-29T19:03:52:361
0,162712	0,153141	9,810574	2020-10-29T19:03:52:379
0,354138	0,019143	9,671788	2020-10-29T19:03:52:401
-0,258425	-0,179462	9,968499	2020-10-29T19:03:52:422
0,153141	0,100499	9,667004	2020-10-29T19:03:52:442
0,232104	-0,435494	9,793823	2020-10-29T19:03:52:461
0,263210	-0,966700	9,937392	2020-10-29T19:03:52:483
-0,088534	-0,674776	9,772287	2020-10-29T19:03:52:501
-0,129212	-0,622134	9,485149	2020-10-29T19:03:52:522
0,421137	-0,705883	9,564112	2020-10-29T19:03:52:541
-0,114855	-0,055035	10,214959	2020-10-29T19:03:52:564
-0,090927	0,229711	9,853643	2020-10-29T19:03:52:581
-0,155533	-0,497707	9,348758	2020-10-29T19:03:52:603
0,064606	-0,380459	9,719646	2020-10-29T19:03:52:621
-0,114855	-0,078963	9,860823	2020-10-29T19:03:52:643
0,356531	-0,602991	10,200603	2020-10-29T19:03:52:662
0,167498	-1,902294	9,561719	2020-10-29T19:03:52:683
-0,545564	-0,413958	10,104890	2020-10-29T19:03:52:701
-0,078963	-0,155533	10,088140	2020-10-29T19:03:52:723
-0,208176	-0,401994	9,439686	2020-10-29T19:03:52:741
-0,157926	0,729811	9,602397	2020-10-29T19:03:52:763
-0,179462	-0,002393	9,664611	2020-10-29T19:03:52:782
-0,179462	-0,926022	9,623933	2020-10-29T19:03:52:803
-0,124427	-0,976272	9,525827	2020-10-29T19:03:52:821
-0,086142	-0,287139	9,513863	2020-10-29T19:03:52:843
-0,148355	-0,349352	9,588040	2020-10-29T19:03:52:861
