light_level	ts
72,000000	2020-10-29T19:03:51:286
72,000000	2020-10-29T19:03:51:461
72,000000	2020-10-29T19:03:51:701
72,000000	2020-10-29T19:03:51:940
72,000000	2020-10-29T19:03:52:181
76,000000	2020-10-29T19:03:52:423
64,000000	2020-10-29T19:03:52:663
60,000000	2020-10-29T19:03:52:903
52,000000	2020-10-29T19:03:53:143
60,000000	2020-10-29T19:03:53:384
72,000000	2020-10-29T19:03:53:624
68,000000	2020-10-29T19:03:53:864
68,000000	2020-10-29T19:03:54:105
68,000000	2020-10-29T19:03:54:345
68,000000	2020-10-29T19:03:54:585
72,000000	2020-10-29T19:03:54:826
72,000000	2020-10-29T19:03:55:065
72,000000	2020-10-29T19:03:55:306
72,000000	2020-10-29T19:03:55:546
72,000000	2020-10-29T19:03:55:786
72,000000	2020-10-29T19:03:56:026
72,000000	2020-10-29T19:03:56:267
72,000000	2020-10-29T19:03:56:507
72,000000	2020-10-29T19:03:56:747
72,000000	2020-10-29T19:03:56:988
72,000000	2020-10-29T19:03:57:227
72,000000	2020-10-29T19:03:57:468
72,000000	2020-10-29T19:03:57:708
72,000000	2020-10-29T19:03:57:948
72,000000	2020-10-29T19:03:58:188
72,000000	2020-10-29T19:03:58:429
72,000000	2020-10-29T19:03:58:669
72,000000	2020-10-29T19:03:58:909
72,000000	2020-10-29T19:03:59:150
72,000000	2020-10-29T19:03:59:390
72,000000	2020-10-29T19:03:59:630
72,000000	2020-10-29T19:03:59:869
72,000000	2020-10-29T19:04:00:110
72,000000	2020-10-29T19:04:00:350
72,000000	2020-10-29T19:04:00:590
72,000000	2020-10-29T19:04:00:830
72,000000	2020-10-29T19:04:01:071
72,000000	2020-10-29T19:04:01:311
72,000000	2020-10-29T19:04:01:550
72,000000	2020-10-29T19:04:01:791
72,000000	2020-10-29T19:04:02:031
72,000000	2020-10-29T19:04:02:272
72,000000	2020-10-29T19:04:02:512
72,000000	2020-10-29T19:04:02:752
72,000000	2020-10-29T19:04:02:991
72,000000	2020-10-29T19:04:03:234
72,000000	2020-10-29T19:04:03:472
72,000000	2020-10-29T19:04:03:713
72,000000	2020-10-29T19:04:03:953
72,000000	2020-10-29T19:04:04:193
72,000000	2020-10-29T19:04:04:433
72,000000	2020-10-29T19:04:04:674
72,000000	2020-10-29T19:04:04:914
72,000000	2020-10-29T19:04:05:247
72,000000	2020-10-29T19:04:05:395
72,000000	2020-10-29T19:04:05:649
72,000000	2020-10-29T19:04:05:874
72,000000	2020-10-29T19:04:10:159
72,000000	2020-10-29T19:04:10:403
72,000000	2020-10-29T19:04:10:638
72,000000	2020-10-29T19:04:10:878
72,000000	2020-10-29T19:04:11:119
76,000000	2020-10-29T19:04:11:358
76,000000	2020-10-29T19:04:11:600
76,000000	2020-10-29T19:04:11:839
76,000000	2020-10-29T19:04:12:079
76,000000	2020-10-29T19:04:12:319
76,000000	2020-10-29T19:04:12:560
76,000000	2020-10-29T19:04:12:800
76,000000	2020-10-29T19:04:13:040
72,000000	2020-10-29T19:04:13:280
72,000000	2020-10-29T19:04:13:521
72,000000	2020-10-29T19:04:13:761
72,000000	2020-10-29T19:04:14:001
76,000000	2020-10-29T19:04:14:241
76,000000	2020-10-29T19:04:14:481
76,000000	2020-10-29T19:04:14:721
76,000000	2020-10-29T19:04:14:962
76,000000	2020-10-29T19:04:15:202
76,000000	2020-10-29T19:04:15:443
76,000000	2020-10-29T19:04:15:683
76,000000	2020-10-29T19:04:15:923
76,000000	2020-10-29T19:04:16:163
76,000000	2020-10-29T19:04:16:403
76,000000	2020-10-29T19:04:16:644
76,000000	2020-10-29T19:04:16:885
76,000000	2020-10-29T19:04:17:124
76,000000	2020-10-29T19:04:17:364
76,000000	2020-10-29T19:04:17:604
76,000000	2020-10-29T19:04:17:845
72,000000	2020-10-29T19:04:18:085
72,000000	2020-10-29T19:04:18:325
72,000000	2020-10-29T19:04:18:565
72,000000	2020-10-29T19:04:18:806
72,000000	2020-10-29T19:04:19:047
72,000000	2020-10-29T19:04:19:287
72,000000	2020-10-29T19:04:19:533
72,000000	2020-10-29T19:04:19:769
72,000000	2020-10-29T19:04:20:007
72,000000	2020-10-29T19:04:20:247
72,000000	2020-10-29T19:04:20:487
72,000000	2020-10-29T19:04:20:727
72,000000	2020-10-29T19:04:20:968
72,000000	2020-10-29T19:04:21:208
72,000000	2020-10-29T19:04:21:448
72,000000	2020-10-29T19:04:21:688
72,000000	2020-10-29T19:04:21:928
72,000000	2020-10-29T19:04:22:169
72,000000	2020-10-29T19:04:22:409
72,000000	2020-10-29T19:04:22:649
72,000000	2020-10-29T19:04:22:889
72,000000	2020-10-29T19:04:23:130
72,000000	2020-10-29T19:04:23:370
72,000000	2020-10-29T19:04:23:610
72,000000	2020-10-29T19:04:23:851
72,000000	2020-10-29T19:04:24:091
72,000000	2020-10-29T19:04:24:331
72,000000	2020-10-29T19:04:24:571
72,000000	2020-10-29T19:04:24:811
72,000000	2020-10-29T19:04:25:052
72,000000	2020-10-29T19:04:25:292
72,000000	2020-10-29T19:04:25:532
72,000000	2020-10-29T19:04:25:772
72,000000	2020-10-29T19:04:26:015
72,000000	2020-10-29T19:04:26:317
72,000000	2020-10-29T19:04:26:493
72,000000	2020-10-29T19:04:26:734
72,000000	2020-10-29T19:04:26:991
72,000000	2020-10-29T19:04:27:455
72,000000	2020-10-29T19:04:27:695
72,000000	2020-10-29T19:04:27:934
72,000000	2020-10-29T19:04:28:175
72,000000	2020-10-29T19:04:28:415
72,000000	2020-10-29T19:04:28:655
72,000000	2020-10-29T19:04:28:895
72,000000	2020-10-29T19:04:29:135
72,000000	2020-10-29T19:04:29:376
72,000000	2020-10-29T19:04:29:616
