v1	v2	v3	v4	ts
988,447693	208,567886	30,959999	988,431641	2020-10-13T22:56:01:361
988,448303	208,562607	30,959999	988,453613	2020-10-13T22:56:01:602
988,446106	208,581100	30,949999	988,426270	2020-10-13T22:56:01:846
988,445496	208,586380	30,959999	988,439697	2020-10-13T22:56:02:093
988,444458	208,594315	30,959999	988,434570	2020-10-13T22:56:02:328
988,446472	208,578461	30,969999	988,464600	2020-10-13T22:56:02:567
988,445618	208,586380	30,959999	988,437988	2020-10-13T22:56:02:807
988,447388	208,570526	30,969999	988,463379	2020-10-13T22:56:03:052
988,447815	208,567886	30,959999	988,451904	2020-10-13T22:56:03:312
988,448120	208,565247	30,959999	988,450684	2020-10-13T22:56:03:528
988,450928	208,541473	30,959999	988,476074	2020-10-13T22:56:03:768
988,451904	208,533539	30,959999	988,460449	2020-10-13T22:56:04:016
988,451721	208,533539	30,959999	988,450195	2020-10-13T22:56:04:249
988,453186	208,520325	30,959999	988,466797	2020-10-13T22:56:04:491
988,455811	208,499191	30,969999	988,479248	2020-10-13T22:56:04:730
988,456482	208,493912	30,969999	988,462158	2020-10-13T22:56:04:972
988,456543	208,493912	30,969999	988,456787	2020-10-13T22:56:05:209
988,450928	208,541473	30,959999	988,400879	2020-10-13T22:56:05:459
988,448242	208,562607	30,959999	988,424072	2020-10-13T22:56:05:691
988,444702	208,594315	30,959999	988,412598	2020-10-13T22:56:05:931
988,440369	208,631302	30,980000	988,401367	2020-10-13T22:56:06:173
988,438538	208,644516	30,969999	988,422119	2020-10-13T22:56:06:413
988,438599	208,644516	30,980000	988,439209	2020-10-13T22:56:06:655
988,437805	208,652451	30,980000	988,430664	2020-10-13T22:56:06:891
988,439392	208,639236	30,969999	988,453857	2020-10-13T22:56:07:132
988,437927	208,649796	30,980000	988,424561	2020-10-13T22:56:07:373
988,436523	208,663010	30,969999	988,423584	2020-10-13T22:56:07:614
988,432678	208,694717	30,980000	988,398438	2020-10-13T22:56:07:855
988,434631	208,678864	30,980000	988,451904	2020-10-13T22:56:08:123
988,432434	208,697357	30,969999	988,412842	2020-10-13T22:56:08:335
988,431702	208,702652	30,980000	988,425293	2020-10-13T22:56:08:577
988,434265	208,681503	30,980000	988,457275	2020-10-13T22:56:08:838
988,433350	208,689438	30,969999	988,425049	2020-10-13T22:56:09:056
988,433350	208,689438	30,969999	988,433350	2020-10-13T22:56:09:301
988,434631	208,678864	30,969999	988,446533	2020-10-13T22:56:09:539
988,439087	208,641876	30,969999	988,479492	2020-10-13T22:56:09:775
988,442688	208,610168	30,969999	988,474854	2020-10-13T22:56:10:015
988,444214	208,596954	30,969999	988,457764	2020-10-13T22:56:10:255
988,443481	208,602234	30,969999	988,436523	2020-10-13T22:56:10:498
988,442139	208,615448	30,969999	988,430176	2020-10-13T22:56:10:737
988,446655	208,575821	30,980000	988,487061	2020-10-13T22:56:10:983
988,449402	208,552032	30,969999	988,473633	2020-10-13T22:56:11:214
988,450073	208,546753	30,969999	988,456299	2020-10-13T22:56:11:457
988,451599	208,533539	30,969999	988,465088	2020-10-13T22:56:11:695
988,450989	208,538818	30,969999	988,445068	2020-10-13T22:56:11:938
988,450500	208,544113	30,969999	988,445557	2020-10-13T22:56:12:177
988,447937	208,565247	30,969999	988,425293	2020-10-13T22:56:12:419
988,446167	208,581100	30,969999	988,429688	2020-10-13T22:56:12:661
988,446289	208,581100	30,969999	988,447754	2020-10-13T22:56:12:905
988,446472	208,578461	30,969999	988,448242	2020-10-13T22:56:13:140
988,447693	208,567886	30,959999	988,458496	2020-10-13T22:56:13:382
988,446228	208,581100	30,969999	988,433105	2020-10-13T22:56:13:619
988,446594	208,575821	30,959999	988,450195	2020-10-13T22:56:13:859
