light_intensity	ts
2097152,000000	2020-10-13T22:56:01:312
2097152,000000	2020-10-13T22:56:01:313
2592524,000000	2020-10-13T22:56:01:324
2591928,000000	2020-10-13T22:56:01:361
2591544,000000	2020-10-13T22:56:01:400
2591378,000000	2020-10-13T22:56:01:442
2590903,000000	2020-10-13T22:56:01:480
2590483,000000	2020-10-13T22:56:01:521
2590568,000000	2020-10-13T22:56:01:561
2590721,000000	2020-10-13T22:56:01:602
2590653,000000	2020-10-13T22:56:01:641
2146597,000000	2020-10-13T22:56:01:680
2144647,000000	2020-10-13T22:56:01:721
2143414,000000	2020-10-13T22:56:01:760
2142806,000000	2020-10-13T22:56:01:801
2142578,000000	2020-10-13T22:56:01:846
2125568,000000	2020-10-13T22:56:01:880
2126167,000000	2020-10-13T22:56:01:922
2126974,000000	2020-10-13T22:56:01:961
2127777,000000	2020-10-13T22:56:02:001
2128607,000000	2020-10-13T22:56:02:043
2096419,000000	2020-10-13T22:56:02:093
2097864,000000	2020-10-13T22:56:02:123
2099298,000000	2020-10-13T22:56:02:162
2101604,000000	2020-10-13T22:56:02:203
2103634,000000	2020-10-13T22:56:02:244
2105534,000000	2020-10-13T22:56:02:285
2107401,000000	2020-10-13T22:56:02:328
2108925,000000	2020-10-13T22:56:02:364
2110360,000000	2020-10-13T22:56:02:405
2111445,000000	2020-10-13T22:56:02:445
2109441,000000	2020-10-13T22:56:02:487
2101834,000000	2020-10-13T22:56:02:527
2094591,000000	2020-10-13T22:56:02:567
2090674,000000	2020-10-13T22:56:02:606
2090095,000000	2020-10-13T22:56:02:648
2091129,000000	2020-10-13T22:56:02:687
2095205,000000	2020-10-13T22:56:02:725
2099507,000000	2020-10-13T22:56:02:767
2104959,000000	2020-10-13T22:56:02:805
2110149,000000	2020-10-13T22:56:02:846
2116079,000000	2020-10-13T22:56:02:885
2122735,000000	2020-10-13T22:56:02:925
2129929,000000	2020-10-13T22:56:02:965
2136999,000000	2020-10-13T22:56:03:006
2144567,000000	2020-10-13T22:56:03:053
2152919,000000	2020-10-13T22:56:03:090
2161488,000000	2020-10-13T22:56:03:126
2171079,000000	2020-10-13T22:56:03:165
2181072,000000	2020-10-13T22:56:03:205
2191533,000000	2020-10-13T22:56:03:247
2201212,000000	2020-10-13T22:56:03:312
2207088,000000	2020-10-13T22:56:03:327
2209416,000000	2020-10-13T22:56:03:368
2212448,000000	2020-10-13T22:56:03:405
