light_intensity	ts
2097152,000000	2020-10-29T19:09:01:229
2097152,000000	2020-10-29T19:09:01:273
2439638,000000	2020-10-29T19:09:01:309
2439223,000000	2020-10-29T19:09:01:350
2439220,000000	2020-10-29T19:09:01:389
2439309,000000	2020-10-29T19:09:01:429
2439554,000000	2020-10-29T19:09:01:469
2439607,000000	2020-10-29T19:09:01:509
2439988,000000	2020-10-29T19:09:01:549
2440368,000000	2020-10-29T19:09:01:590
2440560,000000	2020-10-29T19:09:01:633
2118800,000000	2020-10-29T19:09:01:669
2117626,000000	2020-10-29T19:09:01:709
2116857,000000	2020-10-29T19:09:01:750
2116617,000000	2020-10-29T19:09:01:790
2116867,000000	2020-10-29T19:09:01:831
2104670,000000	2020-10-29T19:09:01:870
2105553,000000	2020-10-29T19:09:01:910
2106288,000000	2020-10-29T19:09:01:950
2106640,000000	2020-10-29T19:09:01:990
2106659,000000	2020-10-29T19:09:02:030
2122654,000000	2020-10-29T19:09:02:070
2124006,000000	2020-10-29T19:09:02:110
2125785,000000	2020-10-29T19:09:02:150
2127860,000000	2020-10-29T19:09:02:190
2130779,000000	2020-10-29T19:09:02:230
2133536,000000	2020-10-29T19:09:02:271
2136222,000000	2020-10-29T19:09:02:311
2139158,000000	2020-10-29T19:09:02:352
2137854,000000	2020-10-29T19:09:02:392
2130955,000000	2020-10-29T19:09:02:431
2124569,000000	2020-10-29T19:09:02:473
2120916,000000	2020-10-29T19:09:02:513
2119249,000000	2020-10-29T19:09:02:554
2119823,000000	2020-10-29T19:09:02:594
2121155,000000	2020-10-29T19:09:02:634
2121360,000000	2020-10-29T19:09:02:673
2120873,000000	2020-10-29T19:09:02:714
2120077,000000	2020-10-29T19:09:02:754
2119436,000000	2020-10-29T19:09:02:794
2119552,000000	2020-10-29T19:09:02:834
2120483,000000	2020-10-29T19:09:02:874
2121992,000000	2020-10-29T19:09:02:914
2123630,000000	2020-10-29T19:09:02:954
2125738,000000	2020-10-29T19:09:02:994
2127908,000000	2020-10-29T19:09:03:034
2130119,000000	2020-10-29T19:09:03:073
2129695,000000	2020-10-29T19:09:03:114
2123805,000000	2020-10-29T19:09:03:155
2117135,000000	2020-10-29T19:09:03:195
2112518,000000	2020-10-29T19:09:03:234
2110634,000000	2020-10-29T19:09:03:274
2110551,000000	2020-10-29T19:09:03:315
2111184,000000	2020-10-29T19:09:03:355
2112766,000000	2020-10-29T19:09:03:395
2113397,000000	2020-10-29T19:09:03:435
2113222,000000	2020-10-29T19:09:03:475
2113222,000000	2020-10-29T19:09:03:515
2113760,000000	2020-10-29T19:09:03:555
2114730,000000	2020-10-29T19:09:03:595
2116575,000000	2020-10-29T19:09:03:647
2118873,000000	2020-10-29T19:09:03:720
2121461,000000	2020-10-29T19:09:03:724
2123981,000000	2020-10-29T19:09:03:755
2126648,000000	2020-10-29T19:09:03:796
2129343,000000	2020-10-29T19:09:03:835
2131249,000000	2020-10-29T19:09:03:875
2128282,000000	2020-10-29T19:09:03:915
2121957,000000	2020-10-29T19:09:03:955
2116517,000000	2020-10-29T19:09:03:995
2113478,000000	2020-10-29T19:09:04:035
2112523,000000	2020-10-29T19:09:04:075
2113288,000000	2020-10-29T19:09:04:115
2114614,000000	2020-10-29T19:09:04:156
2115914,000000	2020-10-29T19:09:04:196
2116211,000000	2020-10-29T19:09:04:235
2116153,000000	2020-10-29T19:09:04:276
2116212,000000	2020-10-29T19:09:04:316
2116978,000000	2020-10-29T19:09:04:356
2118433,000000	2020-10-29T19:09:04:396
2120620,000000	2020-10-29T19:09:04:436
2123059,000000	2020-10-29T19:09:04:476
2125767,000000	2020-10-29T19:09:04:516
2128472,000000	2020-10-29T19:09:04:556
2131211,000000	2020-10-29T19:09:04:597
2133929,000000	2020-10-29T19:09:04:636
2136534,000000	2020-10-29T19:09:04:676
2138926,000000	2020-10-29T19:09:04:716
2137316,000000	2020-10-29T19:09:04:757
2131768,000000	2020-10-29T19:09:04:796
2126520,000000	2020-10-29T19:09:04:836
2123824,000000	2020-10-29T19:09:04:876
2122998,000000	2020-10-29T19:09:04:917
2123711,000000	2020-10-29T19:09:04:957
2125282,000000	2020-10-29T19:09:04:998
2126873,000000	2020-10-29T19:09:05:036
2127456,000000	2020-10-29T19:09:05:106
2127467,000000	2020-10-29T19:09:05:120
2127933,000000	2020-10-29T19:09:05:156
2128807,000000	2020-10-29T19:09:05:196
2130311,000000	2020-10-29T19:09:05:238
2132347,000000	2020-10-29T19:09:05:277
2134946,000000	2020-10-29T19:09:05:317
2137520,000000	2020-10-29T19:09:05:358
2140456,000000	2020-10-29T19:09:05:397
2143239,000000	2020-10-29T19:09:05:438
2145869,000000	2020-10-29T19:09:05:478
2148315,000000	2020-10-29T19:09:05:517
2150928,000000	2020-10-29T19:09:05:558
2152411,000000	2020-10-29T19:09:05:598
2149827,000000	2020-10-29T19:09:05:641
2144803,000000	2020-10-29T19:09:05:677
2141475,000000	2020-10-29T19:09:05:718
2140613,000000	2020-10-29T19:09:05:758
2141568,000000	2020-10-29T19:09:05:798
2143885,000000	2020-10-29T19:09:05:838
2145942,000000	2020-10-29T19:09:05:878
2147384,000000	2020-10-29T19:09:05:917
2147942,000000	2020-10-29T19:09:05:958
2148361,000000	2020-10-29T19:09:05:998
2149134,000000	2020-10-29T19:09:06:038
2150887,000000	2020-10-29T19:09:06:078
2152997,000000	2020-10-29T19:09:06:118
2155330,000000	2020-10-29T19:09:06:158
2158160,000000	2020-10-29T19:09:06:198
2160973,000000	2020-10-29T19:09:06:238
2163871,000000	2020-10-29T19:09:06:278
2166859,000000	2020-10-29T19:09:06:318
2169474,000000	2020-10-29T19:09:06:358
2172356,000000	2020-10-29T19:09:06:399
2174301,000000	2020-10-29T19:09:06:438
2172390,000000	2020-10-29T19:09:06:478
2166960,000000	2020-10-29T19:09:06:518
2162378,000000	2020-10-29T19:09:06:558
2160020,000000	2020-10-29T19:09:06:599
2159531,000000	2020-10-29T19:09:06:639
2160592,000000	2020-10-29T19:09:06:678
2162312,000000	2020-10-29T19:09:06:719
2163782,000000	2020-10-29T19:09:06:759
2164260,000000	2020-10-29T19:09:06:799
2164471,000000	2020-10-29T19:09:06:839
2164800,000000	2020-10-29T19:09:06:879
2165539,000000	2020-10-29T19:09:06:919
2167050,000000	2020-10-29T19:09:06:959
2169088,000000	2020-10-29T19:09:06:999
2171522,000000	2020-10-29T19:09:07:039
2174237,000000	2020-10-29T19:09:07:079
2177113,000000	2020-10-29T19:09:07:119
2179877,000000	2020-10-29T19:09:07:160
2182532,000000	2020-10-29T19:09:07:200
2185181,000000	2020-10-29T19:09:07:238
2187780,000000	2020-10-29T19:09:07:280
2190170,000000	2020-10-29T19:09:07:318
2189231,000000	2020-10-29T19:09:07:360
2184396,000000	2020-10-29T19:09:07:399
2179047,000000	2020-10-29T19:09:07:439
2176068,000000	2020-10-29T19:09:07:479
2175018,000000	2020-10-29T19:09:07:520
2175639,000000	2020-10-29T19:09:07:559
