x	y	z	ts
0,765884	2,017493	0,054423	2020-10-29T19:09:01:211
-0,834569	-1,041753	-0,071327	2020-10-29T19:09:01:212
-0,791776	-0,450509	-0,207409	2020-10-29T19:09:01:212
-1,470851	-0,556314	-0,057189	2020-10-29T19:09:01:213
-4,652840	-1,313284	1,317657	2020-10-29T19:09:01:229
-1,595126	-0,760992	0,030615	2020-10-29T19:09:01:269
-1,199282	-0,778184	0,006135	2020-10-29T19:09:01:273
-0,940278	-0,815552	0,069591	2020-10-29T19:09:01:288
-1,216532	-1,283390	-0,080857	2020-10-29T19:09:01:309
-1,044801	-1,368999	-0,131332	2020-10-29T19:09:01:328
-0,803681	-0,845806	-0,186327	2020-10-29T19:09:01:349
-0,925766	-0,524601	-0,123916	2020-10-29T19:09:01:368
-0,748524	-0,461291	-0,234971	2020-10-29T19:09:01:389
-0,714157	-0,635430	-0,168816	2020-10-29T19:09:01:409
-0,714937	-0,865249	-0,019219	2020-10-29T19:09:01:429
-0,635570	-0,782053	-0,222591	2020-10-29T19:09:01:448
-0,608772	-0,777524	-0,150704	2020-10-29T19:09:01:469
-0,548710	-0,583839	-0,153105	2020-10-29T19:09:01:488
-0,471052	-0,521173	-0,173029	2020-10-29T19:09:01:509
-0,483017	-0,573815	-0,139529	2020-10-29T19:09:01:528
-0,526769	-0,648526	-0,161286	2020-10-29T19:09:01:549
-0,504588	-0,669890	-0,079809	2020-10-29T19:09:01:569
-0,348066	-0,602358	-0,168174	2020-10-29T19:09:01:590
-0,408683	-0,415747	-0,227687	2020-10-29T19:09:01:608
-0,390309	-0,320878	-0,192235	2020-10-29T19:09:01:632
-0,342808	-0,585983	-0,199619	2020-10-29T19:09:01:649
-0,336729	-0,688594	-0,203358	2020-10-29T19:09:01:669
-0,320122	-0,573310	-0,125428	2020-10-29T19:09:01:689
-0,270948	-0,479960	-0,208434	2020-10-29T19:09:01:709
-0,288996	-0,482036	-0,176917	2020-10-29T19:09:01:729
-0,300860	-0,544070	-0,162177	2020-10-29T19:09:01:750
-0,247063	-0,564597	-0,099506	2020-10-29T19:09:01:769
-0,257813	-0,433410	-0,206754	2020-10-29T19:09:01:789
-0,192271	-0,518034	-0,185275	2020-10-29T19:09:01:809
-0,258259	-0,505602	-0,139670	2020-10-29T19:09:01:830
-0,249602	-0,641951	-0,156837	2020-10-29T19:09:01:849
-0,206114	-0,446433	-0,257501	2020-10-29T19:09:01:869
-0,180643	-0,373156	-0,188668	2020-10-29T19:09:01:889
-0,181274	-0,556852	-0,115325	2020-10-29T19:09:01:909
-0,229863	-0,391670	-0,197117	2020-10-29T19:09:01:929
-0,215562	-0,432796	-0,088174	2020-10-29T19:09:01:950
-0,116632	-0,493265	-0,101020	2020-10-29T19:09:01:969
-0,141093	-0,573822	-0,203958	2020-10-29T19:09:01:990
-0,148555	-0,452940	-0,230077	2020-10-29T19:09:02:009
-0,171368	-0,541966	-0,186934	2020-10-29T19:09:02:030
-0,018739	-0,515011	-0,210692	2020-10-29T19:09:02:049
-0,099546	-0,620795	-0,178387	2020-10-29T19:09:02:070
-0,091829	-0,567357	-0,122700	2020-10-29T19:09:02:089
-0,106965	-0,594487	-0,175256	2020-10-29T19:09:02:110
-0,060901	-0,604963	-0,139716	2020-10-29T19:09:02:130
-0,074656	-0,605541	-0,178091	2020-10-29T19:09:02:150
-0,053981	-0,671815	-0,152169	2020-10-29T19:09:02:169
-0,034020	-0,587863	-0,231566	2020-10-29T19:09:02:190
-0,021087	-0,463590	-0,136728	2020-10-29T19:09:02:209
-0,129896	-0,477455	-0,099862	2020-10-29T19:09:02:230
-0,065397	-0,635580	-0,126433	2020-10-29T19:09:02:249
-0,029637	-0,522788	-0,197167	2020-10-29T19:09:02:271
-0,034750	-0,526600	-0,159950	2020-10-29T19:09:02:289
0,034268	-0,617637	-0,214274	2020-10-29T19:09:02:311
0,000769	-0,694207	-0,226238	2020-10-29T19:09:02:329
-0,012071	-0,534885	-0,366896	2020-10-29T19:09:02:352
-0,016014	-0,759893	0,045888	2020-10-29T19:09:02:370
-0,004049	-0,831678	-0,085716	2020-10-29T19:09:02:391
-0,104037	-0,926798	-0,230444	2020-10-29T19:09:02:409
-0,095820	-0,880648	-0,198233	2020-10-29T19:09:02:432
-0,083855	-0,600688	-0,214982	2020-10-29T19:09:02:449
-0,061261	-0,895992	-0,163988	2020-10-29T19:09:02:473
-0,039318	-1,032958	-0,181170	2020-10-29T19:09:02:493
-0,011501	-1,232917	-0,190677	2020-10-29T19:09:02:514
-0,037822	-1,268810	-0,181106	2020-10-29T19:09:02:531
0,080463	-1,313870	-0,196754	2020-10-29T19:09:02:554
0,008679	-1,297120	-0,249395	2020-10-29T19:09:02:571
0,064726	-1,456235	-0,242019	2020-10-29T19:09:02:594
-0,018347	-1,628785	-0,109443	2020-10-29T19:09:02:614
0,022331	-1,686213	-0,188406	2020-10-29T19:09:02:633
-0,007385	-1,674088	-0,207112	2020-10-29T19:09:02:652
-0,018231	-1,905072	-0,227023	2020-10-29T19:09:02:674
0,010483	-1,890716	-0,193523	2020-10-29T19:09:02:691
0,055613	-2,222008	-0,234770	2020-10-29T19:09:02:714
0,047946	-2,446417	-0,130166	2020-10-29T19:09:02:731
-0,014086	-2,546504	-0,148285	2020-10-29T19:09:02:754
0,004729	-2,804711	-0,101655	2020-10-29T19:09:02:771
-0,021373	-3,191518	-0,006230	2020-10-29T19:09:02:794
0,052091	-3,674175	0,035560	2020-10-29T19:09:02:811
0,059921	-3,906561	0,114955	2020-10-29T19:09:02:833
0,025391	-3,974158	0,093242	2020-10-29T19:09:02:853
-0,051153	-4,215405	0,188257	2020-10-29T19:09:02:873
-0,038736	3,946817	1,359179	2020-10-29T19:09:02:892
-0,026324	3,278864	1,009671	2020-10-29T19:09:02:914
-0,056367	2,973261	0,864717	2020-10-29T19:09:02:931
0,003946	2,506577	0,588305	2020-10-29T19:09:02:954
0,061313	2,297707	0,432653	2020-10-29T19:09:02:971
0,003700	2,071989	0,417976	2020-10-29T19:09:02:994
0,043516	1,824231	0,411610	2020-10-29T19:09:03:012
0,024703	1,842757	0,350998	2020-10-29T19:09:03:034
0,058309	1,705140	0,259711	2020-10-29T19:09:03:052
-0,029978	1,639019	0,268719	2020-10-29T19:09:03:074
-0,025351	1,378598	0,248351	2020-10-29T19:09:03:093
0,063131	1,183341	0,159200	2020-10-29T19:09:03:114
0,043439	1,101718	0,126206	2020-10-29T19:09:03:132
-0,000042	1,115541	0,116103	2020-10-29T19:09:03:154
0,035743	1,163556	0,086250	2020-10-29T19:09:03:172
-0,016455	1,147499	0,107018	2020-10-29T19:09:03:194
0,105976	0,970661	0,073833	2020-10-29T19:09:03:212
0,068018	0,925696	0,050474	2020-10-29T19:09:03:234
0,033819	1,002627	0,084686	2020-10-29T19:09:03:252
0,032536	0,837372	0,077196	2020-10-29T19:09:03:274
0,085651	0,834212	0,012176	2020-10-29T19:09:03:292
0,065024	0,954332	0,023543	2020-10-29T19:09:03:315
0,088690	0,786478	0,015837	2020-10-29T19:09:03:334
0,041876	0,888606	0,067466	2020-10-29T19:09:03:354
0,064597	0,851045	0,041581	2020-10-29T19:09:03:372
0,086264	0,890485	0,037070	2020-10-29T19:09:03:395
-0,001594	0,875052	0,080996	2020-10-29T19:09:03:412
0,060936	0,771310	0,054738	2020-10-29T19:09:03:434
0,031957	0,847153	0,005609	2020-10-29T19:09:03:452
0,066825	0,759192	0,018880	2020-10-29T19:09:03:474
0,162962	0,794555	0,011374	2020-10-29T19:09:03:492
0,057152	0,812563	0,057831	2020-10-29T19:09:03:514
0,004143	0,893947	-0,016748	2020-10-29T19:09:03:532
0,021021	0,815946	0,036530	2020-10-29T19:09:03:555
0,029977	0,748172	0,012598	2020-10-29T19:09:03:573
0,112197	0,739588	0,004571	2020-10-29T19:09:03:594
0,100066	0,832170	0,058096	2020-10-29T19:09:03:614
0,057042	0,751387	0,036959	2020-10-29T19:09:03:646
-0,002138	0,802392	0,004177	2020-10-29T19:09:03:661
0,053882	0,736599	0,072487	2020-10-29T19:09:03:719
0,018203	0,703897	-0,003100	2020-10-29T19:09:03:720
0,048523	0,680471	-0,008755	2020-10-29T19:09:03:723
0,127408	0,697306	0,055655	2020-10-29T19:09:03:732
-0,017061	0,696109	0,043541	2020-10-29T19:09:03:754
0,049203	0,657168	0,028943	2020-10-29T19:09:03:773
-0,031990	0,769711	0,020229	2020-10-29T19:09:03:795
0,034866	0,660849	-0,000369	2020-10-29T19:09:03:814
