x	y	z	ts
-0,358917	1,820741	9,629458	2020-10-29T19:41:47:106
-0,320932	1,974471	9,600461	2020-10-29T19:41:47:153
-0,307369	1,927202	9,610505	2020-10-29T19:41:47:157
-0,284921	1,848138	9,626712	2020-10-29T19:41:47:169
-0,274376	1,810650	9,634140	2020-10-29T19:41:47:170
-0,266378	1,782073	9,639691	2020-10-29T19:41:47:170
-0,250286	1,722962	9,650863	2020-10-29T19:41:47:170
-0,180779	1,385121	9,706655	2020-10-29T19:41:47:186
-0,108255	1,070998	9,747391	2020-10-29T19:41:47:206
-0,005705	0,716293	9,780454	2020-10-29T19:41:47:226
0,097921	0,301258	9,801533	2020-10-29T19:41:47:246
0,182072	-0,107331	9,804372	2020-10-29T19:41:47:267
0,252401	-0,349938	9,797153	2020-10-29T19:41:47:286
0,355153	-0,939451	9,755085	2020-10-29T19:41:47:307
0,438322	-1,460000	9,687449	2020-10-29T19:41:47:326
0,502608	-2,496218	9,470304	2020-10-29T19:41:47:346
0,519577	-3,577517	9,116018	2020-10-29T19:41:47:366
0,559609	4,382459	8,755072	2020-10-29T19:41:47:386
0,737926	3,605325	9,089966	2020-10-29T19:41:47:406
2,273277	7,968313	5,244863	2020-10-29T19:41:47:426
2,594401	7,054553	6,298631	2020-10-29T19:41:47:446
2,896763	6,324967	6,911870	2020-10-29T19:41:47:466
3,213479	5,799574	7,225571	2020-10-29T19:41:47:486
3,566964	5,362234	7,395512	2020-10-29T19:41:47:508
3,845265	5,052257	7,473889	2020-10-29T19:41:47:526
4,155964	4,739551	7,512323	2020-10-29T19:41:47:548
4,398346	4,715090	7,388699	2020-10-29T19:41:47:566
4,656456	4,659834	7,264554	2020-10-29T19:41:47:587
4,930931	4,409620	7,239583	2020-10-29T19:41:47:607
5,224554	4,164472	7,178551	2020-10-29T19:41:47:628
5,465635	3,950525	7,119731	2020-10-29T19:41:47:646
5,748930	3,726850	7,016465	2020-10-29T19:41:47:668
5,982865	3,529391	6,922363	2020-10-29T19:41:47:686
6,227849	3,277172	6,829672	2020-10-29T19:41:47:708
6,404355	3,067331	6,763587	2020-10-29T19:41:47:726
6,585472	2,803311	6,703983	2020-10-29T19:41:47:748
6,742315	2,581394	6,636865	2020-10-29T19:41:47:767
6,901716	2,376621	6,548922	2020-10-29T19:41:47:788
7,046784	2,179834	6,462317	2020-10-29T19:41:47:807
7,198834	1,951502	6,367010	2020-10-29T19:41:47:827
7,336013	1,730362	6,273686	2020-10-29T19:41:47:847
7,470581	1,529870	6,166060	2020-10-29T19:41:47:868
7,578506	1,375742	6,069922	2020-10-29T19:41:47:886
7,678284	1,196599	5,981847	2020-10-29T19:41:47:908
7,735740	1,127354	5,920961	2020-10-29T19:41:47:927
7,795124	1,052718	5,856467	2020-10-29T19:41:47:947
7,847336	0,997626	5,796072	2020-10-29T19:41:47:967
7,897017	0,934708	5,738801	2020-10-29T19:41:47:987
7,936865	0,864022	5,694736	2020-10-29T19:41:48:006
7,968303	0,789648	5,661535	2020-10-29T19:41:48:028
7,989273	0,704461	5,643194	2020-10-29T19:41:48:047
8,000487	0,607680	5,638555	2020-10-29T19:41:48:067
8,005660	0,512963	5,640626	2020-10-29T19:41:48:087
8,002652	0,403750	5,653753	2020-10-29T19:41:48:107
7,998514	0,220944	5,669686	2020-10-29T19:41:48:127
7,938803	-0,105641	5,756269	2020-10-29T19:41:48:148
7,909187	-0,205562	5,794211	2020-10-29T19:41:48:169
7,834400	-0,410127	5,884246	2020-10-29T19:41:48:187
7,735818	-0,617023	5,995564	2020-10-29T19:41:48:208
7,637609	-0,810554	6,097566	2020-10-29T19:41:48:227
7,548200	-0,957098	6,187005	2020-10-29T19:41:48:248
7,429974	-1,151169	6,296084	2020-10-29T19:41:48:268
7,318361	-1,334060	6,390012	2020-10-29T19:41:48:288
7,184943	-1,550914	6,491659	2020-10-29T19:41:48:307
7,057799	-1,766423	6,575531	2020-10-29T19:41:48:332
6,892188	-2,033701	6,673244	2020-10-29T19:41:48:350
6,843556	-2,110429	6,699419	2020-10-29T19:41:48:370
6,740782	-2,275917	6,749255	2020-10-29T19:41:48:389
6,648842	-2,440315	6,782930	2020-10-29T19:41:48:411
6,561485	-2,604259	6,806991	2020-10-29T19:41:48:429
6,476908	-2,740966	6,834263	2020-10-29T19:41:48:450
6,380342	-2,846919	6,881618	2020-10-29T19:41:48:470
6,288537	-2,931642	6,930380	2020-10-29T19:41:48:490
6,199578	-3,014945	6,974648	2020-10-29T19:41:48:510
6,113163	-3,083940	7,020608	2020-10-29T19:41:48:530
6,026249	-3,140888	7,070327	2020-10-29T19:41:48:551
5,955842	-3,162254	7,120286	2020-10-29T19:41:48:571
5,891243	-3,186652	7,163022	2020-10-29T19:41:48:589
5,819150	-3,218057	7,207773	2020-10-29T19:41:48:611
5,747704	-3,247796	7,251627	2020-10-29T19:41:48:629
5,672628	-3,285425	7,293672	2020-10-29T19:41:48:651
5,611674	-3,315708	7,327044	2020-10-29T19:41:48:670
5,590608	-3,284319	7,357224	2020-10-29T19:41:48:690
5,546910	-3,324252	7,372348	2020-10-29T19:41:48:710
5,501636	-3,366206	7,387222	2020-10-29T19:41:48:730
5,453981	-3,396509	7,408657	2020-10-29T19:41:48:750
5,409951	-3,421808	7,429269	2020-10-29T19:41:48:771
5,366867	-3,463203	7,441328	2020-10-29T19:41:48:790
5,352905	-3,465616	7,450255	2020-10-29T19:41:48:811
5,313620	-3,537540	7,444571	2020-10-29T19:41:48:830
5,279655	-3,540977	7,467068	2020-10-29T19:41:48:850
5,240259	-3,560866	7,485339	2020-10-29T19:41:48:870
5,210546	-3,568689	7,502336	2020-10-29T19:41:48:891
5,187009	-3,587756	7,509549	2020-10-29T19:41:48:910
