x	y	z	ts
-0,641276	1,643869	9,078369	2020-10-29T19:41:47:105
-0,327817	1,708475	9,300901	2020-10-29T19:41:47:105
-0,234497	1,883151	9,176475	2020-10-29T19:41:47:153
0,162712	1,529014	9,049655	2020-10-29T19:41:47:156
0,162712	1,529014	9,049655	2020-10-29T19:41:47:169
0,162712	1,529014	9,049655	2020-10-29T19:41:47:169
0,162712	1,529014	9,049655	2020-10-29T19:41:47:170
0,165105	1,416551	8,963513	2020-10-29T19:41:47:170
-0,162712	1,067199	9,523434	2020-10-29T19:41:47:186
-0,179462	1,050449	9,803394	2020-10-29T19:41:47:206
0,284746	1,098306	9,449257	2020-10-29T19:41:47:226
0,327817	0,873380	9,104690	2020-10-29T19:41:47:246
0,064606	0,253639	9,142976	2020-10-29T19:41:47:266
-0,088534	0,562313	9,456435	2020-10-29T19:41:47:286
0,361316	0,502493	9,556933	2020-10-29T19:41:47:307
0,122034	0,334995	9,454042	2020-10-29T19:41:47:326
0,567099	-0,129212	9,492328	2020-10-29T19:41:47:346
0,674776	0,282353	9,224331	2020-10-29T19:41:47:366
1,103091	0,284746	9,269794	2020-10-29T19:41:47:386
1,550549	-0,315853	9,126225	2020-10-29T19:41:47:406
1,399801	-0,564706	9,030513	2020-10-29T19:41:47:426
0,937986	-0,327817	9,181261	2020-10-29T19:41:47:446
1,127020	-0,177069	9,209974	2020-10-29T19:41:47:466
1,471586	-0,390030	8,903693	2020-10-29T19:41:47:486
1,701297	-0,856631	9,016156	2020-10-29T19:41:47:508
1,873580	-0,784846	9,248260	2020-10-29T19:41:47:526
2,019542	-0,516850	8,819944	2020-10-29T19:41:47:548
2,244468	-0,641276	8,085347	2020-10-29T19:41:47:566
2,151148	-1,217947	8,405986	2020-10-29T19:41:47:587
2,318645	-1,861616	8,606983	2020-10-29T19:41:47:606
2,572284	-2,002793	9,054441	2020-10-29T19:41:47:628
2,703890	-2,225325	9,224331	2020-10-29T19:41:47:646
3,160919	-2,220540	9,049655	2020-10-29T19:41:47:668
3,285345	-2,488536	9,133404	2020-10-29T19:41:47:686
3,510271	-2,490928	9,561719	2020-10-29T19:41:47:708
3,481557	-2,483750	9,107083	2020-10-29T19:41:47:726
3,170490	-2,799603	8,994620	2020-10-29T19:41:47:747
3,464807	-3,058028	9,549755	2020-10-29T19:41:47:766
3,629912	-2,598605	9,138189	2020-10-29T19:41:47:788
3,620341	-2,703890	8,748159	2020-10-29T19:41:47:807
3,414558	-2,943172	8,274381	2020-10-29T19:41:47:827
3,613162	-3,483950	8,822337	2020-10-29T19:41:47:846
3,940979	-3,029313	8,659625	2020-10-29T19:41:47:867
4,424329	-2,672783	8,851050	2020-10-29T19:41:47:886
4,512863	-2,758924	9,042477	2020-10-29T19:41:47:908
4,967500	-3,208775	9,023334	2020-10-29T19:41:47:926
5,350351	-3,431308	9,150154	2020-10-29T19:41:47:947
5,764310	-3,043670	9,291330	2020-10-29T19:41:47:967
6,034698	-3,337988	9,121440	2020-10-29T19:41:47:987
6,046663	-3,366701	9,097511	2020-10-29T19:41:48:006
6,065805	-3,328416	8,807980	2020-10-29T19:41:48:027
5,857630	-3,452843	8,650054	2020-10-29T19:41:48:046
5,716454	-3,543770	8,757731	2020-10-29T19:41:48:067
5,663811	-3,397808	8,841480	2020-10-29T19:41:48:086
5,393422	-3,352344	8,764909	2020-10-29T19:41:48:107
5,295317	-3,278167	8,169096	2020-10-29T19:41:48:127
4,991428	-3,522235	8,233703	2020-10-29T19:41:48:148
4,804788	-3,550949	8,417950	2020-10-29T19:41:48:168
4,680361	-3,445665	8,331808	2020-10-29T19:41:48:187
4,481757	-3,467200	8,504091	2020-10-29T19:41:48:208
4,780859	-3,704089	8,126025	2020-10-29T19:41:48:227
4,845466	-2,833102	8,315059	2020-10-29T19:41:48:248
4,876573	-3,629912	8,023134	2020-10-29T19:41:48:268
4,912465	-3,596412	7,707282	2020-10-29T19:41:48:288
4,840680	-4,388437	7,456036	2020-10-29T19:41:48:307
4,857430	-4,917251	7,044470	2020-10-29T19:41:48:331
4,948357	-4,438686	6,934400	2020-10-29T19:41:48:349
