1603996930.000000, 1603996930.000000, 1603996930.000000
32.000000, 32.000000, 32.000000
-13,54,4
-14,55,3
-16,57,3
-18,57,3
-19,58,3
-21,62,4
-23,64,5
-25,69,6
-26,70,7
-24,69,7
-19,70,8
-16,70,8
-15,68,8
-16,68,6
-15,66,5
-16,61,3
-15,59,2
-16,57,-1
-16,57,-5
-17,58,-6
-19,58,-7
-19,58,-8
-21,58,-7
-20,59,-6
-20,63,-6
-21,62,-5
-20,61,-4
-16,66,-3
-14,69,-2
-15,75,2
-18,77,4
-18,76,5
-14,72,7
-12,71,8
-9,70,10
-4,63,12
-3,63,12
-4,61,10
-5,58,10
-7,52,11
-9,51,12
-10,53,11
-10,58,10
-10,60,10
-10,63,10
-11,60,11
-11,60,11
-10,63,12
-10,67,13
-11,75,15
-12,73,13
-13,73,10
-14,77,10
-13,74,11
-11,64,12
-10,59,12
-9,53,11
-10,60,9
-11,64,7
-15,71,3
-16,71,3
-16,67,5
-12,59,8
-10,58,9
-10,56,8
-9,57,7
-8,58,4
-8,60,3
-9,65,1
-10,70,-1
-10,72,-2
-12,72,-4
-13,71,-5
-14,56,-5
-15,57,-2
-16,59,-2
-18,62,-1
-19,65,0
-28,71,-1
-40,73,6
-38,72,11
-15,68,18
-6,66,21
-1,62,24
-3,59,24
-12,57,20
-25,58,13
-29,61,11
-29,67,12
-25,70,16
-20,68,17
-15,59,17
-15,61,16
-17,65,13
-17,69,12
-16,74,10
-12,71,9
-11,69,9
-9,64,10
-9,65,10
-8,64,7
-10,63,5
-10,61,5
-11,59,5
-11,57,5
-12,56,4
-12,56,4
-11,56,4
-12,56,4
-13,57,5
-15,61,5
-17,63,5
-21,67,8
-23,68,10
-21,67,10
-13,67,12
-9,65,13
-11,65,14
-16,64,13
-19,64,12
-21,64,10
-21,64,9
-18,63,8
-16,63,9
-17,63,8
-16,63,7
-16,63,7
-16,63,7
-15,63,7
-14,63,7
-14,62,7
-14,62,7
-14,62,7
-14,61,7
-14,60,7
-13,60,8
-14,60,8
-14,61,8
-15,60,8
-16,62,8
-17,62,9
-17,62,8
-18,62,8
-18,62,8
-19,62,9
-19,62,9
-19,63,9
-19,63,9
-19,64,9
-18,63,9
-17,63,9
-16,60,9
-14,58,9
-14,58,9
-15,61,7
-16,64,7
-18,68,5
-18,64,6
-17,61,6
-16,58,7
-16,57,7
-16,57,7
-17,58,7
-16,60,7
-18,64,7
-19,66,6
-21,69,5
-20,63,6
-20,62,6
-19,66,8
-19,66,8
-18,65,9
-17,63,10
-14,58,10
-14,60,8
-14,64,8
-14,70,8
-13,71,10
-10,65,14
-8,56,15
-7,53,16
-9,53,14
-10,55,14
-12,58,10
-13,58,9
-13,57,9
-15,60,10
-16,63,11
-17,75,8
-20,79,9
-19,67,8
-15,71,9
-15,69,9
-16,66,8
-15,65,7
-14,65,6
-12,64,4
-12,64,4
-11,67,3
-11,69,1
-10,71,0
-11,68,-1
-11,67,-1
-10,63,2
-9,62,2
-7,60,3
