light_intensity	ts
2097152,000000	2020-10-13T23:10:57:747
2097152,000000	2020-10-13T23:10:57:786
2452346,000000	2020-10-13T23:10:57:816
2452379,000000	2020-10-13T23:10:57:855
2452227,000000	2020-10-13T23:10:57:896
2452168,000000	2020-10-13T23:10:57:935
2452112,000000	2020-10-13T23:10:57:975
2452043,000000	2020-10-13T23:10:58:016
2452012,000000	2020-10-13T23:10:58:055
2452377,000000	2020-10-13T23:10:58:095
2452732,000000	2020-10-13T23:10:58:136
2136207,000000	2020-10-13T23:10:58:175
2136522,000000	2020-10-13T23:10:58:216
2136866,000000	2020-10-13T23:10:58:256
2137307,000000	2020-10-13T23:10:58:296
2137694,000000	2020-10-13T23:10:58:336
2116024,000000	2020-10-13T23:10:58:378
2116124,000000	2020-10-13T23:10:58:416
2113680,000000	2020-10-13T23:10:58:455
2110917,000000	2020-10-13T23:10:58:496
2108702,000000	2020-10-13T23:10:58:537
2124379,000000	2020-10-13T23:10:58:576
2123789,000000	2020-10-13T23:10:58:617
2124561,000000	2020-10-13T23:10:58:656
2125205,000000	2020-10-13T23:10:58:696
2126126,000000	2020-10-13T23:10:58:736
2125480,000000	2020-10-13T23:10:58:777
2125121,000000	2020-10-13T23:10:58:817
2124929,000000	2020-10-13T23:10:58:857
2125422,000000	2020-10-13T23:10:58:908
2126763,000000	2020-10-13T23:10:58:936
2128391,000000	2020-10-13T23:10:58:980
2130511,000000	2020-10-13T23:10:59:020
2132962,000000	2020-10-13T23:10:59:058
2135559,000000	2020-10-13T23:10:59:100
2137870,000000	2020-10-13T23:10:59:139
2140252,000000	2020-10-13T23:10:59:179
2142684,000000	2020-10-13T23:10:59:219
2145277,000000	2020-10-13T23:10:59:259
2145034,000000	2020-10-13T23:10:59:298
2139563,000000	2020-10-13T23:10:59:340
2133772,000000	2020-10-13T23:10:59:379
2129783,000000	2020-10-13T23:10:59:419
2128823,000000	2020-10-13T23:10:59:458
2129090,000000	2020-10-13T23:10:59:499
2130262,000000	2020-10-13T23:10:59:539
2131903,000000	2020-10-13T23:10:59:581
2132416,000000	2020-10-13T23:10:59:619
2132107,000000	2020-10-13T23:10:59:659
2131382,000000	2020-10-13T23:10:59:699
2131665,000000	2020-10-13T23:10:59:739
2132669,000000	2020-10-13T23:10:59:780
2134057,000000	2020-10-13T23:10:59:821
2136361,000000	2020-10-13T23:10:59:859
2138718,000000	2020-10-13T23:10:59:899
2141222,000000	2020-10-13T23:10:59:939
2143764,000000	2020-10-13T23:10:59:980
2146303,000000	2020-10-13T23:11:00:019
2148819,000000	2020-10-13T23:11:00:061
2150485,000000	2020-10-13T23:11:00:099
2147623,000000	2020-10-13T23:11:00:139
2141764,000000	2020-10-13T23:11:00:180
2136973,000000	2020-10-13T23:11:00:220
2134556,000000	2020-10-13T23:11:00:259
2134295,000000	2020-10-13T23:11:00:302
2135172,000000	2020-10-13T23:11:00:340
2136590,000000	2020-10-13T23:11:00:380
2138241,000000	2020-10-13T23:11:00:420
2138630,000000	2020-10-13T23:11:00:460
2138422,000000	2020-10-13T23:11:00:500
2137891,000000	2020-10-13T23:11:00:541
2138739,000000	2020-10-13T23:11:00:580
2140315,000000	2020-10-13T23:11:00:621
2141642,000000	2020-10-13T23:11:00:660
2144039,000000	2020-10-13T23:11:00:701
2146141,000000	2020-10-13T23:11:00:740
2148621,000000	2020-10-13T23:11:00:782
2151488,000000	2020-10-13T23:11:00:821
2154308,000000	2020-10-13T23:11:00:860
2156974,000000	2020-10-13T23:11:00:900
2159657,000000	2020-10-13T23:11:00:940
2161133,000000	2020-10-13T23:11:00:981
2156629,000000	2020-10-13T23:11:01:021
2150332,000000	2020-10-13T23:11:01:061
2146932,000000	2020-10-13T23:11:01:100
2145535,000000	2020-10-13T23:11:01:140
2145884,000000	2020-10-13T23:11:01:181
2146882,000000	2020-10-13T23:11:01:221
2148193,000000	2020-10-13T23:11:01:263
2148983,000000	2020-10-13T23:11:01:301
2149344,000000	2020-10-13T23:11:01:341
2149233,000000	2020-10-13T23:11:01:381
2149525,000000	2020-10-13T23:11:01:421
2150520,000000	2020-10-13T23:11:01:461
2151927,000000	2020-10-13T23:11:01:503
2153413,000000	2020-10-13T23:11:01:541
2155669,000000	2020-10-13T23:11:01:581
2158389,000000	2020-10-13T23:11:01:621
2161059,000000	2020-10-13T23:11:01:662
2163941,000000	2020-10-13T23:11:01:700
2166817,000000	2020-10-13T23:11:01:742
2169344,000000	2020-10-13T23:11:01:781
2171995,000000	2020-10-13T23:11:01:821
2174793,000000	2020-10-13T23:11:01:860
2172884,000000	2020-10-13T23:11:01:900
2166408,000000	2020-10-13T23:11:01:941
2160072,000000	2020-10-13T23:11:01:982
